time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Supply Rate,Matière Première Utilisée,Production Rate,Finished Products,Recycling Rate,Recycled Materials,Inventory
0.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,0.0
0.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,1.25
0.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,2.5
0.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,3.75
0.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,5.0
0.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,6.25
0.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,7.5
0.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,8.75
1.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,10.0
1.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,11.25
1.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,12.5
1.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,13.75
1.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,15.0
1.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,16.25
1.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,17.5
1.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,18.75
2.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,20.0
2.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,21.25
2.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,22.5
2.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,23.75
2.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,25.0
2.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,26.25
2.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,27.5
2.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,28.75
3.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,30.0
3.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,31.25
3.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,32.5
3.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,33.75
3.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,35.0
3.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,36.25
3.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,37.5
3.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,38.75
4.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,40.0
4.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,41.25
4.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,42.5
4.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,43.75
4.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,45.0
4.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,46.25
4.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,47.5
4.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,48.75
5.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,50.0
5.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,51.25
5.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,52.5
5.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,53.75
5.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,55.0
5.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,56.25
5.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,57.5
5.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,58.75
6.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,60.0
6.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,61.25
6.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,62.5
6.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,63.75
6.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,65.0
6.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,66.25
6.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,67.5
6.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,68.75
7.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,70.0
7.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,71.25
7.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,72.5
7.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,73.75
7.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,75.0
7.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,76.25
7.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,77.5
7.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,78.75
8.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,80.0
8.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,81.25
8.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,82.5
8.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,83.75
8.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,85.0
8.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,86.25
8.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,87.5
8.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,88.75
9.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,90.0
9.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,91.25
9.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,92.5
9.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,93.75
9.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,95.0
9.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,96.25
9.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,97.5
9.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,98.75
10.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,100.0
10.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,101.25
10.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,102.5
10.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,103.75
10.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,105.0
10.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,106.25
10.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,107.5
10.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,108.75
11.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,110.0
11.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,111.25
11.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,112.5
11.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,113.75
11.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,115.0
11.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,116.25
11.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,117.5
11.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,118.75
12.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,120.0
12.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,121.25
12.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,122.5
12.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,123.75
12.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,125.0
12.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,126.25
12.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,127.5
12.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,128.75
13.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,130.0
13.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,131.25
13.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,132.5
13.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,133.75
13.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,135.0
13.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,136.25
13.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,137.5
13.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,138.75
14.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,140.0
14.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,141.25
14.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,142.5
14.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,143.75
14.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,145.0
14.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,146.25
14.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,147.5
14.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,148.75
15.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,150.0
15.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,151.25
15.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,152.5
15.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,153.75
15.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,155.0
15.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,156.25
15.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,157.5
15.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,158.75
16.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,160.0
16.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,161.25
16.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,162.5
16.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,163.75
16.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,165.0
16.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,166.25
16.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,167.5
16.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,168.75
17.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,170.0
17.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,171.25
17.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,172.5
17.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,173.75
17.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,175.0
17.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,176.25
17.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,177.5
17.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,178.75
18.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,180.0
18.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,181.25
18.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,182.5
18.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,183.75
18.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,185.0
18.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,186.25
18.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,187.5
18.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,188.75
19.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,190.0
