day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_qty
0,50.0,0.0,50.0,0.0,50.0,1998.0979,21348.9052,635.4519,3.248,24.8014,1389.9179
1,50.0,0.0,100.0,81.2,50.0,1998.0979,19283.8274,566.5498,3.248,24.8014,1749.9179
2,50.0,0.0,150.0,81.2,50.0,1998.0979,17218.7496,497.6477,3.248,24.8014,1749.918
3,50.0,0.0,200.0,81.2,50.0,1998.0979,15153.6718,428.7456,3.248,24.8014,1749.918
4,50.0,0.0,250.0,81.2,50.0,1998.0979,13088.594,359.8435,3.248,24.8014,1749.918
5,50.0,0.0,300.0,131.2,50.0,2048.0979,11023.5162,290.9414,3.248,24.8014,1749.918
6,50.0,0.0,350.0,131.2,50.0,2048.0979,8958.4384,222.0393,3.248,24.8014,1749.9179
7,50.0,0.0,400.0,131.2,50.0,2048.0979,6973.3606,156.3371,3.248,24.8014,1829.9179
8,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6875.1807,156.0603,3.248,24.8014,1849.9179
9,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6777.0008,155.7834,3.248,24.8014,1849.9179
10,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6678.8208,155.5066,3.248,24.8014,1849.9179
11,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6580.6409,155.2297,3.248,24.8014,1849.9179
12,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6482.461,154.9529,3.248,24.8014,1849.9179
13,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6384.2811,154.676,3.248,24.8014,1849.9179
14,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6286.1011,154.3992,3.248,24.8014,1849.9179
15,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6187.9212,154.1223,3.248,24.8014,1849.9179
16,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6089.7413,153.8455,3.248,24.8014,1849.918
17,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5994.2614,153.5687,3.248,24.8014,1852.6179
18,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5906.2314,153.2923,3.248,24.8014,1860.0679
19,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5818.2015,153.0159,3.248,24.8014,1860.0679
20,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5730.1716,152.7394,3.248,24.8014,1860.0679
21,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5642.1417,152.463,3.248,24.8014,1860.0679
22,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5554.1117,152.1865,3.248,24.8014,1860.0679
23,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5466.0818,151.9101,3.248,24.8014,1860.0679
24,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5378.0519,151.6336,3.248,24.8014,1860.0679
25,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5290.022,151.3572,3.248,24.8014,1860.068
26,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5201.992,151.0807,3.248,24.8014,1860.0679
27,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5113.9621,150.8043,3.248,24.8014,1860.0679
28,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5025.9322,150.5278,3.248,24.8014,1860.0679
29,50.0,50.0,400.0,2048.0979,50.0,2048.0979,4937.9023,150.2514,3.248,24.8014,1860.0679
