node_id,in_degree,out_degree
M-1430,8,1
M-1810,21,1
DC-1920,0,0
SDC-VD0520132A,0,2
SDC-VD0914690A,0,1
DC-1450,0,0
SDC-VD0525412A,0,1
SDC-VD0993480A,0,1
SDC-VD0520115A,0,1
SDC-VD0508918A,0,1
SDC-VD1095770A,0,1
SDC-VD0951020A,0,2
SDC-VD0519670A,0,2
SDC-VD0518684A,0,1
SDC-VD0910216A,0,2
SDC-VD1091642A,0,2
SDC-VD0500655A,0,1
SDC-VD0990780A,0,1
SDC-VD0514881A,0,1
SDC-VD1096202A,0,1
SDC-VD0914320A,0,1
SDC-VD0964290A,0,1
SDC-VD0505677A,0,1
SDC-VD0901566A,0,1
SDC-VD0914360C,0,1
SDC-VD0989480A,0,1
C-XXXXX,2,0
DC-1910,2,2
SDC-1450,4,2
SDC-VD0949099A,0,1
SDC-VD0960508A,0,1
SDC-VD0972460A,0,1
SDC-VD0975221A,0,1
