receiving_node,item_id,supplier_count,suppliers
C-XXXXX,item:268091,1,DC-1910
C-XXXXX,item:268967,1,DC-1910
DC-1910,item:268091,1,M-1810
DC-1910,item:268967,1,M-1430
M-1430,item:038005,1,SDC-VD0520132A
M-1430,item:042342,1,SDC-VD0914690A
M-1430,item:333362,1,SDC-VD0525412A
M-1430,item:344135,1,SDC-VD0993480A
M-1430,item:708073,1,SDC-VD0520115A
M-1430,item:730384,1,SDC-VD0508918A
M-1430,item:734545,1,SDC-VD1095770A
M-1430,item:773474,1,SDC-1450
M-1810,item:001757,1,SDC-VD0951020A
M-1810,item:016332,1,SDC-VD0514881A
M-1810,item:029313,1,SDC-VD0519670A
M-1810,item:039668,1,SDC-VD1096202A
M-1810,item:049371,1,SDC-VD0520132A
M-1810,item:099439,1,SDC-VD0505677A
M-1810,item:338928,1,SDC-VD0901566A
M-1810,item:338929,1,SDC-VD0914360C
M-1810,item:426331,1,SDC-VD0989480A
M-1810,item:693055,1,SDC-1450
