supplier_id,worst_risk_family,worst_risk_family_label,worst_risk_type,worst_impact_score,worst_impact_pct,worst_impact_explanation,worst_score_decisionnel_modele,worst_score_decisionnel_pct,worst_impact_metier_score,worst_impact_metier_pct,worst_impact_metier_kpi,worst_impact_metier_delta,worst_impact_metier_lecture,worst_cout_interpretation,tested_family_count,capacity_impact_pct,stock_impact_pct,lead_impact_pct,reliability_impact_pct,quality_impact_pct,upstream_impact_pct,cost_impact_pct,rank
SDC-VD1096202A,stock,Stock fournisseur,stock,0.079940112,7.994,disponibilite -0.1 pts ; adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33005701,0.079940112,7.994,0.680088511,68.0089,Flux fournisseur expedies,-33005701,disponibilite -0.1 pts ; adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33005701,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,7.994,0.0069,0.0,0.0069,0.0,0.0037,1
SDC-VD0914320A,stock,Stock fournisseur,stock,0.075246013,7.5246,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33102451,0.075246013,7.5246,0.682082054,68.2082,Flux fournisseur expedies,-33102451,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33102451,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,7.5246,0.0557,0.0,0.0558,0.0,0.0041,2
SDC-VD0951020A,stock,Stock fournisseur,stock,0.075246013,7.5246,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33102451,0.075246013,7.5246,0.682082054,68.2082,Flux fournisseur expedies,-33102451,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33102451,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,7.5246,0.0398,0.0004,0.0397,0.0,0.0413,3
SDC-VD0964290A,stock,Stock fournisseur,stock,0.075246013,7.5246,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33102451,0.075246013,7.5246,0.682082054,68.2082,Flux fournisseur expedies,-33102451,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33102451,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,7.5246,0.0,0.0,0.0,0.0,0.0099,4
SDC-VD0505677A,stock,Stock fournisseur,stock,0.075237987,7.5238,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33082974,0.075237987,7.5238,0.681680733,68.1681,Flux fournisseur expedies,-33082974,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33082974,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,7.5238,0.1085,0.0003,0.0516,0.0,0.1551,5
SDC-VD0514881A,stock,Stock fournisseur,stock,0.075236709,7.5237,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33079874,0.075236709,7.5237,0.681616857,68.1617,Flux fournisseur expedies,-33079874,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -33079874,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,7.5237,0.1614,0.0001,0.1257,0.0,0.1223,6
SDC-VD1095770A,stock,Stock fournisseur,stock,0.075188325,7.5188,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -32962466,0.075188325,7.5188,0.679197638,67.9198,Flux fournisseur expedies,-32962466,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -32962466,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,7.5188,0.0429,0.0006,0.0098,0.0,0.0144,7
SDC-VD0520115A,stock,Stock fournisseur,stock,0.07493518,7.4935,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -32570223,0.07493518,7.4935,0.671115403,67.1115,Flux fournisseur expedies,-32570223,adherence -5.0 pts ; jours stock MP zero +1 ; flux expedies -32570223,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,7.4935,0.2435,0.0007,0.0967,0.0,0.1445,8
SDC-VD0508918A,lead,Delai fournisseur,lead_time_extra_days,0.065310583,6.5311,adherence -0.0 pts ; replanifications +25 ; jours stock MP zero +25 ; cout +1.8%,0.065310583,6.5311,0.833333333,83.3333,Stock MP a zero,+25 j,adherence -0.0 pts ; replanifications +25 ; jours stock MP zero +25 ; cout +1.8%,cout en hausse vs reference,7,0.0,0.0152,6.5311,0.032,2.7205,0.0,0.0174,9
SDC-VD0525412A,lead,Delai fournisseur,lead_time_extra_days,0.049056749,4.9057,adherence -0.6 pts ; replanifications +12 ; nervosite +1 ; jours stock MP zero +12 ; cout +5.3%,0.049056749,4.9057,0.4,40.0,Stock MP a zero,+12 j,adherence -0.6 pts ; replanifications +12 ; nervosite +1 ; jours stock MP zero +12 ; cout +5.3%,cout en hausse vs reference,7,0.0,0.0068,4.9057,0.445,3.5304,0.0043,2.5216,10
