case_id,supplier_id,risk_family,risk_family_label,risk_type,multiplier,event_start_day,event_end_day,impact_score,impact_pct,impact_explanation,fill_rate,fill_rate_delta_pts,ending_backlog,product_availability,product_availability_delta_pts,line_adherence,line_adherence_delta_pts,line_nervousness,line_nervousness_delta,production_replanning_count,production_replanning_delta,raw_material_stockout_days,raw_material_stockout_days_delta,material_delay_days,material_delay_days_delta,total_cost,total_cost_delta,total_cost_delta_pct,inventory_cost,inventory_cost_delta,total_unreliable_loss_qty,total_unreliable_loss_delta,total_shipped,total_shipped_delta,case_dir,score_decisionnel_modele,score_decisionnel_pct,impact_metier_score,impact_metier_pct,impact_metier_kpi,impact_metier_delta,impact_metier_lecture,cout_interpretation
SDC-VD0914360C__lead,SDC-VD0914360C,lead,Delai fournisseur,lead_time_extra_days,30.0,0,364,0.019913511,1.9914,cout +7.9%,1.0,0.0,0.0,0.995714286,0.0,0.94439367,0.001069,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,28713059.416,2100220.6204,7.891757,2442968.1302,2994.9571,0.0,0.0,492088704.6503,6773914.1224,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0914360C__lead,0.019913511,1.9914,0.39458785,39.4588,Cout total,+7.9%,cout +7.9%,cout en hausse vs reference
SDC-VD0914360C__reliability,SDC-VD0914360C,reliability,Fiabilite fournisseur,reliability,0.9,0,364,0.001227638,0.1228,cout +0.1% ; volume utile perdu par fiabilite -1118500,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26645387.5633,32548.7677,0.122305,2439895.6144,-77.5587,1118500.0,1118500.0,485421290.5279,106500.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0914360C__reliability,0.001227638,0.1228,0.046093794,4.6094,Volume utile perdu par fiabilite,-1118500,cout +0.1% ; volume utile perdu par fiabilite -1118500,cout en hausse vs reference
SDC-VD0914360C__quality,SDC-VD0914360C,quality,Qualite / release,quality_delay,14.0,0,364,0.010572117,1.0572,nervosite +2 ; cout +4.0%,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,18.0,2.0,60.0,0.0,58.0,0.0,0.0,0.0,27688739.9313,1075901.1357,4.04279,2443635.4465,3662.2734,0.0,0.0,488758340.3442,3443549.8163,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0914360C__quality,0.010572117,1.0572,0.2021395,20.214,Cout total,+4.0%,nervosite +2 ; cout +4.0%,cout en hausse vs reference
SDC-VD0914360C__upstream,SDC-VD0914360C,upstream,Appro amont fournisseur,external_capacity,0.5,0,364,0.0,0.0,aucune degradation KPI visible,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26612090.0085,-748.7871,-0.002814,2439789.7202,-183.4529,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0914360C__upstream,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,
SDC-VD0914360C__cost,SDC-VD0914360C,cost,Cout achat / transport,purchase_cost,1.5,0,364,0.014425542,1.4426,cout +5.8%,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,28148457.367,1535618.5714,5.770217,2439973.1731,0.0,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0914360C__cost,0.014425542,1.4426,0.28851085,28.8511,Cout total,+5.8%,cout +5.8%,cout en hausse vs reference
SDC-VD0901566A__capacity,SDC-VD0901566A,capacity,Capacite fournisseur,capacity,0.5,0,364,0.0,0.0,aucune degradation KPI visible,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26612838.7956,0.0,0.0,2439973.1731,0.0,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0901566A__capacity,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,
SDC-VD0901566A__stock,SDC-VD0901566A,stock,Stock fournisseur,stock,0.5,0,364,0.0,0.0,aucune degradation KPI visible,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26612838.7956,0.0,0.0,2439973.1731,0.0,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0901566A__stock,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,
SDC-VD0901566A__lead,SDC-VD0901566A,lead,Delai fournisseur,lead_time_extra_days,30.0,0,364,0.0,0.0,aucune degradation KPI visible,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26612144.4132,-694.3824,-0.002609,2439803.0494,-170.1237,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0901566A__lead,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,
SDC-VD0901566A__reliability,SDC-VD0901566A,reliability,Fiabilite fournisseur,reliability,0.9,0,364,0.000292594,0.0293,volume utile perdu par fiabilite -320000 ; flux expedies -70000,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26597787.8092,-15050.9864,-0.056555,2439747.2866,-225.8865,320000.0,320000.0,485244790.5279,-70000.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0901566A__reliability,0.000292594,0.0293,0.013187317,1.3187,Volume utile perdu par fiabilite,-320000,volume utile perdu par fiabilite -320000 ; flux expedies -70000,cout en baisse car flux/achats baissent: ne pas lire comme un gain
SDC-VD0901566A__quality,SDC-VD0901566A,quality,Qualite / release,quality_delay,14.0,0,364,0.0,0.0,aucune degradation KPI visible,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26612514.7505,-324.0451,-0.001218,2439893.782,-79.3911,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0901566A__quality,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,
