variant,record_index,system,component,mass_kg,missing_roles,present_roles,tier4_count,tier3_count,tier2_count,tier1_count,oem_count
primary,74,Commande actionnement ECU,Commande actionnement ECU,0.75,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,0.151,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,76,Manchette acc. Mobile,cuir,0.039,tier4_raw_material,tier3_first_transformation;tier2_second_transformation;tier1;oem,0,1,1,1,1
primary,77,Manchette équipée,cuir,0.06,tier4_raw_material,tier3_first_transformation;tier2_second_transformation;tier1;oem,0,1,1,1,1
primary,78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",1.928,tier1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation;oem,1,1,1,0,1
primary,81,Ens. Structure fauteuil,inox,0.045,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,94,Accoudoir allée,inox,0.018054,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,95,Ens. Palette optimisée,inox,0.023743,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,96,Ensemble porte,inox,0.0047592,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,98,Ens. Tablette cocktail,inox,0.012,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,99,Ens. Tablette repas,inox,0.014,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,100,Ens. Têtière,inox,0.001,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,101,Stowage assemblé avec porte,inox,0.00928,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,102,Support écran,inox,0.014,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,110,Ens. Coque,NIDA - GLO (moulage par injection plastique),8.439,tier1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation;oem,1,1,1,0,1
primary,116,Ens. Structure fixe,35NC6 (nickel-chrome),0.029,tier4_raw_material;tier3_first_transformation;tier2_second_transformation,tier1;oem,0,0,0,1,1
primary,121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",2.378,tier1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation;oem,1,1,1,0,1
primary,123,Ens. Structure fixe,Alu,3.5410117,tier2_second_transformation,tier4_raw_material;tier3_first_transformation;tier1;oem,1,1,0,1,1
primary,126,Powerbox,powerbox,1.5,tier1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation;oem,1,1,1,0,1
primary,127,Ens. Coque,SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider,0.392,tier1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation;oem,1,1,1,0,1
primary,128,Ens. Coque,Résine BR623 - composite,0.488,tier1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation;oem,1,1,1,0,1
primary,129,Ens. Tablette repas,Silicone50 shore,0.0007,tier4_raw_material,tier3_first_transformation;tier2_second_transformation;tier1;oem,0,1,1,1,1
primary,131,Coussin têtière,tissu,0.191,tier4_raw_material,tier3_first_transformation;tier2_second_transformation;tier1;oem,0,1,1,1,1
primary,132,Ens. Coussin assise,tissu,0.42,tier4_raw_material,tier3_first_transformation;tier2_second_transformation;tier1;oem,0,1,1,1,1
primary,133,Ens.coussin dossier version têtière,tissu,0.748,tier4_raw_material,tier3_first_transformation;tier2_second_transformation;tier1;oem,0,1,1,1,1
primary,134,Ens. Coussin dossier,tissu,0.743,tier4_raw_material,tier3_first_transformation;tier2_second_transformation;tier1;oem,0,1,1,1,1
primary,135,Ens. Tablette cocktail,tissu,0.002,tier4_raw_material,tier3_first_transformation;tier2_second_transformation;tier1;oem,0,1,1,1,1
