policy_label,material,inbound_transport,energy,storage,outbound_transport,backlog_penalty,adaptation_capex,total
Baseline degradee,317608.5869288044,17507.373742885175,6452.151537458018,4282.306453931409,33975.149887622734,10441.694115668432,14255.999999999996,433443.2626663702
Baseline + biomasse,321062.8307244872,17707.87767474137,6247.257520907341,5302.6874761526815,33981.708324775485,9711.96746819098,16895.999999999996,439830.32918925514
