policy_label,method,total_kgCO2e
Baseline degradee,Classical LCA,123588.38513750244
Baseline degradee,Time-Dependent DLCA,152104.78899634516
Baseline degradee,State-Dependent Dynamic LCA,170345.5150078925
Baseline + biomasse,Classical LCA,123705.87818866092
Baseline + biomasse,Time-Dependent DLCA,152383.54144835018
Baseline + biomasse,State-Dependent Dynamic LCA,170037.64130557928
