month_index,year,month,climate_event,operational_feedback_event,backlog_end,capacity_utilization,grid_share,scarcity,outbound_mode,regime_environnemental,evt_canicule,evt_secheresse,evt_tempete_inondation,evt_maintenance_corrective,evt_congestion_logistique,evt_overtime_energetique,evt_capacite_appoint,evt_recalage_qualite
1,2026,1,aucun,aucun,0.0,0.4714667215342343,0.8215683139137726,0.1,truck,nominal,0,0,0,0,0,0,0,0
2,2026,2,aucun,aucun,0.0,0.49157118187976523,0.8714900154840555,0.10117154811715481,truck,nominal,0,0,0,0,0,0,0,0
3,2026,3,aucun,aucun,0.0,0.5043437919746501,0.8582584587444506,0.10234309623430964,truck,nominal,0,0,0,0,0,0,0,0
4,2026,4,aucun,aucun,0.0,0.5065241945672665,0.835668918551962,0.10351464435146444,truck,nominal,0,0,0,0,0,0,0,0
5,2026,5,aucun,aucun,0.0,0.5015869427501223,0.8153094719614086,0.10468619246861925,truck,nominal,0,0,0,0,0,0,0,0
6,2026,6,aucun,aucun,0.0,0.4890633328166789,0.8057457919274411,0.10585774058577406,truck,nominal,0,0,0,0,0,0,0,0
7,2026,7,aucun,aucun,0.0,0.46989713819567097,0.7936016651421988,0.10702928870292888,truck,nominal,0,0,0,0,0,0,0,0
8,2026,8,aucun,aucun,0.0,0.4491544228210006,0.7763490671242202,0.10820083682008369,truck,nominal,0,0,0,0,0,0,0,0
9,2026,9,aucun,aucun,0.0,0.43277631151088014,0.7607722560446103,0.1093723849372385,truck,nominal,0,0,0,0,0,0,0,0
10,2026,10,aucun,aucun,0.0,0.42787119737346024,0.7679758413836327,0.1105439330543933,truck,nominal,0,0,0,0,0,0,0,0
11,2026,11,aucun,aucun,0.0,0.43784759737310375,0.785285810991848,0.11171548117154813,truck,nominal,0,0,0,0,0,0,0,0
12,2026,12,aucun,aucun,0.0,0.45629081373414526,0.8027228999819119,0.11288702928870294,truck,nominal,0,0,0,0,0,0,0,0
13,2027,1,aucun,aucun,0.0,0.47841031085363706,0.81116894772306,0.11405857740585774,truck,nominal,0,0,0,0,0,0,0,0
14,2027,2,aucun,aucun,0.0,0.4984338432221665,0.8107430583518345,0.11523012552301257,truck,nominal,0,0,0,0,0,0,0,0
15,2027,3,aucun,aucun,0.0,0.48755486116846775,0.7905735931206698,0.11640167364016737,truck,nominal,0,0,0,0,0,0,0,0
16,2027,4,aucun,aucun,0.0,0.5133239140822088,0.7874997783500437,0.11757322175732218,truck,nominal,0,0,0,0,0,0,0,0
17,2027,5,aucun,aucun,0.0,0.5084037466952147,0.7731821321835671,0.11874476987447699,truck,nominal,0,0,0,0,0,0,0,0
18,2027,6,aucun,aucun,0.0,0.4959268549988835,0.7713211530650012,0.11991631799163181,truck,nominal,0,0,0,0,0,0,0,0
19,2027,7,aucun,aucun,0.0,0.4768332967333364,0.762471858574618,0.12108786610878662,truck,nominal,0,0,0,0,0,0,0,0
20,2027,8,aucun,aucun,0.0,0.45616932694131085,0.7507051825638924,0.12225941422594143,truck,nominal,0,0,0,0,0,0,0,0
21,2027,9,aucun,aucun,0.0,0.4398528712207228,0.7384662583338997,0.12343096234309624,truck,nominal,0,0,0,0,0,0,0,0
22,2027,10,aucun,aucun,0.0,0.43496459828043577,0.750476108170011,0.12460251046025106,truck,nominal,0,0,0,0,0,0,0,0
23,2027,11,aucun,aucun,0.0,0.4448997711078752,0.7727533559133047,0.12577405857740587,truck,nominal,0,0,0,0,0,0,0,0
24,2027,12,aucun,aucun,0.0,0.4632687661439636,0.79494962031441,0.12694560669456068,truck,nominal,0,0,0,0,0,0,0,0
25,2028,1,aucun,aucun,0.0,0.48529975717123475,0.8076124442355659,0.12811715481171548,truck,nominal,0,0,0,0,0,0,0,0
26,2028,2,aucun,aucun,0.0,0.5052430099831906,0.8109484677655125,0.1292887029288703,truck,nominal,0,0,0,0,0,0,0,0
27,2028,3,aucun,aucun,0.0,0.49007202590376364,0.7927092978392805,0.1304602510460251,truck,nominal,0,0,0,0,0,0,0,0
28,2028,4,aucun,aucun,0.0,0.5200706640567865,0.7919581110273931,0.13163179916317994,truck,nominal,0,0,0,0,0,0,0,0
29,2028,5,aucun,aucun,0.0,0.5151674652434675,0.7779645890789423,0.13280334728033474,truck,nominal,0,0,0,0,0,0,0,0
30,2028,6,aucun,aucun,0.0,0.5027369453065347,0.776062806939938,0.13397489539748955,truck,nominal,0,0,0,0,0,0,0,0
31,2028,7,aucun,aucun,0.0,0.4837154754387506,0.7674785394852173,0.13514644351464436,truck,nominal,0,0,0,0,0,0,0,0
32,2028,8,aucun,aucun,0.0,0.46312965609799983,0.7561855142307957,0.13631799163179917,truck,nominal,0,0,0,0,0,0,0,0
