activity_name,name,amount,database,location,unit,type,formula,original_amount,reference_product,unknown,categories
Accoudoir allee,Accoudoir allee,1.0,OPERA,FR,unit,production,,,Accoudoir allee,,
Accoudoir allee,"compressed air production, 1000 kPa gauge, <30kW, optimised generation",0.0239,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,aa_air_alu5086,1.0,"compressed air, 1000 kPa gauge",,
Accoudoir allee,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.0003611111111111111,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,aa_inc_elec_ert/3.6,1.0,"electricity, medium voltage",,
Accoudoir allee,"fleece production, polyethylene",0.000469,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,aa_m_pe_pack,1.0,"fleece, polyethylene",,
Accoudoir allee,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.00237,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,aa_inc_heat_ert,1.0,"heat, district or industrial, other than natural gas",,
Accoudoir allee,"market for aluminium, primary, ingot",3.2159,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,aa_m_alu2017+aa_m_alu2024-aa_eol_alu2017- aa_eol_alu2024+aa_m_alu5086+aa_m_alu-aa_eol_alu5086-aa_eol_alu,1.0,"aluminium, primary, ingot",,
Accoudoir allee,"market for electricity, low voltage",1.052777777777778,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,aa_elec_alu2017/3.6+aa_inc_elec_ert/3.6+aa_elec_alu5086/3.6+aa_elec_alu/3.6+aa_elec_acier/3.6+aa_elec_inox/3.6+aa_elec_30ncd6/3.6+aa_elec_ert/3.6,1.0,"electricity, low voltage",,
Accoudoir allee,market for lubricating oil,4.2e-05,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,aa_lub_alu5086,1.0,lubricating oil,,
Accoudoir allee,market for nylon 6,0.0103,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,aa_m_pa6_ert,1.0,nylon 6,,
Accoudoir allee,market for plywood,0.089,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,aa_m_ply_pack,1.0,plywood,,
Accoudoir allee,market for scrap steel,0.07476000000000001,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,aa_eol_acier+aa_eol_inox+aa_eol_30ncd6,1.0,scrap steel,,
Accoudoir allee,"market for selective coat, stainless steel sheet, black chrome",0.197,ecoinvent-3.10-cutoff,GLO,square meter,technosphere,aa_pass_alu2017,1.0,"selective coat, stainless steel sheet, black chrome",,
Accoudoir allee,"market for transport, freight, lorry 16-32 metric ton, EURO5",3.89,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,aa_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Accoudoir allee,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,aa_m_wat_ert,1.0,tap water,,
Accoudoir allee,"steel production, chromium steel 18/8, hot rolled",0.0199,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,aa_m_inox,1.0,"steel, chromium steel 18/8, hot rolled",,
Accoudoir allee,"steel production, converter, low-alloyed",0.73494,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-aa_eol_inox-aa_eol_acier+aa_m_acier+aa_m_30ncd6-aa_eol_30ncd6,1.0,"steel, low-alloyed",,
Accoudoir allee,"treatment of aluminium scrap, new, at refiner",0.0587,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,aa_eol_alu5086+aa_eol_alu,1.0,"aluminium oxide, non-metallurgical",,
Accoudoir allee,"treatment of aluminium scrap, new, at remelter",10.4174,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,aa_eol_alu2017+aa_eol_alu2024,1.0,"aluminium, wrought alloy",,
Brackets set,Brackets set,1.0,OPERA,GLO,unit,production,,,Brackets set,,
Brackets set,"market for transport, freight, lorry 16-32 metric ton, EURO5",0.61,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,bras_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Brackets set,"market for wastewater, average",-0.00015,ecoinvent-3.10-cutoff,Europe without Switzerland,cubic meter,technosphere,-bras_waste_wat_pack/1000,1.0,"wastewater, average",,
Brackets set,"packaging film production, low density polyethylene",0.1,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,bras_pe_pack,1.0,"packaging film, low density polyethylene",,
Brackets set,tetrafluoroethylene production,1.01,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,bras_ptfe_cable,1.0,tetrafluoroethylene,,
Brackets set,"wire drawing, copper",2.36,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,bras_cu_cable,1.0,"wire drawing, copper",,
