label,meta,value,row_count
Ens. Structure fauteuil / A2017 - Aluminium,aluminium,1462.766871708,5591
System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion. / System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,1211.467315863,3599
Ens. Coque / NIDA - GLO (moulage par injection plastique),polymer_plastic,890.739241873,4966
Ens. Palette optimisée / Alu,aluminium,600.203573552,3205
Ens. Palette optimisée / A2017 - Aluminium,aluminium,593.842546805,3046
Ens. Structure fauteuil / A2024 - Aluminium,aluminium,591.361511981,5591
Ensemble porte / Alu,aluminium,365.875138793,3205
"Ecran - Screen Display (COTS) / Display, liquid crystal, 17 pouces",electronics_cots,345.406402925,3092
lightning / lightning,electronics_cots,328.68305964,3029
"Support écran Screen Display (COTS) / Display, liquid crystal, 17 pouces",electronics_cots,266.715466333,3092
Ens. Equipements latéraux / A5086 - Aluminium,aluminium,223.837335114,3436
Ens. Tablette cocktail / A2017 - Aluminium,aluminium,208.919462489,3146
Stowage assemblé avec porte / A2017 - Aluminium,aluminium,200.726965959,3074
Ens. Structure fixe / Alu,aluminium,193.097874018,3205
"Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4) / Display, liquid crystal, 17 pouces",electronics_cots,188.834725967,1952
Support clamps / nylon,textile_leather,180.364134312,5269
Stowage assemblé avec porte / A5086 - Aluminium,aluminium,152.186413889,3436
Accoudoir allée / Alu,aluminium,145.975781424,3205
Ens. Structure fauteuil / acier,steel,141.861684162,4083
Commande actionnement ECU / Commande actionnement ECU,electronics_cots,136.065888354,1914
