result_view,end_of_life_variant,indicator,short_label,phase,value,unit,source_sheet,source_row
person_equivalent,landfill,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",Livraison,0.002779465,person eq.,Graphes perseq,50
person_equivalent,landfill,"Eutrophication, freshwater","Eutrophication, freshwater",Livraison,0.001985387,person eq.,Graphes perseq,48
person_equivalent,landfill,"Resource use, fossils","Resource use, fossils",Fin de vie,0.0011301,person eq.,Graphes perseq,51
person_equivalent,landfill,Climate change,Climate change,Fin de vie,0.0010907,person eq.,Graphes perseq,46
person_equivalent,landfill,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",Site assemblage,0.001085254,person eq.,Graphes perseq,50
person_equivalent,landfill,"Human toxicity, cancer - total","Human toxicity, cancer - total",Livraison,0.000695098,person eq.,Graphes perseq,49
person_equivalent,landfill,Acidification,Acidification,Site assemblage,0.000646308,person eq.,Graphes perseq,45
person_equivalent,landfill,Acidification,Acidification,Fin de vie,0.0005463,person eq.,Graphes perseq,45
person_equivalent,landfill,"Human toxicity, cancer - total","Human toxicity, cancer - total",Site assemblage,0.000359741,person eq.,Graphes perseq,49
person_equivalent,landfill,Water use,Water use,Site assemblage,0.000264753,person eq.,Graphes perseq,53
person_equivalent,landfill,"Eutrophication, freshwater","Eutrophication, freshwater",Fin de vie,0.000200412,person eq.,Graphes perseq,48
person_equivalent,landfill,"Resource use, mineral and metals","Resource use, mineral and metals",Livraison,0.0001584,person eq.,Graphes perseq,52
person_equivalent,landfill,"Resource use, mineral and metals","Resource use, mineral and metals",Site assemblage,0.000101381,person eq.,Graphes perseq,52
person_equivalent,landfill,"Eutrophication, freshwater","Eutrophication, freshwater",Site assemblage,2.5791e-05,person eq.,Graphes perseq,48
person_equivalent,landfill,Water use,Water use,Fin de vie,2.228e-05,person eq.,Graphes perseq,53
person_equivalent,landfill,"Resource use, mineral and metals","Resource use, mineral and metals",Fin de vie,1.142e-05,person eq.,Graphes perseq,52
weighted,landfill,"Resource use, mineral and metals","Resource use, mineral and metals",IFE,8.053434968,weighted person eq.,Graphes pondéré,52
weighted,recycling,"Resource use, mineral and metals","Resource use, mineral and metals",IFE,8.053434968,weighted person eq.,Graphes pondéré,64
weighted,landfill,"Resource use, mineral and metals","Resource use, mineral and metals",Sous-ensemble,4.7447392,weighted person eq.,Graphes pondéré,52
weighted,recycling,"Resource use, mineral and metals","Resource use, mineral and metals",Sous-ensemble,4.7447392,weighted person eq.,Graphes pondéré,64
weighted,landfill,Water use,Water use,IFE,4.564098895,weighted person eq.,Graphes pondéré,53
weighted,recycling,Water use,Water use,IFE,4.564098895,weighted person eq.,Graphes pondéré,65
weighted,landfill,"Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",IFE,1.223810611,weighted person eq.,Graphes pondéré,47
weighted,recycling,"Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",IFE,1.223810611,weighted person eq.,Graphes pondéré,59
weighted,landfill,Climate change,Climate change,Sous-ensemble,0.806052408,weighted person eq.,Graphes pondéré,46
weighted,recycling,Climate change,Climate change,Sous-ensemble,0.806052408,weighted person eq.,Graphes pondéré,58
weighted,landfill,Water use,Water use,Sous-ensemble,0.547971621,weighted person eq.,Graphes pondéré,53
weighted,recycling,Water use,Water use,Sous-ensemble,0.547971621,weighted person eq.,Graphes pondéré,65
weighted,landfill,"Resource use, fossils","Resource use, fossils",Sous-ensemble,0.516229049,weighted person eq.,Graphes pondéré,51
weighted,recycling,"Resource use, fossils","Resource use, fossils",Sous-ensemble,0.516229049,weighted person eq.,Graphes pondéré,63
weighted,landfill,"Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",Sous-ensemble,0.455938248,weighted person eq.,Graphes pondéré,47
weighted,recycling,"Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",Sous-ensemble,0.455938248,weighted person eq.,Graphes pondéré,59
weighted,landfill,"Eutrophication, freshwater","Eutrophication, freshwater",IFE,0.406732337,weighted person eq.,Graphes pondéré,48
weighted,recycling,"Eutrophication, freshwater","Eutrophication, freshwater",IFE,0.406732337,weighted person eq.,Graphes pondéré,60
weighted,landfill,Climate change,Climate change,IFE,0.3396513,weighted person eq.,Graphes pondéré,46
weighted,recycling,Climate change,Climate change,IFE,0.3396513,weighted person eq.,Graphes pondéré,58
weighted,landfill,"Eutrophication, freshwater","Eutrophication, freshwater",Sous-ensemble,0.236882286,weighted person eq.,Graphes pondéré,48
weighted,recycling,"Eutrophication, freshwater","Eutrophication, freshwater",Sous-ensemble,0.236882286,weighted person eq.,Graphes pondéré,60
weighted,landfill,"Resource use, fossils","Resource use, fossils",IFE,0.216793099,weighted person eq.,Graphes pondéré,51
weighted,recycling,"Resource use, fossils","Resource use, fossils",IFE,0.216793099,weighted person eq.,Graphes pondéré,63
weighted,landfill,Acidification,Acidification,Sous-ensemble,0.195489517,weighted person eq.,Graphes pondéré,45
weighted,recycling,Acidification,Acidification,Sous-ensemble,0.195489517,weighted person eq.,Graphes pondéré,57
