indicator,short_label,ef30_category,indicator_scope,raw_unit,raw_sum_value,raw_mean_value,raw_max_value,component_count,normalization_factor_per_person_year,normalization_factor_unit,person_equivalent_value,person_equivalent_unit,include_in_person_equivalent,normalization_status,normalization_source,raw_plot_label,pe_plot_label
"EF 3.0 Human toxicity, cancer - total [CTUh]","Human toxicity, cancer - total","Human toxicity, cancer",aggregate,CTUh,9.6763e-05,3.75e-07,8.4e-05,258,1.6899507e-05,CTUh/person,5.725788198,person eq.,True,normalized_ef30_person_equivalent,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Human toxicity, cancer - total [CTUh]","Human toxicity, cancer - total"
EF 3.0 Water use [m³ world equiv.],Water use,Water use,aggregate,m³ world equiv.,31652.528804313,122.210535924,31009.991735,259,11468.708640759718,m3 water eq of deprived water/person,2.759903473,person eq.,True,normalized_ef30_person_equivalent,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,Water use [m³ world equiv.],Water use
"EF 3.0 Eutrophication, freshwater [kg P eq.]","Eutrophication, freshwater",Freshwater eutrophication,aggregate,kg P eq.,1.678949282,0.006507555,1.21,258,1.606852128288,kg P eq./person,1.044868568,person eq.,True,normalized_ef30_person_equivalent,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Eutrophication, freshwater [kg P eq.]","Eutrophication, freshwater"
"EF 3.0 Ionising radiation, human health [kBq U235 eq.]","Ionising radiation, human health",Ionising radiation,aggregate,kBq U235 eq.,1116.68620286,4.311529741,692.162649221,259,4220.15981253385,kBq U-235 eq./person,0.264607563,person eq.,True,normalized_ef30_person_equivalent,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Ionising radiation, human health [kBq U235 eq.]","Ionising radiation, human health"
EF 3.0 Land Use [Pt],Land Use,Land use,aggregate,Pt,33631.803886192,129.852524657,12659.051088859,259,819498.1829230306,pt/person,0.04103951,person eq.,True,normalized_ef30_person_equivalent,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,Land Use [Pt],Land Use
EF 3.0 Ozone depletion [kg CFC-11 eq.],Ozone depletion,Ozone depletion,aggregate,kg CFC-11 eq.,0.000102668,3.96e-07,7.4532e-05,259,0.053647990567,kg CFC-11 eq./person,0.001913734,person eq.,True,normalized_ef30_person_equivalent,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,Ozone depletion [kg CFC-11 eq.],Ozone depletion
"EF 3.0 Ecotoxicity, freshwater inorganics [CTUe]","Ecotoxicity, freshwater inorganics",Ecotoxicity freshwater,subindicator,CTUe,5068080.355753616,20856.297760303,4431000.0,243,42683.16186559794,CTUe/person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Ecotoxicity, freshwater inorganics [CTUe]","Ecotoxicity, freshwater inorganics"
"EF 3.0 Climate Change, fossil [kg CO2 eq.]","Climate Change, fossil",Climate change,subindicator,kg CO2 eq.,527029.298597828,2168.844850197,403200.0,243,8095.525063944057,kg CO2 eq./person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Climate Change, fossil [kg CO2 eq.]","Climate Change, fossil"
"EF 3.0 Ecotoxicity, freshwater metals [CTUe]","Ecotoxicity, freshwater metals",Ecotoxicity freshwater,subindicator,CTUe,82722.140823223,341.827028195,70700.0,242,42683.16186559794,CTUe/person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Ecotoxicity, freshwater metals [CTUe]","Ecotoxicity, freshwater metals"
"EF 3.0 Ecotoxicity, freshwater organics [CTUe]","Ecotoxicity, freshwater organics",Ecotoxicity freshwater,subindicator,CTUe,41664.034227225,171.456930976,34930.0,243,42683.16186559794,CTUe/person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Ecotoxicity, freshwater organics [CTUe]","Ecotoxicity, freshwater organics"
"EF 3.0 Climate Change, biogenic [kg CO2 eq.]","Climate Change, biogenic",Climate change,subindicator,kg CO2 eq.,668.458955449,2.808651073,565.6,238,8095.525063944057,kg CO2 eq./person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Climate Change, biogenic [kg CO2 eq.]","Climate Change, biogenic"
"EF 3.0 Climate Change, land use and land use change [kg CO2 eq.]","Climate Change, land use and land use change",Climate change,subindicator,kg CO2 eq.,11.473364794,0.048207415,9.59,238,8095.525063944057,kg CO2 eq./person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Climate Change, land use and land use change [kg CO2 eq.]","Climate Change, land use and land use change"
"EF 3.0 Human toxicity, non-cancer metals [CTUh]","Human toxicity, non-cancer metals","Human toxicity, non-cancer",subindicator,CTUh,0.003158246,1.2289e-05,0.00270746,257,0.000229659216,CTUh/person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Human toxicity, non-cancer metals [CTUh]","Human toxicity, non-cancer metals"
"EF 3.0 Human toxicity, non-cancer inorganics [CTUh]","Human toxicity, non-cancer inorganics","Human toxicity, non-cancer",subindicator,CTUh,0.001249222,4.861e-06,0.000735532,257,0.000229659216,CTUh/person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Human toxicity, non-cancer inorganics [CTUh]","Human toxicity, non-cancer inorganics"
"EF 3.0 Human toxicity, cancer metals [CTUh]","Human toxicity, cancer metals","Human toxicity, cancer",subindicator,CTUh,9.4948e-05,3.81e-07,8.26e-05,249,1.6899507e-05,CTUh/person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Human toxicity, cancer metals [CTUh]","Human toxicity, cancer metals"
"EF 3.0 Human toxicity, non-cancer organics [CTUh]","Human toxicity, non-cancer organics","Human toxicity, non-cancer",subindicator,CTUh,4.719e-05,1.84e-07,3.3117e-05,257,0.000229659216,CTUh/person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Human toxicity, non-cancer organics [CTUh]","Human toxicity, non-cancer organics"
"EF 3.0 Human toxicity, cancer organics [CTUh]","Human toxicity, cancer organics","Human toxicity, cancer",subindicator,CTUh,9.78e-07,4e-09,1.683e-06,257,1.6899507e-05,CTUh/person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Human toxicity, cancer organics [CTUh]","Human toxicity, cancer organics"
"EF 3.0 Human toxicity, cancer inorganics [CTUh]","Human toxicity, cancer inorganics","Human toxicity, cancer",subindicator,CTUh,0.0,0.0,0.0,219,1.6899507e-05,CTUh/person,,,False,subindicator_excluded_to_avoid_double_counting,https://eplca.jrc.ec.europa.eu/permalink/Normalisation_Weighting_Factors_EF_3.0.xlsx,"Human toxicity, cancer inorganics [CTUh]","Human toxicity, cancer inorganics"
