name,amount,formula,parameter_family
sto_elec_alu2017,21.1,,sto
sto_pass_alu2017,0.197,,sto
sto_eol_alu2017,67.1,,sto
sto_m_35NC,0.00879,,sto
sto_elec_35NC,0.00256,,sto
sto_eol_35NC,7.92e-05,,sto
sto_m_inox,0.0102,,sto
sto_elec_inox,0.00297,,sto
sto_eol_inox,0.000919,,sto
sto_m_nylon,0.0412,,sto
sto_m_water_nylon,0.0,,sto
sto_elec_nylon,0.18,,sto
sto_inc_heat_nylon,0.00947,,sto
sto_inc_elec_nylon,0.00531,,sto
sto_m_pa6_ert,0.0206,,sto
sto_elec_ert,0.09,,sto
sto_m_wat_ert,0.0,,sto
sto_m_pvc_kyr,0.237,,sto
sto_elec_sili,0.00315,,sto
sto_m_sili,0.000721,,sto
sto_m_water_sili,0.0,,sto
sto_m_box_pack,0.00338,,sto
sto_m_pe_pack,0.000375,,sto
sto_m_ply_pack,0.0712,,sto
sto_truck_pack,3.59,,sto
sto_m_acier,0.104,,sto
sto_elec_acier,0.0302,,sto
sto_eol_acier,0.00934,,sto
sea_m_alu2017,17.5,,sea
sea_elec_alu2017,5.1,,sea
sea_pass_alu2017,0.301,,sea
sea_eol_alu2017,15.7,,sea
sea_m_alu5086,0.583,,sea
sea_elec_alu5086,0.17,,sea
sea_elec_air_alu5086,0.105,,sea
sea_air_alu5086,0.0383,,sea
sea_lub_air_alu5086,6.73e-05,,sea
sea_solv_alu5086,0.0056,,sea
sea_eol_alu5086,0.0757,,sea
sea_m_inox,0.0154,,sea
sea_elec_inox,0.00448,,sea
sea_eol_inox,0.00139,,sea
sea_m_acier,0.063,,sea
sea_elec_acier,0.0184,,sea
sea_eol_acier,0.00568,,sea
sea_m_box,0.00169,,sea
sea_m_pe_pack,0.000188,,sea
sea_m_ply_pack,0.0356,,sea
sea_truck_pack,1.28,,sea
RF_m_alu6060,0.466,,RF
RF_elec_alu6060,0.136,,RF
RF_elec_air_alu6060,0.0839,,RF
RF_air_alu6060,0.0306,,RF
RF_lub_alu6060,5.37e-05,,RF
RF_eol_alu6060,0.0604,,RF
RF_m_alu5086,1.07,,RF
RF_elec_alu5086,0.313,,RF
RF_elec_air_alu5086,0.193,,RF
RF_air_alu5086,0.0705,,RF
RF_lub_alu5086,0.000124,,RF
RF_eol_alu5086,0.139,,RF
RF_m_steel,0.063,,RF
RF_elec_acier,0.0184,,RF
RF_eol_acier,0.0058,,RF
RF_m_box_pack,0.283,,RF
RF_m_pallet_pack,2.5,,RF
RF_m_pap_pack,0.0142,,RF
RF_m_pe_pack,0.0142,,RF
RF_truck_pack,1.7,,RF
hsf_m_alu5086,1.19,,hsf
hsf_elec_alu5086,0.346,,hsf
hsf_elec_air_alu5086,0.214,,hsf
hsf_air_alu5086,0.078,,hsf
hsf_lub_air_alu5086,0.000137,,hsf
hsf_solv_alu5086,1.03,,hsf
hsf_eol_alu5086,0.154,,hsf
hsf_m_acier,0.0298,,hsf
hsf_elec_acier,0.00867,,hsf
hsf_eol_acier,0.00268,,hsf
hsf_m_pu_velours,0.0035,,hsf
hsf_m_pa66_velours,0.0035,,hsf
hsf_m_box,9.15e-07,,hsf
hsf_m_pe_pack,1.02e-07,,hsf
hsf_m_ply_pack,1.91e-05,,hsf
hsf_truc_pack,0.634,,hsf
epo_m_alu2017,90.4,,epo
