indicator,unit,component_count,sum_value,mean_value,max_value
"EF 3.0 Resource use, fossils [MJ]",MJ,259,7151241.230365216,27610.97000141,6234875.009646598
"EF 3.0 Ecotoxicity, freshwater - total [CTUe]",CTUe,259,5340064.666004991,20618.010293456,4536000.0
"EF 3.0 Ecotoxicity, freshwater inorganics [CTUe]",CTUe,243,5068080.355753616,20856.297760303,4431000.0
EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,259,528769.689741673,2041.581813674,403200.0
"EF 3.0 Climate Change, fossil [kg CO2 eq.]",kg CO2 eq.,243,527029.298597828,2168.844850197,403200.0
"EF 3.0 Ecotoxicity, freshwater metals [CTUe]",CTUe,242,82722.140823223,341.827028195,70700.0
"EF 3.0 Ecotoxicity, freshwater organics [CTUe]",CTUe,243,41664.034227225,171.456930976,34930.0
EF 3.0 Land Use [Pt],Pt,259,33631.803886192,129.852524657,12659.051088859
EF 3.0 Water use [m³ world equiv.],m³ world equiv.,259,31652.528804313,122.210535924,31009.991735
"EF 3.0 Eutrophication, terrestrial [Mole of N eq.]",Mole of N eq.,259,10490.978712422,40.505709314,8750.0
"EF 3.0 Photochemical ozone formation, human health [kg NMVOC eq.]",kg NMVOC eq.,259,2719.397563549,10.499604492,2191.69234128
EF 3.0 Acidification [Mole of H+ eq.],Mole of H+ eq.,259,2114.298694361,8.163315422,1645.0
"EF 3.0 Ionising radiation, human health [kBq U235 eq.]",kBq U235 eq.,259,1116.68620286,4.311529741,692.162649221
"EF 3.0 Eutrophication, marine [kg N eq.]",kg N eq.,259,956.818612256,3.694280356,798.0
"EF 3.0 Climate Change, biogenic [kg CO2 eq.]",kg CO2 eq.,238,668.458955449,2.808651073,565.6
"EF 3.0 Climate Change, land use and land use change [kg CO2 eq.]",kg CO2 eq.,238,11.473364794,0.048207415,9.59
"EF 3.0 Eutrophication, freshwater [kg P eq.]",kg P eq.,258,1.678949282,0.006507555,1.21
"EF 3.0 Resource use, mineral and metals [kg Sb eq.]",kg Sb eq.,259,0.452553655,0.001747311,0.391652578
EF 3.0 Particulate matter [Disease incidences],Disease incidences,259,0.006808917,2.6289e-05,0.004608101
"EF 3.0 Human toxicity, non-cancer - total [CTUh]",CTUh,259,0.004475081,1.7278e-05,0.003447332
"EF 3.0 Human toxicity, non-cancer metals [CTUh]",CTUh,257,0.003158246,1.2289e-05,0.00270746
"EF 3.0 Human toxicity, non-cancer inorganics [CTUh]",CTUh,257,0.001249222,4.861e-06,0.000735532
EF 3.0 Ozone depletion [kg CFC-11 eq.],kg CFC-11 eq.,259,0.000102668,3.96e-07,7.4532e-05
"EF 3.0 Human toxicity, cancer - total [CTUh]",CTUh,258,9.6763e-05,3.75e-07,8.4e-05
"EF 3.0 Human toxicity, cancer metals [CTUh]",CTUh,249,9.4948e-05,3.81e-07,8.26e-05
"EF 3.0 Human toxicity, non-cancer organics [CTUh]",CTUh,257,4.719e-05,1.84e-07,3.3117e-05
"EF 3.0 Human toxicity, cancer organics [CTUh]",CTUh,257,9.78e-07,4e-09,1.683e-06
"EF 3.0 Human toxicity, cancer inorganics [CTUh]",CTUh,219,0.0,0.0,0.0
