month_index,seat_equivalent_volume,production_static_kgco2e,sdd_inventory_delta_kgco2e,production_dynamic_kgco2e,cycle_dynamic_with_stelia_usage_kgco2e,delta_vs_static_pct,legacy_sdd_surimpact_proxy_kgco2e,legacy_sdd_kgco2e,backup_material,capacity_energy,disruption_energy_overhead,maintenance,premium_transport,recycling_credit,scrap_rework,scrap_treatment
1,1.0,2449.945067684,42.966915983,2492.911983667,462889.863737302,1.753791,175.032456,1496.480461,2.178965919,26.8165752,4.904733492,3.92378677,0.0,-0.948296061,5.831621566,0.259529097
2,1.0,2449.945067684,30.177022255,2480.122089939,462877.073843574,1.231743,96.254467,1412.14814,1.067306318,19.8509901,3.672024485,2.937619609,0.0,-0.533751334,2.961728523,0.221104554
3,1.0,2449.945067684,24.231657723,2474.176725407,462871.128479042,0.989069,80.53365,1394.678931,1.119015725,15.95110425,3.0713474,2.457077931,0.0,-0.49878645,1.906594487,0.22530438
4,1.0,2449.945067684,23.105399948,2473.050467632,462870.002221267,0.943099,93.931077,1409.213686,0.677412578,16.21520435,3.007071412,2.405657144,0.0,-0.399527214,1.03448231,0.165099368
5,1.0,2449.945067684,10.653359843,2460.598427527,462857.550181162,0.434841,56.138757,1365.302933,0.42135556,6.3805913,1.85889274,1.487114175,0.0,-0.164242536,0.59091921,0.078729394
6,1.0,2449.945067684,49.625687818,2499.570755502,462896.522509137,2.025584,206.399621,1524.284092,6.751286008,20.04371995,3.411084272,2.72886739,0.0,-2.747215663,19.03234181,0.405604051
7,1.0,2449.945067684,74.001803109,2523.946870793,462920.898624428,3.020549,270.939331,1594.195444,7.102803834,34.00551735,5.327749136,4.262199334,0.390462408,-4.905405509,27.041918401,0.776558155
8,1.0,2449.945067684,63.593722515,2513.538790199,462910.490543834,2.59572,187.607178,1509.60729,3.685387627,41.63889815,5.342151041,4.273720829,0.0,-1.849594375,10.08351788,0.419641363
9,1.0,2449.945067684,55.10881539,2505.053883074,462902.005636709,2.24939,280.475995,1604.388388,7.101620286,35.64060455,5.665289478,4.532231605,0.0,-0.35606163,2.202021367,0.323109734
10,1.0,2449.945067684,51.398970097,2501.344037781,462898.295791416,2.097964,334.402077,1655.68911,8.308599592,25.42322885,4.791204627,3.832963703,7.625958349,-0.517849324,1.62203332,0.31283098
11,1.0,2449.945067684,35.830528101,2485.775595785,462882.72734942,1.462503,328.770221,1651.560014,5.657801596,20.45640005,4.440886594,3.552709265,0.178964653,-0.822996069,2.092372973,0.274389039
12,1.0,2449.945067684,37.133317878,2487.078385562,462884.030139197,1.51568,152.370829,1470.905916,3.682161201,20.96620455,3.840775762,3.072620611,0.0,-1.418111946,6.621562661,0.368105039
13,1.0,2449.945067684,29.997374698,2479.942442382,462876.894196017,1.22441,159.099683,1472.340682,2.164128644,15.12999915,3.276190014,2.620952012,0.0,-1.202709244,7.650763196,0.358050926
14,1.0,2449.945067684,21.793459641,2471.738527325,462868.69028096,0.889549,226.954374,1542.002981,1.312684178,11.1521836,3.021622579,2.417298054,0.0,-1.043827527,4.559768068,0.373730689
15,1.0,2449.945067684,33.211156501,2483.156224185,462880.10797782,1.355588,93.206396,1411.985777,0.731300732,24.4757959,3.445550854,2.756440674,0.0,-0.437195627,2.027916215,0.211347753
16,1.0,2449.945067684,35.669733344,2485.614801028,462882.566554663,1.45594,92.728939,1410.232608,0.326209182,26.8386973,4.316565064,3.453252046,0.0,-0.227797152,0.826306068,0.136500836
17,1.0,2449.945067684,31.760332197,2481.705399881,462878.657153516,1.296369,82.660988,1406.140981,0.278703195,22.71115765,4.572172964,3.657738389,0.0,-0.345739659,0.722944476,0.163355182
18,1.0,2449.945067684,28.600947825,2478.546015509,462875.497769144,1.167412,127.743995,1441.579453,2.295851765,18.9879613,3.56518666,2.852149326,0.0,-0.567315079,1.19607347,0.271040383
19,1.0,2449.945067684,62.317335463,2512.262403147,462909.214156782,2.543622,228.949281,1546.475901,4.527435078,19.1731542,3.897845157,3.118276116,15.696525484,-3.131759783,18.378024616,0.657834595
20,1.0,2449.945067684,56.179848269,2506.124915953,462903.076669588,2.293106,351.298715,1668.630698,15.682271718,23.2614706,3.808865863,3.047092686,0.031779166,-1.891064586,11.684395115,0.555037707
21,1.0,2449.945067684,45.860072546,2495.80514023,462892.756893865,1.871882,496.301761,1815.104214,10.330886941,25.09802225,4.445554674,3.556443764,0.0,-0.582246805,2.599007799,0.412403923
22,1.0,2449.945067684,37.528554408,2487.473622092,462884.425375727,1.531812,459.408284,1774.624547,16.932980375,12.93833875,3.398193378,2.718554685,0.215492305,-0.546907659,1.552531181,0.319371393
23,1.0,2449.945067684,37.393458942,2487.338526626,462884.290280261,1.526298,329.652364,1648.331009,7.458526374,20.6166837,4.212450827,3.369960663,0.0,-0.748332047,2.187466281,0.296703144
24,1.0,2449.945067684,40.532861225,2490.477928909,462887.429682544,1.65444,264.75191,1585.016842,5.447734109,24.3684868,4.4336593,3.546927434,0.024840163,-0.987892035,3.41021404,0.288891414
25,1.0,2449.945067684,45.037040642,2494.982108326,462891.933861961,1.838288,109.48191,1431.022996,0.494461817,28.33442785,4.812606124,3.850084882,0.0,-2.182821353,9.254508102,0.47377322
26,1.0,2449.945067684,47.091197941,2497.036265625,462893.98801926,1.922133,143.738109,1464.351245,3.236736986,26.4722164,4.859128051,3.887302444,0.0,-1.92927248,10.031288633,0.533797907
27,1.0,2449.945067684,31.994602703,2481.939670387,462878.891424022,1.305931,160.684972,1477.767836,2.347648808,19.49304235,4.069177667,3.255342147,0.0,-0.693775316,3.160384478,0.362782569
28,1.0,2449.945067684,30.334430188,2480.279497872,462877.231251507,1.238168,273.905228,1592.617318,2.415714739,18.6350872,4.007647705,3.206118155,0.0,-1.060120127,2.701065333,0.428917183
29,1.0,2449.945067684,21.829444015,2471.774511699,462868.726265334,0.891018,80.755177,1397.157399,0.787221639,15.17490805,2.825333633,2.260266881,0.0,-0.450078382,1.02191144,0.209880754
30,1.0,2449.945067684,21.376720037,2471.321787721,462868.273541356,0.872539,98.400637,1411.6563,1.625745736,14.5025334,2.522839631,2.018271704,0.0,-0.382988623,0.898012185,0.192306004
31,1.0,2449.945067684,36.558204875,2486.503272559,462883.455026194,1.492205,146.255356,1463.176765,2.123011307,21.7556633,3.588438071,2.870750451,0.0,-1.123837432,7.018545514,0.325633664
32,1.0,2449.945067684,49.327836636,2499.27290432,462896.224657955,2.013426,457.771582,1783.466102,14.209088825,24.78609265,4.498513089,3.598810477,0.0,-0.404497276,2.301718707,0.338110164
33,1.0,2449.945067684,64.67969022,2514.624757904,462911.576511539,2.640047,623.221653,1949.393998,16.864961147,35.1453223,5.713974679,4.571179727,0.0,-0.510970113,2.513150444,0.382072036
34,1.0,2449.945067684,53.840358187,2503.785425871,462900.737179506,2.197615,409.525588,1736.887616,8.986857508,32.33222605,6.043914533,4.835131642,0.0,-0.608418015,1.849849576,0.400796893
35,1.0,2449.945067684,44.493490578,2494.438558262,462891.390311897,1.816102,312.778748,1632.244892,3.329097473,30.8102492,4.790033589,3.832026874,0.0,-0.829248564,2.23089141,0.330440596
36,1.0,2449.945067684,38.975236351,2488.920304035,462885.87205767,1.590862,178.257702,1498.244914,5.011909596,23.649261,4.25950205,3.407601633,0.0,-0.817247059,3.184562615,0.279646516
