switch_id,label,values,affected_exchange_count,requires_brightway_runtime,status
elec_switch_param,Mix electricite regional,fr|eu|us|cn,39,True,scripted_in_bw_tristan
al_switch_param,Mix aluminium primaire,eu|us|cn|row,48,True,scripted_in_bw_tristan
