path_id,record_index,path_type,system,component,family,component_mass_kg,path_allocation_share_pct,path_mass_kg,lca_use_class,lca_confidence,readiness,max_severity,issue_codes,issue_count,total_route_km,allocated_kg_km,modes,transport_model,t4,t4_site_uid,t4_country_code,t4_status,t3,t3_site_uid,t3_country_code,t3_status,t2,t2_site_uid,t2_country_code,t2_status,t1,t1_site_uid,t1_country_code,t1_status,oem,oem_site_uid,oem_country_code,oem_status,t4_t3_km,t4_t3_modes,t3_t2_km,t3_t2_modes,t2_t1_km,t2_t1_modes,t1_oem_km,t1_oem_modes
R001-P001,1,primary,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,100.0,3.6360048,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,9239.1,33593.4,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,ESPACE - internal machining/forming process,"espace_-_internal_machining/forming_process__tier2_second_transformation@@espace_-_internal_machining/forming_process__tier2_second_transformation@44.7776436,-0.6475364",FR,baseline_primary_assumed_internalized_process,ESPACE,"espace@@espace@44.7776,-0.6475",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,1113.4,truck,0.0,internal,490.2,truck
R002-P001,2,primary,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,0.022,100.0,0.022,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,1237.6,27.2,internal|truck,lane_specific,Saarstahl,"saarstahl@@saarstahl@49.3594,7.1715",DE,baseline_primary,Aubert & Duval,"aubert_duval@@aubert_duval@45.7772,3.087",FR,baseline_primary,MGA Villeneuve St Lot - internal machining/forming process,"mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@@mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@44.3974711,0.7316929",FR,baseline_primary_assumed_internalized_process,MGA Villeneuve St Lot,"mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,501.0,truck,237.0,truck,0.0,internal,499.6,truck
R003-P001,3,primary,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,polymer_plastic,0.0001731,100.0,0.0001731,quantitative_ready,high,primary_ready_topology,INFO,,0,20137.9,3.5,ship|truck,lane_specific,Mitsubishi Chemical,"mitsubishi_chemical@@mitsubishi_chemical@35.6812,139.7671",BE,baseline_primary,Toray Industries,"toray_industries@@toray_industries@35.6866,139.7746",JP,baseline_primary,Ensinger,"ensinger@@ensinger@48.501,8.8202",DE,baseline_primary,ESPACE,"espace@@espace@44.7776,-0.6475",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,9421.3,ship|truck,9394.3,ship|truck,832.1,truck,490.2,truck
R004-P001,4,primary,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,adhesive_composite,0.392,100.0,0.392,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,12691.8,4975.2,ship|truck,lane_specific,BASF,"basf__tier4_raw_material@@basf__tier4_raw_material@49.481,8.435",DE,baseline_primary_assumed_material_source,EPODEX,"epodex@@epodex@48.8456,2.3249",FR,baseline_primary,Sika,"sika@@sika@40.6998,-73.9244",US,baseline_primary_inferred_after_business_review,MGA Villeneuve St Lot,"mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,449.7,truck,5831.2,ship|truck,5911.3,ship|truck,499.6,truck
R005-P001,5,primary,Bumper version porte,alliage Cu,copper,0.006,100.0,0.006,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,2,473.3,2.8,internal|truck,lane_specific,Aurubis - copper source assumption,"aurubis_-_copper_source_assumption__tier4_raw_material@@aurubis_-_copper_source_assumption__tier4_raw_material@50.7584717,6.234312",DE,baseline_primary_assumed_material_source,Aurubis,"aurubis@@aurubis@50.7585,6.2343",DE,baseline_primary,SUMPAR - internal machining/forming process,"sumpar_-_internal_machining/forming_process__tier2_second_transformation@@sumpar_-_internal_machining/forming_process__tier2_second_transformation@49.3892868,1.2085766",FR,baseline_primary_assumed_internalized_process,SUMPAR,"sumpar@@sumpar@49.3893,1.2086",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,0.0,internal,389.5,truck,0.0,internal,83.8,truck
R006-P001,6,primary,Ens. Stowage latéral,cuir,textile_leather,0.112,100.0,0.112,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,1783.4,199.7,internal|truck,lane_specific,Gruppo Mastrotto - hide/raw leather source assumption,"gruppo_mastrotto_-_hide/raw_leather_source_assumption__tier4_raw_material@@gruppo_mastrotto_-_hide/raw_leather_source_assumption__tier4_raw_material@45.556,11.341",IT,baseline_primary_assumed_material_source,Gruppo Mastrotto,"gruppo_mastrotto@@gruppo_mastrotto@45.556,11.341",IT,baseline_primary_inferred_after_review,Maison Fichet,"maison_fichet@@maison_fichet@48.8706,2.3634",FR,baseline_primary,MGA Villeneuve St Lot,"mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,0.0,internal,771.1,truck,512.7,truck,499.6,truck
R007-P001,7,primary,lightning,lightning,electronics_cots,0.8,100.0,0.8,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,2,6318.2,5054.6,internal|ship|truck,lane_specific,COTS electronics component market basket,"cots_electronics_component_market_basket__tier4_raw_material@@cots_electronics_component_market_basket__tier4_raw_material@45.455,-73.735",CA,baseline_primary_assumed_non_switchable_cots,COTS electronics PCB/subassembly package,"cots_electronics_pcb/subassembly_package__tier3_first_transformation@@cots_electronics_pcb/subassembly_package__tier3_first_transformation@45.455,-73.735",CA,baseline_primary_assumed_non_switchable_cots,e2ip technologies,"e2ip_technologies@@e2ip_technologies@45.455,-73.735",CA,baseline_primary_inferred_after_review,Thales,"thales@@thales@43.5639,1.3821",FR,baseline_primary_inferred_after_review,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,0.0,internal,0.0,internal,5733.0,ship|truck,585.2,truck
R008-P001,8,primary,Padding (rembourrage),AIRVOLT LAMINAT,general,0.95,100.0,0.95,quantitative_ready,high,primary_ready_topology,INFO,,0,24376.3,23157.5,ship|truck,lane_specific,Klabin S.A.,"klabin_s_a@@klabin_s_a@-29.7858,-51.1144",BR,baseline_primary,Kronotex GmbH & Co,"kronotex_gmbh_co@@kronotex_gmbh_co@53.1472,12.3793",DE,baseline_primary,Glatfelter,"glatfelter@@glatfelter@39.8712,-76.864",US,baseline_primary_inferred_after_review,Celso SAS,"celso_sas@@celso_sas@43.9363,1.3228",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,11064.8,ship|truck,6530.7,ship|truck,6236.5,ship|truck,544.3,truck
R009-P001,9,primary,Stowage assemblé avec porte,Silicone,rubber_silicone,0.0007,100.0,0.0007,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,11685.2,8.2,ship|truck,lane_specific,Shin-Etsu Silicones,"shin-etsu_silicones__tier4_raw_material@@shin-etsu_silicones__tier4_raw_material@36.2983921,138.8497966",JP,baseline_primary_assumed_material_source,Saint-Gobain,"saint_gobain@@saint_gobain@49.5967,3.3759",FR,baseline_primary,Silicone Engineering,"silicone_engineering@@silicone_engineering@53.7486,-2.4875",GB,baseline_primary_inferred_after_review,MGA Villeneuve St Lot,"mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317",FR,baseline_primary_inferred_after_review,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,9507.7,ship|truck,612.1,truck,1065.8,truck,499.6,truck
R010-P001,10,primary,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,1.5,100.0,1.5,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,2,14512.2,21768.3,internal|ship|truck,lane_specific,Thales - COTS electronics component market basket,"thales_cots_electronics_component_market_basket_tier4_raw_material@@thales_cots_electronics_component_market_basket_tier4_raw_material@43.5638842,1.3821146",FR,baseline_primary_non_switchable_cots_placeholder,Thales - COTS electronics subassembly/PCB package,"thales_cots_electronics_subassembly_pcb_package_tier3_first_transformation@@thales_cots_electronics_subassembly_pcb_package_tier3_first_transformation@43.5638842,1.3821146",FR,baseline_primary_non_switchable_cots_placeholder,3M,"3m@@3m@41.9519,-88.7122",US,baseline_primary_inferred_after_review,Thales,"thales@@thales@43.5639,1.3821",FR,baseline_primary_inferred_after_review,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,0.0,internal,6963.5,ship|truck,6963.5,ship|truck,585.2,truck
