indicator,short_label,impact_total_person_equivalent,impact_without_use_person_equivalent,use_phase_person_equivalent,person_equivalent_unit,source_sheet,source_row
"EF 3.0 Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",111.956684774,5.493824774,106.46286,person eq.,Graphes perseq,25
"EF 3.0 Resource use, fossils","Resource use, fossils",96.514039116,0.574810739,95.939228377,person eq.,Graphes perseq,36
"EF 3.0 Photochemical ozone formation, human health","Photochemical ozone formation, human health",58.70349162,0.234136751,58.469354869,person eq.,Graphes perseq,35
EF 3.0 Climate Change - total,Climate Change - total,57.269114716,0.349104716,56.92001,person eq.,Graphes perseq,24
"EF 3.0 Eutrophication, terrestrial","Eutrophication, terrestrial",51.87259214,0.24317514,51.629417,person eq.,Graphes perseq,28
"EF 3.0 Eutrophication, marine","Eutrophication, marine",42.833969794,0.213174794,42.620795,person eq.,Graphes perseq,27
EF 3.0 Acidification,Acidification,33.414429784,0.254239784,33.16019,person eq.,Graphes perseq,23
"EF 3.0 Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",17.184476574,0.585595724,16.59888085,person eq.,Graphes perseq,30
"EF 3.0 Resource use, mineral and metals","Resource use, mineral and metals",10.846739499,10.594786241,0.251953258,person eq.,Graphes perseq,37
EF 3.0 Particulate matter,Particulate matter,10.121379838,0.238019661,9.883360178,person eq.,Graphes perseq,34
"EF 3.0 Human toxicity, cancer - total","Human toxicity, cancer - total",5.226166142,0.253779142,4.972387,person eq.,Graphes perseq,29
EF 3.0 Water use,Water use,3.935986312,3.872761203,0.063225109,person eq.,Graphes perseq,38
"EF 3.0 Eutrophication, freshwater","Eutrophication, freshwater",1.528381373,1.438851373,0.08953,person eq.,Graphes perseq,26
"EF 3.0 Ionising radiation, human health","Ionising radiation, human health",0.276304281,0.103750907,0.172553374,person eq.,Graphes perseq,31
EF 3.0 Land Use,Land Use,0.043369605,0.026529284,0.016840321,person eq.,Graphes perseq,32
EF 3.0 Ozone depletion,Ozone depletion,0.002755177,0.002636876,0.000118301,person eq.,Graphes perseq,33
