operational_event_id,site_uid,supplier,roles,country_code,world_region,month_index,operational_event_type,source_driver_types,source_environmental_event_ids,source_transport_flow_uids,capacity_applied,lead_time_multiplier,scrap_multiplier,disruption_index
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,4,capacite_meteo_degradee,env:heatwave|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:heatwave|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:storm",,0.9147,1.162,1.0171,0.4264
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:maintenance_corrective_meteo","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,4,maintenance_corrective_meteo,env:heatwave|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:heatwave|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:storm",,0.9147,1.162,1.0171,0.4264
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,4,overtime_energetique,env:heatwave|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:heatwave|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:storm",,0.9147,1.162,1.0171,0.4264
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,4,retard_approvisionnement,env:heatwave|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:heatwave|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:storm",,0.9147,1.162,1.0171,0.4264
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,5,capacite_meteo_degradee,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:heatwave",6710a156a67f4acb,0.9408,1.0541,1.0888,0.4935
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:congestion_logistique_outbound","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,5,congestion_logistique_outbound,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:heatwave",6710a156a67f4acb,0.9408,1.0541,1.0888,0.4935
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,5,overtime_energetique,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:heatwave",6710a156a67f4acb,0.9408,1.0541,1.0888,0.4935
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:recalage_qualite","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,5,recalage_qualite,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:heatwave",6710a156a67f4acb,0.9408,1.0541,1.0888,0.4935
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,5,retard_approvisionnement,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:heatwave",6710a156a67f4acb,0.9408,1.0541,1.0888,0.4935
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,6,capacite_meteo_degradee,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:heatwave",6710a156a67f4acb,0.9142,1.1414,1.1287,0.7149
