month_index,classical_cumulative,td_dlca_cumulative,sdd_cumulative,surimpact_cumulative
1,1296.747542,1321.448004,1496.480461,175.032456
2,2593.495084,2637.341677,2908.628601,271.286923
3,3890.242626,3951.486959,4303.307532,351.820573
4,5186.990168,5266.769568,5712.521218,445.75165
5,6483.73771,6575.933745,7077.824151,501.890407
6,7780.485252,7893.818216,8602.108243,708.290028
7,9077.232794,9217.074328,10196.303687,979.229359
8,10373.980336,10539.07444,11705.910977,1166.836537
9,11670.727878,11862.986834,13310.299365,1447.312532
10,12967.47542,13184.273867,14965.988475,1781.714609
11,14264.222962,14507.063661,16617.548489,2110.48483
12,15560.970504,15825.598748,18088.454405,2262.855659
13,16857.718046,17138.839748,19560.795087,2421.955342
14,18154.465588,18453.888354,21102.798068,2648.909716
15,19451.21313,19772.667735,22514.783845,2742.116112
16,20747.960672,21090.171404,23925.016453,2834.845051
17,22044.708214,22413.651396,25331.157434,2917.506039
18,23341.455756,23727.486854,26772.736887,3045.250034
19,24638.203298,25045.013474,28319.212788,3274.199315
20,25934.95084,26362.345457,29987.843486,3625.49803
21,27231.698382,27681.14791,31802.9477,4121.799791
22,28528.445924,28996.364172,33577.572247,4581.208075
23,29825.193466,30315.042817,35225.903256,4910.860439
24,31121.941008,31635.307749,36810.920098,5175.612349
25,32418.68855,32956.848835,38241.943094,5285.094259
26,33715.436092,34277.461972,39706.294339,5428.832368
27,35012.183634,35594.544836,41184.062175,5589.51734
28,36308.931176,36913.256926,42776.679493,5863.422568
29,37605.678718,38229.659148,44173.836892,5944.177745
30,38902.42626,39542.914811,45585.493192,6042.578382
31,40199.173802,40859.83622,47048.669957,6188.833738
32,41495.921344,42185.53074,48832.136059,6646.60532
33,42792.668886,43511.703085,50781.530057,7269.826973
34,44089.416428,44839.065113,52518.417673,7679.352561
35,45386.16397,46158.531257,54150.662565,7992.131309
36,46682.911512,47478.518468,55648.907479,8170.389011
37,47979.659054,48795.342409,57071.827298,8276.484889
38,49276.406596,50110.796246,58503.113552,8392.317307
39,50573.154138,51423.046399,60001.242778,8578.19638
40,51869.90168,52740.040852,61455.156214,8715.115363
41,53166.649222,54061.611827,62919.126499,8857.514673
42,54463.396764,55385.295134,64399.771845,9014.476712
43,55760.144306,56706.392187,65881.808844,9175.416657
44,57056.891848,58022.860522,67698.685926,9675.825404
45,58353.63939,59342.552391,69365.488393,10022.936001
46,59650.386932,60661.914118,71136.649943,10474.735824
47,60947.134474,61977.20444,72709.823777,10732.619336
48,62243.882016,63295.189281,74259.811232,10964.621949
49,63540.629558,64619.521044,75978.387408,11358.866362
50,64837.3771,65941.124075,77551.788625,11610.664548
51,66134.124642,67267.736693,79018.657194,11750.920499
52,67430.872184,68582.826331,80427.620872,11844.794539
53,68727.619726,69899.634718,81836.754602,11937.119881
54,70024.367268,71216.014333,83349.569023,12133.554687
55,71321.11481,72536.174118,84888.254102,12352.079981
56,72617.862352,73853.137693,86576.175076,12723.03738
57,73914.609894,75177.659945,88450.521097,13272.861149
58,75211.357436,76504.254587,90454.546042,13950.291452
59,76508.104978,77831.620373,92141.643451,14310.023075
60,77804.85252,79158.933335,93814.074847,14655.141509
61,79101.600062,80479.683505,95305.814313,14826.130805
62,80398.347604,81798.973932,96861.023183,15062.049248
63,81695.095146,83118.180028,98385.194219,15267.014187
64,82991.842688,84430.693495,99803.574134,15372.880636
65,84288.59023,85742.459148,101247.217815,15504.758664
66,85585.337772,87063.798248,102676.783973,15612.985722
67,86882.085314,88384.790762,104163.44838,15778.657615
68,88178.832856,89710.235795,105864.577471,16154.341674
69,89475.580398,91029.016322,107598.819547,16569.803223
70,90772.32794,92348.752632,109424.178135,17075.425501
71,92069.075482,93667.897037,111085.19263,17417.295592
72,93365.823024,94985.311972,112534.036155,17548.724182
73,94662.570566,96296.066923,113982.656355,17686.58943
74,95959.318108,97613.842576,115511.034763,17897.192185
75,97256.06565,98936.360722,117010.890538,18074.529814
76,98552.813192,100261.101864,118636.88634,18375.784473
77,99849.560734,101583.827478,120082.789164,18498.961682
78,101146.308276,102899.905733,121601.512415,18701.606678
79,102443.055818,104220.23376,123145.205659,18924.971895
80,103739.80336,105539.441167,124694.679697,19155.238527
81,105036.550902,106855.816508,126431.34547,19575.528959
82,106333.298444,108174.819997,128128.384991,19953.564991
83,107630.045986,109499.302622,129879.402333,20380.099708
84,108926.793528,110820.07293,131364.756365,20544.683433
85,110223.54107,112145.805435,132777.748534,20631.943097
86,111520.288612,113461.339983,134201.430504,20740.090518
87,112817.036154,114779.569254,135656.128566,20876.559309
88,114113.783696,116096.052213,137098.098302,21002.046087
89,115410.531238,117415.271268,138575.76985,21160.498581
90,116707.27878,118729.885956,140043.625645,21313.739688
91,118004.026322,120051.680304,141633.908865,21582.22856
92,119300.773864,121376.953018,143343.694054,21966.741035
93,120597.521406,122702.59689,145158.699225,22456.102334
94,121894.268948,124025.810698,146959.255316,22933.444617
95,123191.01649,125345.337716,148690.899214,23345.561497
96,124487.764032,126667.287886,150187.376846,23520.088959
97,125784.511574,127987.779229,151833.580741,23845.801511
98,127081.259116,129301.016661,153243.916018,23942.899355
99,128378.006658,130616.078088,154640.054296,24023.976206
100,129674.7542,131937.592453,156069.921435,24132.328981
101,130971.501742,133256.933534,157493.102747,24236.169212
102,132268.249284,134583.291248,158952.198124,24368.906875
103,133564.996826,135903.656706,160510.430742,24606.774034
104,134861.744368,137224.658823,162095.939832,24871.281007
105,136158.49191,138543.964237,163903.251042,25359.286803
106,137455.239452,139863.064501,165746.059556,25882.995053
107,138751.986994,141177.743965,167530.475063,26352.731096
108,140048.734536,142499.56769,169180.270172,26680.70248
109,141345.482078,143825.208803,170907.192389,27081.983584
110,142642.22962,145154.375033,172557.270134,27402.895099
