exchange_database,exchange_name,exchange_location,exchange_unit,exchange_reference_product,brightway_activity_key,match_status,match_count,lcia_status,unit_score_kgco2e_per_exchange_unit,method,error
SDD proxy,SDD avoided virgin material credit calibrated by family profile,case,kg scrap recovered,avoided virgin material credit,,sdd_calibrated_proxy,0,calibrated_sdd_proxy_not_exact,,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
SDD proxy,SDD backup supplier overhead calibrated by component intensity,case,kg overhead-equivalent backup output,backup supplier overhead,,sdd_calibrated_proxy,0,calibrated_sdd_proxy_not_exact,,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
SDD proxy,SDD scrap replacement production calibrated by component intensity,case,kg replacement component output,scrap replacement production,,sdd_calibrated_proxy,0,calibrated_sdd_proxy_not_exact,,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
SDD proxy,SDD scrap sorting and treatment calibrated by family profile,case,kg scrap treated,scrap sorting and treatment,,sdd_calibrated_proxy,0,calibrated_sdd_proxy_not_exact,,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
ecoinvent-3.10-cutoff,"compressed air production, 1000 kPa gauge, <30kW, average generation",RER,cubic meter,"compressed air, 1000 kPa gauge",ecoinvent-3.10-cutoff|d43aa9bee70e4fa71c16a0e50add7e35,exact_activity_match,1,exact_lcia_factor,0.260483898412,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
ecoinvent-3.10-cutoff,"compressed air production, 1000 kPa gauge, <30kW, optimised generation",RER,cubic meter,"compressed air, 1000 kPa gauge",ecoinvent-3.10-cutoff|13ad0d5d7a0e1c7e8f0cbc44f0cef66a,exact_activity_match,1,exact_lcia_factor,0.126708261321,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
ecoinvent-3.10-cutoff,"compressed air production, 700 kPa gauge, >30kW, average generation",RoW,cubic meter,"compressed air, 700 kPa gauge",ecoinvent-3.10-cutoff|3f514bb1858a7cb8cf8f20d5441609d1,exact_activity_match,1,exact_lcia_factor,0.177545529691,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
ecoinvent-3.10-cutoff,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",FR,kilowatt hour,"electricity, medium voltage",ecoinvent-3.10-cutoff|677a09ced74796a73062dc7bdf86b05b,exact_activity_match,1,exact_lcia_factor,0.0,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
ecoinvent-3.10-cutoff,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",FR,megajoule,"heat, district or industrial, other than natural gas",ecoinvent-3.10-cutoff|8f6fe4d9152c96150d17cfbdd7ac7ee9,exact_activity_match,1,exact_lcia_factor,0.0,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
ecoinvent-3.10-cutoff,"market for compressed air, 1000 kPa gauge",RER,cubic meter,"compressed air, 1000 kPa gauge",ecoinvent-3.10-cutoff|d9dc048db61a5117be88842c6e177dcc,exact_activity_match,1,exact_lcia_factor,0.193596079869,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
ecoinvent-3.10-cutoff,"market for electricity, low voltage",FR,kilowatt hour,"electricity, low voltage",ecoinvent-3.10-cutoff|5cb40f535b77005c743a5871a5ef0d2d,exact_activity_match,1,exact_lcia_factor,0.089793527379,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
ecoinvent-3.10-cutoff,market for lubricating oil,RER,kilogram,lubricating oil,ecoinvent-3.10-cutoff|0f6ab1ca075feefd85b2dc2a8bb7c97f,exact_activity_match,1,exact_lcia_factor,1.771802519002,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
ecoinvent-3.10-cutoff,market for lubricating oil,RoW,kilogram,lubricating oil,ecoinvent-3.10-cutoff|edc11964b6464c188c757f82f869c77b,exact_activity_match,1,exact_lcia_factor,1.876919667063,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
ecoinvent-3.10-cutoff,"market for transport, freight, aircraft, medium haul",GLO,ton kilometer,"transport, freight, aircraft",ecoinvent-3.10-cutoff|2a5cd95a28f72b911d9beb9453c266c3,exact_activity_match,1,exact_lcia_factor,0.817836085757,ecoinvent-3.10 | EF v3.0 | climate change | global warming potential (GWP100),
