path_id,record_index,edge,from_role,to_role,from_node_uid,to_node_uid,from_site_uid,to_site_uid,from_name,to_name,from_country_code,to_country_code,distance_km,scenario_distance_km,modes,transport_segment_used,transport_model_status,scenario_id,scenario_status,scenario_source,path_mass_kg,allocated_kg_km
R001-P001,1,T4->T3,T4,T3,"T4:alcoa@@alcoa@40.4406,-79.9959","T3:amag_austria_metall@@amag_austria_metall@48.2267,13.0357","alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,7635.5,7635.5,ship|truck,transport_scenarios,lane_specific_scenario,baseline_primary_lane_t4_t3,baseline_primary_lane_inferred_requires_freight_validation,geography_inference_from_site_coordinates,3.6360048,27762.7
R001-P001,1,T3->T2,T3,T2,"T3:amag_austria_metall@@amag_austria_metall@48.2267,13.0357","T2:espace_-_internal_machining/forming_process__tier2_second_transformation@@espace_-_internal_machining/forming_process__tier2_second_transformation@44.7776436,-0.6475364","amag_austria_metall@@amag_austria_metall@48.2267,13.0357","espace_-_internal_machining/forming_process__tier2_second_transformation@@espace_-_internal_machining/forming_process__tier2_second_transformation@44.7776436,-0.6475364",AMAG Austria Metall,ESPACE - internal machining/forming process,AT,FR,1113.4,1113.4,truck,transport_scenarios,lane_specific_scenario,baseline_primary_lane_t3_t2,baseline_primary_lane_inferred_requires_freight_validation,geography_inference_from_site_coordinates,3.6360048,4048.3
R001-P001,1,T2->T1,T2,T1,"T2:espace_-_internal_machining/forming_process__tier2_second_transformation@@espace_-_internal_machining/forming_process__tier2_second_transformation@44.7776436,-0.6475364","T1:espace@@espace@44.7776,-0.6475","espace_-_internal_machining/forming_process__tier2_second_transformation@@espace_-_internal_machining/forming_process__tier2_second_transformation@44.7776436,-0.6475364","espace@@espace@44.7776,-0.6475",ESPACE - internal machining/forming process,ESPACE,FR,FR,0.0,0.0,internal,transport_scenarios,lane_specific_scenario,baseline_primary_lane_t2_t1,baseline_primary_lane_inferred_requires_freight_validation,geography_inference_from_site_coordinates,3.6360048,0.0
R001-P001,1,T1->OEM,T1,OEM,"T1:espace@@espace@44.7776,-0.6475","OEM:safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495","espace@@espace@44.7776,-0.6475","safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",ESPACE,Safran Seats / Safran internal group,FR,FR,490.2,490.2,truck,transport_scenarios,lane_specific_scenario,baseline_primary_lane_t1_oem,baseline_primary_lane_inferred_requires_freight_validation,geography_inference_from_site_coordinates,3.6360048,1782.4
R002-P001,2,T4->T3,T4,T3,"T4:saarstahl@@saarstahl@49.3594,7.1715","T3:aubert_duval@@aubert_duval@45.7772,3.087","saarstahl@@saarstahl@49.3594,7.1715","aubert_duval@@aubert_duval@45.7772,3.087",Saarstahl,Aubert & Duval,DE,FR,501.0,501.0,truck,transport_scenarios,lane_specific_scenario,baseline_primary_lane_t4_t3,baseline_primary_lane_inferred_requires_freight_validation,geography_inference_from_site_coordinates,0.022,11.0
R002-P001,2,T3->T2,T3,T2,"T3:aubert_duval@@aubert_duval@45.7772,3.087","T2:mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@@mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@44.3974711,0.7316929","aubert_duval@@aubert_duval@45.7772,3.087","mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@@mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@44.3974711,0.7316929",Aubert & Duval,MGA Villeneuve St Lot - internal machining/forming process,FR,FR,237.0,237.0,truck,transport_scenarios,lane_specific_scenario,baseline_primary_lane_t3_t2,baseline_primary_lane_inferred_requires_freight_validation,geography_inference_from_site_coordinates,0.022,5.2
R002-P001,2,T2->T1,T2,T1,"T2:mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@@mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@44.3974711,0.7316929","T1:mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317","mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@@mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@44.3974711,0.7316929","mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317",MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot,FR,FR,0.0,0.0,internal,transport_scenarios,lane_specific_scenario,baseline_primary_lane_t2_t1,baseline_primary_lane_inferred_requires_freight_validation,geography_inference_from_site_coordinates,0.022,0.0
R002-P001,2,T1->OEM,T1,OEM,"T1:mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317","OEM:safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495","mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317","safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",MGA Villeneuve St Lot,Safran Seats / Safran internal group,FR,FR,499.6,499.6,truck,transport_scenarios,lane_specific_scenario,baseline_primary_lane_t1_oem,baseline_primary_lane_inferred_requires_freight_validation,geography_inference_from_site_coordinates,0.022,11.0
R003-P001,3,T4->T3,T4,T3,"T4:mitsubishi_chemical@@mitsubishi_chemical@35.6812,139.7671","T3:toray_industries@@toray_industries@35.6866,139.7746","mitsubishi_chemical@@mitsubishi_chemical@35.6812,139.7671","toray_industries@@toray_industries@35.6866,139.7746",Mitsubishi Chemical,Toray Industries,BE,JP,9421.3,9421.3,ship|truck,transport_scenarios,lane_specific_scenario,baseline_primary_lane_t4_t3,baseline_primary_lane_inferred_requires_freight_validation,geography_inference_from_site_coordinates,0.0001731,1.6
R003-P001,3,T3->T2,T3,T2,"T3:toray_industries@@toray_industries@35.6866,139.7746","T2:ensinger@@ensinger@48.501,8.8202","toray_industries@@toray_industries@35.6866,139.7746","ensinger@@ensinger@48.501,8.8202",Toray Industries,Ensinger,JP,DE,9394.3,9394.3,ship|truck,transport_scenarios,lane_specific_scenario,baseline_primary_lane_t3_t2,baseline_primary_lane_inferred_requires_freight_validation,geography_inference_from_site_coordinates,0.0001731,1.6
