indicator,short_label,impact_total_weighted_score,per_cabin_16_seats_weighted_score,impact_without_use_weighted_score,use_phase_weighted_score,weighted_unit,source_sheet,source_row
EF 3.0 Ozone depletion,Ozone depletion,0.002781626,0.044506021,0.00266219,0.000119436,weighted person eq.,Graphes pondéré,33
EF 3.0 Land Use,Land Use,0.055096746,0.881547937,0.033702803,0.021393943,weighted person eq.,Graphes pondéré,32
"EF 3.0 Ionising radiation, human health","Ionising radiation, human health",0.221485512,3.543768185,0.083166727,0.138318785,weighted person eq.,Graphes pondéré,31
"EF 3.0 Eutrophication, freshwater","Eutrophication, freshwater",0.684714855,10.955437679,0.644605415,0.04010944,weighted person eq.,Graphes pondéré,26
"EF 3.0 Human toxicity, cancer - total","Human toxicity, cancer - total",1.781077421,28.497238742,0.086487932,1.69458949,weighted person eq.,Graphes pondéré,29
"EF 3.0 Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",5.059109903,80.945758454,0.172399381,4.886710522,weighted person eq.,Graphes pondéré,30
EF 3.0 Water use,Water use,5.359238963,85.747823409,5.273151654,0.086087309,weighted person eq.,Graphes pondéré,38
"EF 3.0 Resource use, mineral and metals","Resource use, mineral and metals",13.102861315,209.645781033,12.798501779,0.304359535,weighted person eq.,Graphes pondéré,37
EF 3.0 Particulate matter,Particulate matter,14.510010136,232.160162182,0.341224985,14.168785151,weighted person eq.,Graphes pondéré,34
"EF 3.0 Eutrophication, marine","Eutrophication, marine",20.286168095,324.578689515,0.100959583,20.185208512,weighted person eq.,Graphes pondéré,27
"EF 3.0 Eutrophication, terrestrial","Eutrophication, terrestrial",30.791570694,492.665131112,0.144348763,30.647221931,weighted person eq.,Graphes pondéré,28
EF 3.0 Acidification,Acidification,33.147114346,530.353829536,0.252205866,32.89490848,weighted person eq.,Graphes pondéré,23
"EF 3.0 Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",34.393093563,550.289497003,1.687702971,32.705390592,weighted person eq.,Graphes pondéré,25
"EF 3.0 Photochemical ozone formation, human health","Photochemical ozone formation, human health",44.896430391,718.342886254,0.179067787,44.717362604,weighted person eq.,Graphes pondéré,35
"EF 3.0 Resource use, fossils","Resource use, fossils",128.479488872,2055.671821947,0.765188056,127.714300816,weighted person eq.,Graphes pondéré,36
EF 3.0 Climate Change - total,Climate Change - total,192.974008949,3087.584143177,1.176343253,191.797665696,weighted person eq.,Graphes pondéré,24
