month_index,allocated_delta_kgco2e,allocated_abs_delta_kgco2e,exact_delta_kgco2e,exact_minus_allocated_kgco2e,exact_coverage_allocated_pct,row_count,exact_row_count
1,42.966915979,44.863508101,24.53777373,-18.429142249,68.631611,406,89
2,30.177022257,31.244524925,20.728186539,-9.448835718,74.395709,389,89
3,24.231657723,25.229230623,16.520296206,-7.711361517,74.249633,376,89
4,23.105399946,23.904454374,14.495852779,-8.609547167,79.773815,365,89
5,10.653359842,10.981844914,11.120009764,0.466649922,75.139838,320,79
6,49.625687814,55.12011914,15.99065661,-33.635031204,41.399028,392,89
7,74.00180311,83.812614128,23.528902291,-50.472900819,48.287007,394,90
8,63.593722515,67.292911265,25.391854938,-38.201867577,67.483005,376,89
9,55.108815385,55.820938645,26.571706147,-28.537109238,74.165119,378,89
10,51.398970098,52.434668746,31.174427308,-20.22454279,72.679172,380,101
11,35.830528103,37.476520241,17.216545609,-18.613982494,66.554,395,90
12,37.13331788,39.969541772,21.143341624,-15.989976256,60.795282,391,89
13,29.997374694,32.402793182,17.209048104,-12.78832659,54.098522,399,89
14,21.793459642,23.881114696,12.742631928,-9.050827714,58.488606,386,89
15,33.211156502,34.085547756,13.331664706,-19.879491796,81.086036,395,89
16,35.669733346,36.12532765,16.720547607,-18.949185739,84.685388,370,89
17,31.760332201,32.451811519,18.202294959,-13.558037242,83.917454,340,89
18,28.600947824,29.735577982,19.442332697,-9.158615127,78.365982,326,89
19,62.317335458,68.580855024,37.384851489,-24.932483969,55.146619,386,100
20,56.179848264,59.961977436,19.926540329,-36.253307935,44.255914,373,90
21,45.860072546,47.024566156,18.551748282,-27.308324264,62.527707,381,89
22,37.528554409,38.622369727,14.566573202,-22.961981207,44.617547,365,91
23,37.393458944,38.890123038,13.939203371,-23.454255573,65.436834,400,89
24,40.532861225,42.508645295,15.261585077,-25.271276148,68.27376,405,90
25,45.037040642,49.402683348,18.576134482,-26.46090616,64.302291,398,89
26,47.091197935,50.949742895,23.572001137,-23.519196798,61.923974,404,89
27,31.994602706,33.382153338,20.519595529,-11.475007177,73.242892,394,89
28,30.33443019,32.454670444,15.599481732,-14.734948458,70.123183,369,89
29,21.829444014,22.729600778,12.664659326,-9.164784688,77.738846,348,89
30,21.37672004,22.142697286,14.818062265,-6.558657775,73.512227,335,89
31,36.558204875,38.805879739,18.635607732,-17.922597143,61.687693,368,89
32,49.327836637,50.136831189,18.711944558,-30.615892079,58.618497,360,89
33,64.67969022,65.701630446,24.33305649,-40.34663373,62.025834,372,89
34,53.840358186,55.057194216,25.992513848,-27.847844338,68.640067,372,89
35,44.49349058,46.151987708,22.483541441,-22.009949139,78.133607,390,89
36,38.975236351,40.609730469,20.399082035,-18.576154316,66.189396,402,89
37,31.908491962,34.39551821,18.522746059,-13.385745903,62.99052,394,89
38,39.192872322,41.39792361,18.388909879,-20.803962443,71.607048,397,89
39,25.170197353,27.141750817,13.006565354,-12.163631999,53.758783,391,89
40,32.343870995,33.408882963,15.213334555,-17.13053644,74.810763,376,89
41,33.218972653,34.125243781,14.280895947,-18.938076706,84.776684,360,89
42,43.922053625,46.167109841,21.730685956,-22.191367669,77.657613,377,89
43,63.384098731,72.100870775,27.029993979,-36.354104752,47.612232,392,89
44,56.853014863,59.962040563,24.481016203,-32.37199866,46.466025,374,89
45,50.791493471,52.013642617,20.119171242,-30.672322229,74.556778,375,89
