path_id,record_index,system,component,family,path_mass_kg,match_level,brightway_system,brightway_component,brightway_climate_kgco2e,brightway_unit
R001-P001,1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R002-P001,2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,0.022,component_fuzzy,Ens. Stowage latéral,15CDV6,0.0652,kg CO2 eq.
R003-P001,3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,polymer_plastic,0.0001731,component_fuzzy,Accoudoir allée,Ertalon,0.0732,kg CO2 eq.
R004-P001,4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,adhesive_composite,0.392,system_only,Ensemble porte,acier,0.128,kg CO2 eq.
R005-P001,5,Bumper version porte,alliage Cu,copper,0.006,exact_system_component,Bumper version porte,alliage Cu,0.0114,kg CO2 eq.
R006-P001,6,Ens. Stowage latéral,cuir,textile_leather,0.112,exact_system_component,Ens. Stowage latéral,cuir,0.357,kg CO2 eq.
R007-P001,7,lightning,lightning,electronics_cots,0.8,exact_system_component,lightning,lightning,215.0,kg CO2 eq.
R008-P001,8,Padding (rembourrage),AIRVOLT LAMINAT,general,0.95,system_only,Padding,packaging,0.738,kg CO2 eq.
R009-P001,9,Stowage assemblé avec porte,Silicone,rubber_silicone,0.0007,exact_system_component,Stowage assemblé avec porte,Silicone,0.0047,kg CO2 eq.
R010-P001,10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,1.5,component_fuzzy,System IFE,System IFE boitier,582.0,kg CO2 eq.
R011-P001,11,Coussin ottoman,tissu,textile_leather,0.339,exact_system_component,Coussin ottoman,tissu,7.14,kg CO2 eq.
R012-P001,12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,component_fuzzy,Coussin ottoman,FRMC55,3.69,kg CO2 eq.
R013-P001,13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,0.027,component_fuzzy,Accoudoir allée,30NCD6,0.080054962,kg CO2 eq.
R014-P001,14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,0.660743,component_fuzzy,Ens. Palette optimisée,35NC6,0.169,kg CO2 eq.
R015-P001,15,Ens. Equipements latéraux,acier,steel,0.0996449,exact_system_component,Ens. Equipements latéraux,acier,0.295,kg CO2 eq.
R016-P001,16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,0.008,component_fuzzy,Ens. Palette optimisée,35NC6,0.169,kg CO2 eq.
R017-P001,17,Accoudoir allée,A2017 - Aluminium,aluminium,2.43,system_only,Accoudoir allée,30NCD6,0.080054962,kg CO2 eq.
R018-P001,18,Ens. Stowage latéral,A2017 - Aluminium,aluminium,0.1033805,component_fuzzy,Accoudoir allée,A2017,28.7,kg CO2 eq.
R019-P001,19,Ens. Palette optimisée,A2017 - Aluminium,aluminium,12.333,component_fuzzy,Accoudoir allée,A2017,28.7,kg CO2 eq.
R020-P001,20,Ens. Tablette cocktail,A2017 - Aluminium,aluminium,3.523,component_fuzzy,Accoudoir allée,A2017,28.7,kg CO2 eq.
R021-P001,21,Ens. Tablette repas,A2017 - Aluminium,aluminium,2.125,component_fuzzy,Accoudoir allée,A2017,28.7,kg CO2 eq.
R022-P001,22,Ens. Têtière,A2017 - Aluminium,aluminium,0.4425,component_fuzzy,Accoudoir allée,A2017,28.7,kg CO2 eq.
R023-P001,23,Stowage assemblé avec porte,A2017 - Aluminium,aluminium,3.956,component_fuzzy,Accoudoir allée,A2017,28.7,kg CO2 eq.
R024-P001,24,Support écran,A2017 - Aluminium,aluminium,1.45,component_fuzzy,Accoudoir allée,A2017,28.7,kg CO2 eq.
R025-P001,25,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,system_only,Accoudoir allée,30NCD6,0.080054962,kg CO2 eq.
R026-P001,26,Ens. Tablette cocktail,A2024 - Aluminium,aluminium,0.084,component_fuzzy,Accoudoir allée,A2024,1.63,kg CO2 eq.
R027-P001,27,Ens. Tablette repas,A2024 - Aluminium,aluminium,1.259,component_fuzzy,Accoudoir allée,A2024,1.63,kg CO2 eq.
R028-P001,28,Ens. Têtière,A2024 - Aluminium,aluminium,0.029,component_fuzzy,Accoudoir allée,A2024,1.63,kg CO2 eq.
R029-P001,29,Accoudoir allée,A5086 - Aluminium,aluminium,0.316,system_only,Accoudoir allée,30NCD6,0.080054962,kg CO2 eq.
R030-P001,30,Bumper version porte,A5086 - Aluminium,aluminium,0.024,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R031-P001,31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,0.216,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R032-P001,32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",textile_leather,0.008,component_fuzzy,Coussin ottoman,velours,0.222,kg CO2 eq.
R033-P001,33,Ens. Structure fauteuil,4140 (acier),steel,0.002,component_fuzzy,Ceinture de sécurité,acier,2.16,kg CO2 eq.
R034-P001,34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,1.03,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R035-P001,35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,0.105,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R036-P001,36,Manchette équipée,A5086 - Aluminium,aluminium,0.17,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R037-P001,37,Renfort tubulaire,A5086 - Aluminium,aluminium,0.931,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R038-P001,38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,2.457,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R039-P001,39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,1.928,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R040-P001,40,Support écran,A5086 - Aluminium,aluminium,0.506,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R041-P001,41,Support équipé,A5086 - Aluminium,aluminium,0.099,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R042-P001,42,Support manchette équipée,A5086 - Aluminium,aluminium,0.117,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R043-P001,43,Support NFC,A5086 - Aluminium,aluminium,0.01,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R044-P001,44,Renfort tubulaire,A6060 - Aluminium,aluminium,0.404,component_fuzzy,Accoudoir allée,Alu,1.07,kg CO2 eq.
R045-P001,45,Ceinture de sécurité,acier,steel,0.72,exact_system_component,Ceinture de sécurité,acier,2.16,kg CO2 eq.
R046-P001,46,Support clamps,acier,steel,1.284,exact_system_component,Support clamps,acier,3.81,kg CO2 eq.
R047-P001,47,Accoudoir allée,acier,steel,0.7096766,exact_system_component,Accoudoir allée,acier,2.11,kg CO2 eq.
R048-P001,48,Bumper version porte,acier,steel,0.024,exact_system_component,Bumper version porte,acier,0.0712,kg CO2 eq.
R049-P001,49,Ens. Stowage latéral,acier,steel,0.0151984,exact_system_component,Ens. Stowage latéral,acier,0.0451,kg CO2 eq.
R050-P001,50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,steel,0.496,component_fuzzy,Accoudoir allée,Alu,1.07,kg CO2 eq.
R051-P001,51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,1.417,component_fuzzy,Ens. Palette optimisée,35NC6,0.169,kg CO2 eq.
R052-P001,52,Ens. Palette optimisée,acier,steel,0.58,exact_system_component,Ens. Palette optimisée,acier,1.72,kg CO2 eq.
R053-P001,53,Ensemble porte,acier,steel,0.0430761,exact_system_component,Ensemble porte,acier,0.128,kg CO2 eq.
R054-P001,54,Ens. Structure fauteuil,A2017 - Aluminium,aluminium,12.7611,component_fuzzy,Accoudoir allée,A2017,28.7,kg CO2 eq.
R055-P001,55,Ens. Structure fauteuil,A2024 - Aluminium,aluminium,5.659,component_fuzzy,Accoudoir allée,A2024,1.63,kg CO2 eq.
R056-P001,56,Ens. Tablette cocktail,acier,steel,1.133,exact_system_component,Ens. Tablette cocktail,acier,3.36,kg CO2 eq.
