phase,system,component,label,climate_person_equivalent,person_equivalent_unit,source_sheet,source_row
Utilisation 7 ans,Consommation passive,EU-28: Kerosene / Jet A1 at refinery Sphera,Consommation passive - EU-28: Kerosene / Jet A1 at refinery Sphera,7.14,person eq.,Transpo perseq,238
Utilisation 7 ans,Consommation passive,"GLO: Cargo plane, 65 t payload Sphera <u-so>","Consommation passive - GLO: Cargo plane, 65 t payload Sphera <u-so>",49.77,person eq.,Transpo perseq,239
Utilisation 7 ans,Entretien,Nettoyage et désinfection,Entretien - Nettoyage et désinfection,0.01001,person eq.,Transpo perseq,240
