scenario_id,scenario_label,phase,baseline_climate_weighted_score,scenario_climate_weighted_score,lifecycle_climate_reduction_pct,relative_climate_reduction_pct,production_only_climate_reduction_pct,weighted_unit,source_sheet,source_row
all_fr,Fabrication 100% sur site / mix FR,Fin de vie,0.003675223,0.003675223,0.0,0.0,0.0,weighted person eq.,Scenarii,30
all_fr,Fabrication 100% sur site / mix FR,IFE,0.3396513,0.324836179,-0.007677,4.361862,-1.281093,weighted person eq.,Scenarii,27
all_fr,Fabrication 100% sur site / mix FR,Livraison,0.01622447,0.01622447,0.0,0.0,0.0,weighted person eq.,Scenarii,29
all_fr,Fabrication 100% sur site / mix FR,Site assemblage,0.010739852,0.010739852,0.0,0.0,0.0,weighted person eq.,Scenarii,28
all_fr,Fabrication 100% sur site / mix FR,Sous-ensemble,0.806052408,0.726811991,-0.041063,9.830678,-6.852078,weighted person eq.,Scenarii,26
all_fr,Fabrication 100% sur site / mix FR,Total,192.974008949,192.879953411,0.04874,0.04874,,weighted person eq.,Scenarii,32
all_fr,Fabrication 100% sur site / mix FR,Utilisation 7 ans,191.797665696,191.797665696,0.0,0.0,0.0,weighted person eq.,Scenarii,31
without_ife,Sans IFE,Fin de vie,0.003675223,0.003387331,-0.000149,7.833325,0.024895,weighted person eq.,Scenarii,8
without_ife,Sans IFE,IFE,0.3396513,0.0,-0.176009,100.0,29.370331,weighted person eq.,Scenarii,5
without_ife,Sans IFE,Livraison,0.01622447,0.01553428,-0.000358,4.254003,0.059682,weighted person eq.,Scenarii,7
without_ife,Sans IFE,Site assemblage,0.010739852,0.010739852,0.0,0.0,0.0,weighted person eq.,Scenarii,6
without_ife,Sans IFE,Sous-ensemble,0.806052408,0.806052408,0.0,0.0,0.0,weighted person eq.,Scenarii,4
without_ife,Sans IFE,Total,192.974008949,184.474300206,4.404587,4.404587,734.986906,weighted person eq.,Scenarii,10
without_ife,Sans IFE,Utilisation 7 ans,191.797665696,183.638586335,-4.228072,4.254003,705.531999,weighted person eq.,Scenarii,9
