source_file,family,system,component,indicator,unit,climate_kgco2e
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Brackets set,cables,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,19.1
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Brackets set,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.263
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Brackets set,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0529
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ceinture de sécurité,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,2.16
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ceinture de sécurité,nylon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.69
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ceinture de sécurité,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.244
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ceinture de sécurité,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,5.37
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Commande actionnement ECU,Commande actionnement ECU,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,291.0
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Commande actionnement ECU,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.928
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Commande actionnement ECU,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0542
bw_tristan/STELIALCASEATS.xlsx,IFE,Ecran,Ecran,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,174.0
bw_tristan/STELIALCASEATS.xlsx,IFE,Ecran,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.39
bw_tristan/STELIALCASEATS.xlsx,IFE,Ecran,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,21.6
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,lightning,lightning,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,215.0
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,lightning,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.928
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,lightning,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0558
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Padding,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.738
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Padding,Padding,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.98
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Padding,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.265
bw_tristan/STELIALCASEATS.xlsx,IFE,Powerbox,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.928
bw_tristan/STELIALCASEATS.xlsx,IFE,Powerbox,powerbox,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,21.8
bw_tristan/STELIALCASEATS.xlsx,IFE,Powerbox,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,13.9
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Remote extender unit,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.928
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Remote extender unit,télécommande,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,43.7
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Remote extender unit,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0332
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,SFCU,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.928
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,SFCU,Clavier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,5.48
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,SFCU,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.95
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Support clamps,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.81
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Support clamps,nylon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,9.12
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Support clamps,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.000371
bw_tristan/STELIALCASEATS.xlsx,IFE,System IFE,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.928
bw_tristan/STELIALCASEATS.xlsx,IFE,System IFE,System IFE boitier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,582.0
bw_tristan/STELIALCASEATS.xlsx,IFE,System IFE,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0542
bw_tristan/STELIALCASEATS.xlsx,Site assemblage,Site assemblage,élec atelier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,10.5
bw_tristan/STELIALCASEATS.xlsx,Site assemblage,Site assemblage,élec bureaux,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.56
bw_tristan/STELIALCASEATS.xlsx,Site assemblage,Site assemblage,gaz atelier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,13.7
bw_tristan/STELIALCASEATS.xlsx,Site assemblage,Site assemblage,gaz bureaux,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.03
bw_tristan/STELIALCASEATS.xlsx,Site assemblage,Site assemblage,papierassemblage,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.00144
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Accoudoir allée,30NCD6,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.080054962
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Accoudoir allée,A2017,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,28.7
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Accoudoir allée,A2024,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.63
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Accoudoir allée,A5086,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.19
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Accoudoir allée,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,2.11
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Accoudoir allée,Alu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.07
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Accoudoir allée,Ertalon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0732
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Accoudoir allée,inox,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.079
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Accoudoir allée,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0179
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Accoudoir allée,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.338
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Bumper version porte,A5086,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.243
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Bumper version porte,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0712
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Bumper version porte,alliage Cu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0114
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Bumper version porte,Copolymere Lexan FST,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.591
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Bumper version porte,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.117
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Bumper version porte,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.218
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Capot NFC,kydex,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.164
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Capot NFC,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0875
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Capot NFC,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.00404
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin ottoman,FRMC55,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.69
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin ottoman,kydex,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0877
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin ottoman,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.56
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin ottoman,tissu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,7.14
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin ottoman,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.416
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin ottoman,velours,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.222
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin têtière,FRMC55,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.444
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin têtière,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.117
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin têtière,tissu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,4.23
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin têtière,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0748
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin têtière,velcro,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0456
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Coussin têtière,velours,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0196
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin assise,FRMC55,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.2
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin assise,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.508
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin assise,tissu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,9.24
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin assise,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.315
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin assise,velours,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.163
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens.coussin dossier version têtière,FRMC55,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.13
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens.coussin dossier version têtière,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.56
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens.coussin dossier version têtière,tissu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,17.2
