group_type,label,row_count,quantity_per_seat,packaging_mass,chips_mass,raw_mass,material_domain,source_file,source_sheet
material,unknown,2,18007.732901053,0.0,0.0,0.0,use_or_energy,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,N/A,3,407.386,0.0,0.0,0.0,use_or_energy,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,BOIS,14,41.2975172,54.684934757,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,A2017,10,39.1319805,0.0,301.977,338.313,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,PALETTE,3,35.411666667,39.433333333,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,CARTON,39,29.075713885,107.477001423,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,A5086,15,12.0030048,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,ALU,5,10.7460895,0.0,15.082,17.63,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,"PANNEAU_NIDA/LAMINA_EP12,7",1,8.439,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,A2024,5,7.211,0.0,20.634,26.235,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,ACIER,20,6.9298466,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,PREPREG,1,5.0634,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,FRMC55,8,4.036,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,Cable model,1,3.365,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,50% INOX 50% PA66,1,2.568,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,Screen Display (COTS),2,2.378,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,TISSUS 300,5,2.331,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,70% Al 6000 - 30% Analog PCB,2,2.25,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,PAPIER BULLE,4,2.104166667,3.033333333,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,FILM PLASTIQUE,11,1.86004,8.6004,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,NIDAFIC ECAR,1,1.6878,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,Power box (COTS),1,1.5,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,KYDEX,4,1.493,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,35NC6,3,1.454,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,KYDEX 5555,2,1.443,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,AERFILM,1,1.01268,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,Cleaning (Spray and Wipe),1,1.0,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,PLASTIQUE,10,0.95117592,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,AIRVOLT LAMINAT,1,0.95,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,80%INOX 20%Nylon,1,0.9,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,Z10CNT18,1,0.867,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,Diode (COTS),1,0.8,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,FILM COLLE,1,0.67512,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,RESINE_BR623_P4,1,0.488,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,A6060,1,0.404,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,FILM DECOR AERFILM - Ep0.33 714g-m2,1,0.392,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,PAPIER KRAFT,6,0.379166667,8.291666667,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,???,1,0.308,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,ULTRA LEATHER SMOKE,1,0.3,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,Keyboard {GLO} Market for APOS U,1,0.2,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,INOX,10,0.1688362,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,COPOLIMER LEXAN FST 9705,1,0.151,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,CUIR 850,1,0.112,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,ULTRA LEATHER 330,2,0.099,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,PAPIER GAUFFRE,6,0.094166667,3.633333333,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,VELOURS,5,0.092,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,VELCRO,5,0.085,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,30NCD16,2,0.084,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,50% PTFE - 50% Analog PCB,1,0.07,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,ERTALON,7,0.0424456,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,A2075,1,0.033,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,NYLON,5,0.0259419,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,15CDV6,1,0.022,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,PAPIER INTERCALAIRE,1,0.016666667,0.166666667,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,VELOUR,2,0.015,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
material,MOUSSE,11,0.010085617,53.684934757,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
