path_id,record_index,month_index,system,component,family,path_mass_kg,oem_service_level,oem_backlog_kg,path_disruption_index,backup_output_kg,premium_output_kg,classical_kgCO2e,td_dlca_kgCO2e,sdd_kgCO2e,surimpact_kgCO2e
R001-P001,1,1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,1.0,0.0,1.0,0.322514,0.0,39.115515,40.093403,47.02618,6.932777
R002-P001,2,1,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,0.022,1.0,0.0,0.6966,0.000495,0.0,0.068167,0.069354,0.081076,0.011722
R003-P001,3,1,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,polymer_plastic,0.0001731,1.0,0.0,1.0,1.5e-05,0.0,0.000896,0.000919,0.00117,0.000252
R004-P001,4,1,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,adhesive_composite,0.392,1.0,0.0,1.0,0.06174,0.0,2.922962,2.996036,3.847112,0.851076
R005-P001,5,1,Bumper version porte,alliage Cu,copper,0.006,1.0,0.0,0.6966,0.000135,0.0,0.028841,0.029343,0.032972,0.003629
R006-P001,6,1,Ens. Stowage latéral,cuir,textile_leather,0.112,1.0,0.0,0.6966,0.00252,0.0,0.701569,0.713787,0.760936,0.047149
R007-P001,7,1,lightning,lightning,electronics_cots,0.8,1.0,0.0,0.6966,0.018,0.0,18.405761,18.726298,19.71305,0.986752
R008-P001,8,1,Padding (rembourrage),AIRVOLT LAMINAT,general,0.95,1.0,0.0,0.6966,0.021375,0.0,6.862777,6.982292,7.59297,0.610678
R009-P001,9,1,Stowage assemblé avec porte,Silicone,rubber_silicone,0.0007,1.0,0.0,0.6966,1.6e-05,0.0,0.003677,0.003741,0.004195,0.000454
R010-P001,10,1,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,1.5,1.0,0.0,0.6966,0.03375,0.0,35.340445,35.955899,38.134268,2.17837
R011-P001,11,1,Coussin ottoman,tissu,textile_leather,0.339,1.0,0.0,0.6966,0.007628,0.0,2.763698,2.811828,3.179369,0.367541
R012-P001,12,1,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,1.0,0.0,0.6966,0.000877,0.0,0.287642,0.292651,0.325143,0.032491
R013-P001,13,1,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,0.027,1.0,0.0,0.6966,0.000608,0.0,0.082855,0.084298,0.099174,0.014877
R014-P001,14,1,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,0.660743,1.0,0.0,0.6966,0.014867,0.0,1.991239,2.025916,2.327493,0.301577
R015-P001,15,1,Ens. Equipements latéraux,acier,steel,0.0996449,1.0,0.0,1.0,0.015889,0.0,0.404258,0.414365,0.572238,0.157873
R016-P001,16,1,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,0.008,1.0,0.0,0.6966,0.00018,0.0,0.024398,0.024823,0.02984,0.005017
R017-P001,17,1,Accoudoir allée,A2017 - Aluminium,aluminium,2.43,1.0,0.0,0.6966,0.054675,0.0,25.953441,26.40542,28.239999,1.83458
R018-P001,18,1,Ens. Stowage latéral,A2017 - Aluminium,aluminium,0.1033805,1.0,0.0,0.6966,0.002326,0.0,1.111294,1.130647,1.204826,0.074179
