group_type,label,row_count,quantity_per_seat,packaging_mass,chips_mass,raw_mass,material_domain,source_file,source_sheet
equipment,Consommation passive siège (kg Kerosène),1,18007.732901053,0.0,0.0,0.0,use_or_energy,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,"ENERGIE INFRASTRUCTURES (Gaz, kWh/siège)",1,217.352,0.0,0.0,0.0,use_or_energy,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,"ENERGIE INFRASTRUCTURES (Elec, kWh/siège)",1,113.534,0.0,0.0,0.0,use_or_energy,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,DONNEES (MO/siège),1,76.5,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,PACKAGING FAUTEUIL,4,53.0,0.0,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,ENSEMBLE COQUE,10,49.47,63.2,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,ENS STRUCTURE FAUTEUIL,13,25.8461,2.5,80.946,97.437,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,ENSEMBLE PALETTE OPTIMISEE,10,13.6548069,52.5,78.093,90.097,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,ENSEMBLE STRUCTURE FIXE,11,10.06629842,15.0,15.082,17.63,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,ENSEMBLE PORTE,11,9.1457356,52.5,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,STOWAGE ASSEMBLE AVEC PORTE,12,6.9408381,9.0,68.564,72.376,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,ENS TABLETTE COCKTAIL,9,5.544,6.0,49.039,52.484,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,RENFORT TUBULAIRE,7,4.171333333,11.333333333,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,ACCOUDOIR ALLEE,11,3.9019877,11.25,10.584,12.77,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,ENSEMBLE EQUIPEMENTS LATERALES,8,3.746420718,0.002402135,0.0,0.0,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
equipment,ENS TABLETTE REPAS,12,3.6897,4.8,18.537,21.016,component_or_packaging,bw_tristan/STELIA Masterboard LCA SEATS 6.0.xlsx,BOM
