activity_name,code,comment,location,reference_product,type,unit
Accoudoir allee,0bd681e54ca240a38bbf38af71106fba_copy3,Aluminium instead of AlCu4MgSi,FR,Accoudoir allee,process,unit
Brackets set,c2fbb1bb0861477e86d70a26ca1890cd,,GLO,Brackets set,process,unit
Bumper version porte,0bd681e54ca240a38bbf38af71106fba_copy14,"Aluminium instead of AlCu4MgSi
Pas de fin de vie pour les cartons",FR,Bumper version porte,process,unit
Capot NFC,8cf4118e0afc4f139edc7d24e0366e94_copy8,,GLO,Capot NFC,process,unit
Ceinture de securite,0bd681e54ca240a38bbf38af71106fba_copy21,Aluminium instead of AlCu4MgSi,FR,Ceinture de securite,process,unit
Coussin Ottoman,8cf4118e0afc4f139edc7d24e0366e94_copy2,,GLO,Coussin Ottoman,process,unit
Coussin tetiere,8cf4118e0afc4f139edc7d24e0366e94_copy4,,GLO,Coussin tetiere,process,unit
ENS Structure fauteuil,0bd681e54ca240a38bbf38af71106fba,Aluminium instead of AlCu4MgSi,FR,ENS Structure fauteuil,process,unit
Ensemble coque,04634f26375c4ddc80000a107ec567d2,,FR,Ensemble coque,process,unit
Ensemble coussin assise,8cf4118e0afc4f139edc7d24e0366e94_copy7,,FR,Ensemble coussin assise,process,unit
Ensemble coussin dossier,8cf4118e0afc4f139edc7d24e0366e94_copy6,,FR,Ensemble coussin dossier,process,unit
Ensemble coussin dossier version tetiere,8cf4118e0afc4f139edc7d24e0366e94_copy5,,FR,Ensemble coussin dossier version tetiere,process,unit
Ensemble equipement lateral,0bd681e54ca240a38bbf38af71106fba_copy13,Aluminium instead of AlCu4MgSi,FR,Ensemble equipement lateral,process,unit
Ensemble palette optimisee,0bd681e54ca240a38bbf38af71106fba_copy4,Aluminium instead of AlCu4MgSi,FR,Ensemble palette optimisee,process,unit
Ensemble porte,0bd681e54ca240a38bbf38af71106fba_copy18,Aluminium instead of AlCu4MgSi,FR,Ensemble porte,process,unit
Ensemble stowage lateral,0bd681e54ca240a38bbf38af71106fba_copy15,Aluminium instead of AlCu4MgSi,FR,Ensemble stowage lateral,process,unit
Ensemble structure fixe,0bd681e54ca240a38bbf38af71106fba_copy19,Aluminium instead of AlCu4MgSi,FR,Ensemble structure fixe,process,unit
Ensemble tablette cocktail,0bd681e54ca240a38bbf38af71106fba_copy2,Aluminium instead of AlCu4MgSi,FR,Ensemble tablette cocktail,process,unit
Ensemble tablette repas,0bd681e54ca240a38bbf38af71106fba_copy11,Aluminium instead of AlCu4MgSi,FR,Ensemble tablette repas,process,unit
Ensemble tetiere,0bd681e54ca240a38bbf38af71106fba_copy1,"Aluminium instead of AlCu4MgSi
Pas de fin de vie pour les cartons",FR,ensemble tetiere,process,unit
Habillage sous fauteuil,0bd681e54ca240a38bbf38af71106fba_copy7,Aluminium instead of AlCu4MgSi,FR,Habillage sous fauteuil,process,unit
Lightning,f3bb0f91a1884bb2831fc3cb08c7ecd7_copy1,,GLO,Lightning,process,unit
Manchette acc mobile,0bd681e54ca240a38bbf38af71106fba_copy17,"Aluminium instead of AlCu4MgSi
Pas de fin de vie pour les cartons",FR,Manchette acc mobile,process,unit
Manchette equipee,0bd681e54ca240a38bbf38af71106fba_copy12,"Aluminium instead of AlCu4MgSi
Pas de fin de vie pour les cartons",FR,Manchette equipee,process,unit
Padding,8cf4118e0afc4f139edc7d24e0366e94_copy3,,GLO,Padding,process,unit
Recyclage siege,8308e753f0874fa3ac743e3ed4814c81,,GLO,Recyclage siege,process,unit
Renfort tubulaire,0bd681e54ca240a38bbf38af71106fba_copy6,Aluminium instead of AlCu4MgSi,FR,Renfort tubulaire,process,unit
SFCU,f3bb0f91a1884bb2831fc3cb08c7ecd7_copy3,,FR,SFCU,process,unit
Seat power,f3bb0f91a1884bb2831fc3cb08c7ecd7,,GLO,Seat power,process,unit
Stowage assemblé avec porte,0bd681e54ca240a38bbf38af71106fba_copy8,Aluminium instead of AlCu4MgSi,FR,Stowage assemblé avec porte,process,unit
Structure Ottoman horizontale,0bd681e54ca240a38bbf38af71106fba_copy9,Aluminium instead of AlCu4MgSi,FR,Structure Ottoman horizontale,process,unit
Support NFC,8cf4118e0afc4f139edc7d24e0366e94_copy1,,GLO,Support NFC,process,unit
Support ecran assemble,0bd681e54ca240a38bbf38af71106fba_copy5,Aluminium instead of AlCu4MgSi,FR,Support ecran assemble,process,unit
