scenario_id,label,description,target_scope,elec_switch_param,al_switch_param,transport_policy,transport_amount_factor,local_content_target_pct,current_role_mass_already_target_pct,current_path_mass_already_target_pct,current_non_target_role_mass_pct,brightway_switch_affected_exchange_count,transport_formula_affected_exchange_count,affected_exchange_count,baseline_transport_proxy_kg_km,scenario_transport_proxy_kg_km,transport_proxy_delta_kg_km,baseline_abs_foreground_amount_sum,scenario_abs_foreground_amount_sum,signed_delta_amount_sum,abs_delta_amount_sum,foreground_amount_index,requires_brightway_runtime,can_execute_exact_lcia_now,proxy_available_now,unit_note
current_export,Baseline export Brightway,Etat exporte depuis bw_tristan et la supply_geo source.,current,,,current routes,1.0,,,,,0,0,0,1702441.0,1702441.0,0.0,0.0,0.0,0.0,0.0,1.0,False,True,True,Transport kg.km is a supply_geo proxy; foreground amount sums mix exchange units. Exact LCIA scenario deltas require Brightway runtime.
france_first,100% francais si disponible,"Electricite FR, fournisseurs FR des que possible, transport localise. Aluminium force en EU car le switch FR n'existe pas encore dans bw_tristan.",france,fr,eu,short_france,0.45,100.0,43.1076,3.5357,56.8924,87,33,120,1702441.0,766098.45,-936342.55,360.0307,162.013815,-198.016885,198.016885,0.45,True,True,True,Transport kg.km is a supply_geo proxy; foreground amount sums mix exchange units. Exact LCIA scenario deltas require Brightway runtime.
europe_first,100% europeen si disponible,"Electricite EU, aluminium EU, fournisseurs europeens et distances intercontinentales reduites.",europe,eu,eu,europeanized,0.7,100.0,64.2707,10.9446,35.7293,87,33,120,1702441.0,1191708.7,-510732.3,360.0307,252.02149,-108.00921,108.00921,0.7,True,True,True,Transport kg.km is a supply_geo proxy; foreground amount sums mix exchange units. Exact LCIA scenario deltas require Brightway runtime.
fully_globalized,Totalement mondialise,"Mix electrique et aluminium rest-of-world, chaines longues et transports intercontinentaux amplifies.",world,cn,row,long_global,1.35,0.0,100.0,100.0,0.0,87,33,120,1702441.0,2298295.35,595854.35,360.0307,486.041445,126.010745,126.010745,1.35,True,True,True,Transport kg.km is a supply_geo proxy; foreground amount sums mix exchange units. Exact LCIA scenario deltas require Brightway runtime.
