month_index,production_static_cumulative,sdd_inventory_delta_cumulative,production_dynamic_cumulative,cycle_dynamic_with_stelia_usage_cumulative,delta_vs_static_pct
1,2449.945067684,42.966915983,2492.911983667,462889.863737302,1.753791
2,4899.890135368,73.143938238,4973.034073606,925766.937580876,1.492767
3,7349.835203052,97.375595961,7447.210799013,1388638.066059918,1.324868
4,9799.780270736,120.480995909,9920.261266645,1851508.068281185,1.229425
5,12249.72533842,131.134355752,12380.859694172,2314365.618462347,1.070509
6,14699.670406104,180.76004357,14880.430449674,2777262.140971484,1.229688
7,17149.615473788,254.761846679,17404.377320467,3240183.039595912,1.485525
8,19599.560541472,318.355569194,19917.916110666,3703093.530139746,1.6243
9,22049.505609156,373.464384584,22422.96999374,4165995.535776455,1.693754
10,24499.45067684,424.863354681,24924.314031521,4628893.831567871,1.734175
11,26949.395744524,460.693882782,27410.089627306,5091776.558917291,1.709478
12,29399.340812208,497.82720066,29897.168012868,5554660.589056488,1.693328
13,31849.285879892,527.824575358,32377.11045525,6017537.483252505,1.657257
14,34299.230947576,549.618034999,34848.848982575,6480406.173533465,1.602421
15,36749.17601526,582.8291915,37332.00520676,6943286.281511284,1.585965
16,39199.121082944,618.498924844,39817.620007788,7406168.848065947,1.577839
17,41649.066150628,650.259257041,42299.325407669,7869047.505219463,1.561282
18,44099.011218312,678.860204866,44777.871423178,8331923.002988608,1.5394
19,46548.956285996,741.177540329,47290.133826325,8794832.217145389,1.592254
20,48998.90135368,797.357388598,49796.258742278,9257735.293814978,1.627296
21,51448.846421364,843.217461144,52292.063882508,9720628.050708843,1.638943
22,53898.791489048,880.746015552,54779.5375046,10183512.476084571,1.634074
23,56348.736556732,918.139474494,57266.876031226,10646396.766364831,1.629388
24,58798.681624416,958.672335719,59757.353960135,11109284.196047375,1.630432
25,61248.6266921,1003.709376361,62252.336068461,11572176.129909337,1.638746
26,63698.571759784,1050.800574302,64749.372334086,12035070.117928596,1.649645
27,66148.516827468,1082.795177005,67231.312004473,12497949.009352619,1.636915
28,68598.461895152,1113.129607193,69711.591502345,12960826.240604125,1.622674
29,71048.406962836,1134.959051208,72183.366014044,13423694.966869459,1.597445
30,73498.35203052,1156.335771245,74654.687801765,13886563.240410814,1.573281
31,75948.297098204,1192.89397612,77141.191074324,14349446.695437009,1.570666
32,78398.242165888,1242.221812756,79640.463978644,14812342.920094963,1.584502
33,80848.187233572,1306.901502976,82155.088736548,15275254.496606503,1.616488
34,83298.132301256,1360.741861163,84658.874162419,15738155.23378601,1.63358
35,85748.07736894,1405.235351741,87153.312720681,16201046.624097906,1.638795
36,88198.022436624,1444.210588092,89642.233024716,16663932.496155577,1.637464
37,90647.967504308,1476.119080054,92124.086584362,17126811.301468857,1.628408
38,93097.912571992,1515.311952374,94613.224524366,17589697.391162496,1.627654
39,95547.857639676,1540.482149729,97088.339789405,18052569.45818117,1.612262
40,97997.80270736,1572.826020724,99570.628728084,18515448.698873483,1.60496
41,100447.747775044,1606.044993371,102053.792768415,18978328.81466745,1.598886
42,102897.692842728,1649.967046998,104547.659889726,19441219.633542396,1.603502
43,105347.637910412,1713.35114573,107060.989056142,19904129.914462447,1.626378
44,107797.582978096,1770.204160594,109567.78713869,20367033.66429863,1.642156
45,110247.52804578,1820.99565407,112068.52369985,20829931.352613427,1.651734
46,112697.473113464,1872.788168425,114570.261281889,21292830.0419491,1.661784
47,115147.418181148,1909.069404068,117056.487585216,21755713.220006064,1.657935
48,117597.363248832,1945.028172157,119542.391420989,22218596.075595472,1.653973
49,120047.308316516,2005.900806596,122053.209123112,22681503.84505123,1.670925
50,122497.2533842,2062.985431617,124560.238815817,23144407.82649757,1.684108
51,124947.198451884,2105.849762929,127053.048214813,23607297.587650202,1.685392
52,127397.143519568,2135.47472291,129532.618242478,24070174.1094315,1.676234
53,129847.088587252,2161.793591795,132008.882179047,24533047.325121704,1.664876
54,132297.033654936,2196.020600919,134493.054255855,24995928.448952146,1.659917
55,134746.97872262,2238.756928499,136985.735651119,25458818.082101043,1.661452
56,137196.923790304,2277.544003553,139474.467793857,25921703.765997417,1.660055
57,139646.868857988,2329.83107513,141976.699933118,26384602.94989031,1.668373
58,142096.813925672,2388.950520431,144485.764446103,26847508.966156933,1.681213
59,144546.758993356,2452.790008317,146999.549001673,27310419.702466138,1.696883
60,146996.70406104,2511.013434997,149507.717496037,27773324.822714135,1.708211
61,149446.649128724,2548.222110288,151994.871239012,28236208.928210746,1.705105
62,151896.594196408,2580.17757802,154476.771774428,28699087.780499797,1.698641
63,154346.539264092,2612.506008834,156959.045272926,29161967.00575193,1.692624
64,156796.484331776,2633.723636966,159430.207968742,29624835.120201383,1.679708
65,159246.42939946,2645.484664192,161891.914063652,30087693.778049927,1.661252
66,161696.374467144,2682.819753458,164379.194220602,30550578.009960514,1.659171
67,164146.319534828,2735.423711116,166881.743245944,31013477.51073949,1.666454
68,166596.264602512,2788.275373567,169384.539976079,31476377.25922326,1.673672
69,169046.209670196,2847.468036292,171893.677706488,31939283.348707303,1.684432
70,171496.15473788,2899.661126344,174395.815864224,32402182.438618675,1.690802
71,173946.099805564,2939.253187811,176885.352993375,32865068.927501462,1.689749
72,176396.044873248,2967.803845881,179363.848719129,33327944.374980852,1.682466
73,178845.989940932,2991.799117451,181837.789058383,33790815.26707374,1.672835
74,181295.935008616,3031.43415741,184327.369166026,34253701.79893502,1.672092
75,183745.8800763,3072.413834827,186818.293911127,34716589.675433755,1.672099
76,186195.825143984,3121.035269749,189316.860413733,35179485.193689995,1.676211
77,188645.770211668,3156.61962701,191802.389838678,35642367.674868576,1.673305
78,191095.715279352,3207.148669563,194302.863948915,36105265.100732446,1.678294
