policy_name,policy_label,service_pct,same_period_service_pct,final_backlog,peak_backlog,battery_soh_final,avg_main_supply_availability_pct,avg_primary_supply_availability_pct,biosourced_output_share_pct,backup_output_share_pct,grid_energy_total_kwh,solar_energy_total_kwh,biomass_energy_total_kwh,avg_energy_mix_ef,td_energy_impact_kgCO2e,biomass_resource_stress_peak,biomass_resource_stock_final_kwh,biomass_resource_overuse_total_kwh,biosourced_local_stress_peak,biosourced_local_draw_total_units,biosourced_water_overuse_total_units,classical_total_kgCO2e,time_dependent_dlca_total_kgCO2e,sdd_total_kgCO2e,hidden_carbon_vs_td_dlca,hidden_carbon_vs_classical,total_cost
baseline_degraded,Baseline degradee,99.62,95.97,19.53,28.85,0.979,72.66,72.66,0.0,26.33,37310.86,1519.51,0.0,0.3963,15150.24,0.0,0.0,0.0,0.0,0.0,0.0,123306.9,122896.23,141718.26,18822.03,18411.36,410410.0
baseline_plus_biomass,Baseline + biomasse,100.0,96.19,0.0,10.75,0.979,72.75,72.75,0.0,26.25,33148.95,1519.51,4178.76,0.3629,14072.85,0.021,523.61,2.6,0.0,0.0,0.0,122831.85,122607.55,138463.09,15855.54,15631.23,404909.85
