policy_label,method,total_kgCO2e
Baseline degradee,Classical LCA,123306.89916225299
Baseline degradee,Time-Dependent DLCA,122896.22501289348
Baseline degradee,State-Dependent Dynamic LCA,141718.25956265716
Baseline + biomasse,Classical LCA,122831.85433714555
Baseline + biomasse,Time-Dependent DLCA,122607.54533556213
Baseline + biomasse,State-Dependent Dynamic LCA,138463.08754397367
