policy_label,material_main,material_biosourced,material_backup,inbound_main,inbound_biosourced,inbound_backup,production_energy,outbound_transport,storage,scrap,total
Baseline degradee,70194.38662863574,0.0,32516.05518276439,2997.145895241711,0.0,4879.752392133911,12762.494869712611,8178.878277271407,828.759002401402,3872.0827681299584,136229.55501629115
Baseline + biomasse,70975.33400528283,0.0,32675.691528577794,3031.658417022613,0.0,4906.665820042468,11869.734002617073,8178.878277271407,903.584916717041,3781.6837995346327,136323.23076706586
