month_index,surimpact_matiere,surimpact_inbound,surimpact_transport_aval,surimpact_rebut,surimpact_total,surimpact_cumule
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,64.70728695535144,32.94189154090617,0.0,1.004018372053083,98.65319686831069,98.65319686831069
7,0.0,0.0,0.0,1.3210044626656479,1.3210044626656479,99.97420133097633
8,0.0,0.0,0.0,0.7477502034761541,0.7477502034761541,100.72195153445249
9,0.0,0.0,0.0,0.0,0.0,100.72195153445249
10,0.0,0.0,0.0,0.0,0.0,100.72195153445249
11,0.0,0.0,0.0,0.0,0.0,100.72195153445249
12,0.0,0.0,0.0,0.0,0.0,100.72195153445249
13,0.0,0.0,0.0,0.0,0.0,100.72195153445249
14,9.070475812929658,4.617696777491476,0.0,0.0,13.688172590421134,114.41012412487362
15,56.09110721088251,28.555472761903822,0.0,0.0,84.64657997278633,199.05670409765995
16,0.0,0.0,0.0,0.0,0.0,199.05670409765995
17,0.0,0.0,0.0,0.0,0.0,199.05670409765995
18,0.0,0.0,0.0,0.8548726100754966,0.8548726100754966,199.91157670773543
19,0.0,0.0,0.0,1.370643698547866,1.370643698547866,201.2822204062833
20,0.0,0.0,0.0,0.7898756370904096,0.7898756370904096,202.0720960433737
21,0.0,0.0,0.0,0.0,0.0,202.0720960433737
22,0.0,0.0,0.0,0.0,0.0,202.0720960433737
23,0.0,0.0,0.0,0.0,0.0,202.0720960433737
24,0.0,0.0,0.0,0.0,0.0,202.0720960433737
25,0.0,0.0,0.0,0.0,0.0,202.0720960433737
26,9.12480975937575,4.645357695682188,0.0,0.0,13.770167455057939,215.84226349843163
27,55.56518605446752,28.28773108227436,0.0,0.0,83.85291713674188,299.69518063517353
28,0.0,0.0,0.0,0.0,0.0,299.69518063517353
29,0.0,0.0,0.0,0.0,0.0,299.69518063517353
30,0.0,0.0,0.0,0.9029858496904053,0.9029858496904053,300.59816648486395
31,0.0,0.0,0.0,1.4261567036751992,1.4261567036751992,302.02432318853914
32,0.0,0.0,0.0,0.8354703579256779,0.8354703579256779,302.8597935464648
33,0.0,0.0,0.0,0.0,0.0,302.8597935464648
34,0.0,0.0,0.0,0.0,0.0,302.8597935464648
35,0.0,0.0,0.0,0.0,0.0,302.8597935464648
36,0.0,0.0,0.0,0.0,0.0,302.8597935464648
37,0.0,0.0,0.0,0.0,0.0,302.8597935464648
38,9.18650016834647,4.676763722067289,0.0,0.0,13.863263890413759,316.72305743687855
39,55.04956160353561,28.025231361799953,0.0,0.0,83.07479296533556,399.7978504022141
