month_index,year,month,temp_c,humidity_pct,precip_mm,wind_ms,heat_index_c,heatwave,drought,storm_stress,climate_event,operational_feedback_event,backlog_end,capacity_utilization,grid_share,scarcity,outbound_mode,regime_environnemental,evt_canicule,evt_secheresse,evt_tempete_inondation,evt_maintenance_corrective,evt_congestion_logistique,evt_overtime_energetique,evt_capacite_appoint,evt_recalage_qualite,evt_stress_biomasse_locale,evt_stress_hydrique_matiere_locale
1,2026,1,1.0,77.0,94.65247584249853,5.152627944162883,1.0,0.0,0.0,0.0,aucun,aucun,0.0,0.46486546729592904,0.8125074888375254,0.1,truck,nominal,0,0,0,0,0,0,0,0,0,0
2,2026,2,2.7500379516391167,75.66025403784438,99.84661307031165,4.75,2.7500379516391167,0.0,0.0,0.0,aucun,aucun,0.0,0.484951921539196,0.8662140379832535,0.10117154811715481,truck,nominal,0,0,0,0,0,0,0,0,0,0
3,2026,3,7.51673640167364,72.0,97.57927281399283,4.2,7.51673640167364,0.0,0.0,0.0,aucun,aucun,0.0,0.5004153201740116,0.8556016926827187,0.10234309623430964,truck,nominal,0,0,0,0,0,0,0,0,0,0
4,2026,4,14.02510460251046,67.0,88.45798706418924,3.6500000000000004,14.02510460251046,0.0,0.0,0.0,aucun,aucun,0.0,0.44571675246466863,0.8135676480620103,0.10351464435146444,truck,nominal,0,0,0,0,0,0,0,0,0,0
5,2026,5,20.53347280334728,62.0,74.9267969714943,3.2473720558371175,20.53347280334728,0.0,0.0,0.0,aucun,aucun,0.0,0.5015264151764433,0.8149390039865417,0.10468619246861925,truck,nominal,0,0,0,0,0,0,0,0,0,0
6,2026,6,25.300171253381805,58.33974596215561,60.61137399387759,3.1,26.367350930354252,0.0,0.0,0.0,aucun,aucun,0.0,0.48812449939681124,0.800110611724967,0.10585774058577406,truck,nominal,0,0,0,0,0,0,0,0,0,0
7,2026,7,27.05020920502092,57.0,49.347524157501475,3.2473720558371175,28.01020920502092,0.0,0.0,0.0,aucun,aucun,0.0,0.4688983986382437,0.7872924315994968,0.10702928870292888,truck,nominal,0,0,0,0,0,0,0,0,0,0
8,2026,8,25.316907655055445,58.33974596215561,44.15338692968835,3.6499999999999995,26.384087332027892,0.0,0.0,0.0,aucun,aucun,0.0,0.4481936035945448,0.7711025207747042,0.10820083682008369,truck,nominal,0,0,0,0,0,0,0,0,0,0
9,2026,9,20.566945606694564,61.99999999999999,46.42072718600717,4.2,20.566945606694564,0.0,0.0,0.0,aucun,aucun,0.0,0.43265541450792483,0.7610355153764026,0.1093723849372385,truck,nominal,0,0,0,0,0,0,0,0,0,0
10,2026,10,14.075313807531382,67.0,55.542012935810746,4.75,14.075313807531382,0.0,0.0,0.0,aucun,aucun,0.0,0.4277352326506407,0.7667601734153732,0.1105439330543933,truck,nominal,0,0,0,0,0,0,0,0,0,0
11,2026,11,7.583682008368199,72.0,69.0732030285057,5.152627944162883,7.583682008368199,0.0,0.0,0.0,aucun,aucun,0.0,0.43380856496536485,0.7797116045691005,0.11171548117154813,truck,nominal,0,0,0,0,0,0,0,0,0,0
12,2026,12,2.833719960007321,75.66025403784438,83.3886260061224,5.300000000000001,2.833719960007321,0.0,0.0,0.0,aucun,aucun,0.0,0.44949213861663195,0.7930336825444348,0.11288702928870294,truck,nominal,0,0,0,0,0,0,0,0,0,0
13,2027,1,1.100418410041841,77.0,94.65247584249853,5.152627944162883,1.100418410041841,0.0,0.0,0.0,aucun,aucun,0.0,0.4370823498715389,0.7870113516521176,0.11405857740585774,truck,nominal,0,0,0,0,0,0,0,0,0,0
14,2027,2,2.850456361680958,75.66025403784438,99.84661307031165,4.75,2.850456361680958,0.0,0.0,0.0,aucun,aucun,0.0,0.4915994255506548,0.8034884986790862,0.11523012552301257,truck,nominal,0,0,0,0,0,0,0,0,0,0
15,2027,3,7.617154811715481,72.0,97.57927281399283,4.2,7.617154811715481,0.0,0.0,0.0,aucun,aucun,0.0,0.5070601600339051,0.7966744868468003,0.11640167364016737,truck,nominal,0,0,0,0,0,0,0,0,0,0
16,2027,4,14.125523012552302,67.0,88.45798706418924,3.6500000000000004,14.125523012552302,0.0,0.0,0.0,aucun,aucun,0.0,0.5130977492530243,0.7853120283365725,0.11757322175732218,truck,nominal,0,0,0,0,0,0,0,0,0,0
17,2027,5,20.63389121338912,62.0,74.9267969714943,3.2473720558371175,20.63389121338912,0.0,0.0,0.0,aucun,aucun,0.0,0.5081625827942091,0.7705743233062139,0.11874476987447699,truck,nominal,0,0,0,0,0,0,0,0,0,0
18,2027,6,25.400589663423645,58.33974596215561,60.61137399387759,3.1,26.467769340396092,0.0,0.0,0.0,aucun,aucun,0.0,0.49485653630514176,0.7626305824099243,0.11991631799163181,truck,nominal,0,0,0,0,0,0,0,0,0,0
19,2027,7,27.15062761506276,57.0,49.347524157501475,3.2473720558371175,28.11062761506276,0.0,0.0,0.0,aucun,aucun,0.0,0.4757033487215931,0.7537610721075872,0.12108786610878662,truck,nominal,0,0,0,0,0,0,0,0,0,0
20,2027,8,25.417326065097285,58.33974596215561,44.15338692968835,3.6499999999999995,26.484505742069732,0.0,0.0,0.0,aucun,aucun,0.0,0.45507719387582485,0.7416554377907912,0.12225941422594143,truck,nominal,0,0,0,0,0,0,0,0,0,0
21,2027,9,20.667364016736407,61.99999999999999,46.42072718600717,4.2,20.667364016736407,0.0,0.0,0.0,aucun,aucun,0.0,0.4395518086226349,0.7351763253019588,0.12343096234309624,truck,nominal,0,0,0,0,0,0,0,0,0,0
22,2027,10,14.175732217573223,67.0,55.542012935810746,4.75,14.175732217573223,0.0,0.0,0.0,aucun,aucun,0.0,0.434648585358021,0.7472056114110313,0.12460251046025106,truck,nominal,0,0,0,0,0,0,0,0,0,0
23,2027,11,7.68410041841004,72.0,69.0732030285057,5.152627944162883,7.68410041841004,0.0,0.0,0.0,aucun,aucun,0.0,0.440695976117843,0.7652299231275475,0.12577405857740587,truck,nominal,0,0,0,0,0,0,0,0,0,0
24,2027,12,2.9341383700491623,75.66025403784438,83.3886260061224,5.300000000000001,2.9341383700491623,0.0,0.0,0.0,aucun,aucun,0.0,0.45625633269000787,0.7833820807827595,0.12694560669456068,truck,nominal,0,0,0,0,0,0,0,0,0,0
25,2028,1,1.200836820083682,77.0,94.65247584249853,5.152627944162883,1.200836820083682,0.0,0.0,0.0,aucun,aucun,0.0,0.43813801850261047,0.7787361488179573,0.12811715481171548,truck,nominal,0,0,0,0,0,0,0,0,0,0
26,2028,2,2.9508747717227988,75.66025403784438,99.84661307031165,4.75,2.9508747717227988,0.0,0.0,0.0,aucun,aucun,0.0,0.4981951121364019,0.8020951119894504,0.1292887029288703,truck,nominal,0,0,0,0,0,0,0,0,0,0
27,2028,3,7.7175732217573225,72.0,97.57927281399283,4.2,7.7175732217573225,0.0,0.0,0.0,aucun,aucun,0.0,0.5136532200529047,0.7987123525837848,0.1304602510460251,truck,nominal,0,0,0,0,0,0,0,0,0,0
28,2028,4,14.225941422594142,67.0,88.45798706418924,3.6500000000000004,14.225941422594142,0.0,0.0,0.0,aucun,aucun,0.0,0.51966515299765,0.7886549933811645,0.13163179916317994,truck,nominal,0,0,0,0,0,0,0,0,0,0
29,2028,5,20.734309623430963,62.0,74.9267969714943,3.2473720558371175,20.734309623430963,0.0,0.0,0.0,aucun,aucun,0.0,0.5147470717082423,0.7741502559017233,0.13280334728033474,truck,nominal,0,0,0,0,0,0,0,0,0,0
30,2028,6,25.50100807346549,58.33974596215561,60.61137399387759,3.1,26.568187750437936,0.0,0.0,0.0,aucun,aucun,0.0,0.5015361649394076,0.7666612937276889,0.13397489539748955,truck,nominal,0,0,0,0,0,0,0,0,0,0
