case_id,delta::kpi::avg_inventory,delta::kpi::cost_share_holding,delta::kpi::cost_share_purchase,delta::kpi::cost_share_transport,delta::kpi::ending_backlog,delta::kpi::ending_inventory,delta::kpi::fill_rate,delta::kpi::total_arrived,delta::kpi::total_cost,delta::kpi::total_demand,delta::kpi::total_external_procured_arrived_qty,delta::kpi::total_external_procured_ordered_qty,delta::kpi::total_external_procured_qty,delta::kpi::total_external_procured_rejected_qty,delta::kpi::total_external_procurement_cost,delta::kpi::total_holding_cost,delta::kpi::total_logistics_cost,delta::kpi::total_opening_stock_bootstrap_qty,delta::kpi::total_produced,delta::kpi::total_purchase_cost,delta::kpi::total_served,delta::kpi::total_shipped,delta::kpi::total_supplier_capacity_binding_qty,delta::kpi::total_transport_cost,delta::kpi::total_unreliable_loss_qty,delta_pct::kpi::avg_inventory,delta_pct::kpi::cost_share_holding,delta_pct::kpi::cost_share_purchase,delta_pct::kpi::cost_share_transport,delta_pct::kpi::ending_backlog,delta_pct::kpi::ending_inventory,delta_pct::kpi::fill_rate,delta_pct::kpi::total_arrived,delta_pct::kpi::total_cost,delta_pct::kpi::total_demand,delta_pct::kpi::total_external_procured_arrived_qty,delta_pct::kpi::total_external_procured_ordered_qty,delta_pct::kpi::total_external_procured_qty,delta_pct::kpi::total_external_procured_rejected_qty,delta_pct::kpi::total_external_procurement_cost,delta_pct::kpi::total_holding_cost,delta_pct::kpi::total_logistics_cost,delta_pct::kpi::total_opening_stock_bootstrap_qty,delta_pct::kpi::total_produced,delta_pct::kpi::total_purchase_cost,delta_pct::kpi::total_served,delta_pct::kpi::total_shipped,delta_pct::kpi::total_supplier_capacity_binding_qty,delta_pct::kpi::total_transport_cost,delta_pct::kpi::total_unreliable_loss_qty,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,level,parameter,value
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1046128.9486,0.980323,0.002154,0.017523,325.3394,1033961.4795,0.781284,14543.945,1273930.5351,1487.5,42489.9504,42873.2405,42873.2405,18138.8782,3318.8968,1248863.4761,1271186.8149,1060029.4897,2614.8876,2743.7201,1162.1606,46208.4339,39143.1929,22323.3389,0.0,base,baseline,1.0
baseline_repeat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1046128.9486,0.980323,0.002154,0.017523,325.3394,1033961.4795,0.781284,14543.945,1273930.5351,1487.5,42489.9504,42873.2405,42873.2405,18138.8782,3318.8968,1248863.4761,1271186.8149,1060029.4897,2614.8876,2743.7201,1162.1606,46208.4339,39143.1929,22323.3389,0.0,repeat,baseline,1.0
lead_time_scale_low,-513820.90229999996,-0.0070110000000001005,0.000994,0.006017999999999999,153.2222,-498508.91500000004,-0.10300599999999993,12700.718499999999,-621972.7145,0.0,-16217.753400000001,-16303.347399999999,-16303.347399999999,-8676.637799999999,-1116.8318,-614305.2376000001,-621281.0382000001,-523810.9550000001,-211.01720000000023,-691.6761000000001,-153.22219999999993,-13632.534500000005,-15885.647700000001,-6975.800699999998,0.0,-49.11640223584574,-0.7151724482645108,46.146703806870946,34.34343434343434,47.096109478286365,-48.213490046173426,-13.184194223867369,87.32650254109183,-48.82312632934706,0.0,-38.16844512014305,-38.02686060084495,-38.02686060084495,-47.83447854013375,-33.65069380885841,-49.189142717054764,-48.87409395045323,-49.41475308844892,-8.069838259969577,-25.20942642800919,-13.18425353604312,-29.50226473700076,-40.58342338240885,-31.248912769048175,nan,532308.0463,0.973312,0.003148,0.023541,478.5616,535452.5645,0.678278,27244.6635,651957.8206,1487.5,26272.197,26569.8931,26569.8931,9462.2404,2202.065,634558.2385,649905.7767,536218.5347,2403.8704,2052.044,1008.9384,32575.8994,23257.5452,15347.5382,0.0,low,lead_time_scale,0.5
lead_time_scale_high,97624.96989999991,0.00016499999999997073,-4.700000000000017e-05,-0.00011800000000000005,118.74709999999999,82861.6301999999,-0.07982999999999996,-7190.4151999999995,118065.77890000003,0.0,0.0,3469.906799999997,3469.906799999997,221.9946000000018,261.6885000000002,115972.36999999988,117876.86869999999,100665.11009999993,97.0344,188.9103,-118.74709999999982,3818.8717999999935,7875.365599999997,1904.4986000000026,0.0,9.332020687377804,0.016831187271947178,-2.1819870009285127,-0.6734006734006737,36.4994525716836,8.013995863759824,-10.217795321547602,-49.43923536564529,9.267834913049807,0.0,0.0,8.09340922107345,8.09340922107345,1.2238606905690663,7.884803769734576,9.2862328204331,9.27297760788,9.49644430443999,3.7108440148632007,6.885188470937688,-10.217787455537541,8.264447586049856,20.11937457457641,8.531423585564088,nan,1143753.9185,0.980488,0.002107,0.017405,444.0865,1116823.1097,0.701454,7353.5298,1391996.314,1487.5,42489.9504,46343.1473,46343.1473,18360.8728,3580.5853,1364835.8461,1389063.6836,1160694.5998,2711.922,2932.6304,1043.4135,50027.3057,47018.5585,24227.8375,0.0,high,lead_time_scale,1.8
transport_cost_scale_low,0.0,0.013937999999999895,3.000000000000008e-05,-0.013969,0.0,0.0,0.0,0.0,-17858.67109999992,0.0,0.0,0.0,0.0,0.0,-1371.9437,0.0,-17858.671100000152,0.0,0.0,0.0,0.0,0.0,0.0,-17858.6711,0.0,0.0,1.4217762920996337,1.3927576601671345,-79.71808480283057,0.0,0.0,0.0,0.0,-1.401855957444184,0.0,0.0,0.0,0.0,0.0,-41.33734137198843,0.0,-1.4048817129530276,0.0,0.0,0.0,0.0,0.0,0.0,-79.99999991040767,nan,1046128.9486,0.994261,0.002184,0.003554,325.3394,1033961.4795,0.781284,14543.945,1256071.864,1487.5,42489.9504,42873.2405,42873.2405,18138.8782,1946.9531,1248863.4761,1253328.1438,1060029.4897,2614.8876,2743.7201,1162.1606,46208.4339,39143.1929,4464.6678,0.0,low,transport_cost_scale,0.2
transport_cost_scale_high,0.0,-0.016883000000000092,-3.700000000000014e-05,0.01692,0.0,0.0,0.0,0.0,22323.338800000027,0.0,0.0,0.0,0.0,0.0,1714.9296,0.0,22323.338899999857,0.0,0.0,0.0,0.0,0.0,0.0,22323.3389,0.0,0.0,-1.7221874831050674,-1.7177344475394678,96.5588084232152,0.0,0.0,0.0,0.0,1.7523199409179484,0.0,0.0,0.0,0.0,0.0,51.67167596172318,0.0,1.756102143157924,0.0,0.0,0.0,0.0,0.0,0.0,100.0,nan,1046128.9486,0.96344,0.002117,0.034443,325.3394,1033961.4795,0.781284,14543.945,1296253.8739,1487.5,42489.9504,42873.2405,42873.2405,18138.8782,5033.8264,1248863.4761,1293510.1538,1060029.4897,2614.8876,2743.7201,1162.1606,46208.4339,39143.1929,44646.6778,0.0,high,transport_cost_scale,2.0
supplier_stock_scale_low,-4627.177000000025,-0.000160000000000049,6.900000000000005e-05,9.10000000000008e-05,50.0,-7361.059499999974,-0.033613000000000004,-3794.1965999999993,-5508.3582999999635,0.0,847.1114999999991,487.9702000000034,487.9702000000034,258.0656999999992,88.91850000000022,-5602.967100000009,-5584.3301000001375,0.0,0.0,75.9719,-50.0,-0.025800000003073364,944.8810000000012,18.636900000001333,0.0,-0.44231421051796954,-0.016321151294017275,3.2033426183844034,0.5193174684700155,15.368565873054415,-0.7119278276749355,-4.302276764915192,-26.08780905043301,-0.4323907896255562,0.0,1.9936749561373905,1.1381696235440923,1.1381696235440923,1.4227213896832893,2.6791583275502937,-0.4486452848711033,-0.43930050520854697,0.0,0.0,2.768937691567008,-4.302331364529137,-5.583396325204902e-05,2.413908856167942,0.08348616702674945,nan,1041501.7716,0.980163,0.002223,0.017614,375.3394,1026600.42,0.747671,10749.7484,1268422.1768,1487.5,43337.0619,43361.2107,43361.2107,18396.9439,3407.8153,1243260.509,1265602.4848,1060029.4897,2614.8876,2819.692,1112.1606,46208.4081,40088.0739,22341.9758,0.0,low,supplier_stock_scale,0.2
supplier_stock_scale_high,4967.827899999917,0.0006819999999999604,-0.00026400000000000013,-0.0004180000000000017,-14.152800000000013,7439.27079999994,0.009515000000000051,1846.7174999999988,5187.023100000108,0.0,-755.8521000000037,-958.5578999999998,-958.5578999999998,-402.4958000000006,-343.58089999999993,5957.163999999873,5513.500799999805,0.0,-13.982800000000225,-326.47760000000017,14.15280000000007,-902.3935000000056,-1798.8597999999984,-443.66330000000016,0.0,0.47487720387130067,0.0695689073907233,-12.256267409470757,-2.3854362837413783,-4.350164781763295,0.7194920649846066,1.2178669984282349,12.697500574981541,0.40716687111930644,0.0,-1.7788961692927832,-2.2357953091975866,-2.2357953091975866,-2.2189674331679488,-10.352262233643419,0.47700682372449055,0.43372860191548895,0.0,-0.5347380896983956,-11.899085478872285,1.2178007067181653,-1.9528761826312524,-4.595587806532763,-1.987441493351159,nan,1051096.7765,0.981005,0.00189,0.017105,311.1866,1041400.7503,0.790799,16390.6625,1279117.5582,1487.5,41734.0983,41914.6826,41914.6826,17736.3824,2975.3159,1254820.6401,1276700.3157,1060029.4897,2600.9048,2417.2425,1176.3134,45306.0404,37344.3331,21879.6756,0.0,high,supplier_stock_scale,1.8
supplier_capacity_scale_low,13007.768699999899,0.010752999999999902,-0.00039500000000000017,-0.010357000000000002,-25.0,22981.765500000096,0.016807000000000016,-6495.728,1845.3223000001162,0.0,0.0,-2.118900000001304,-2.118900000001304,-9.321899999999005,-0.6849000000001979,15527.092699999921,2345.4124999998603,0.0,-13.982800000000225,-500.0900999999999,25.0,-28506.328800000003,432393.69129999995,-13181.680299999998,0.0,1.2434192474462893,1.0968833741532025,-18.33797585886723,-59.1051760543286,-7.684282936527207,2.222690685838079,2.151202379672439,-44.66276515759651,0.14485266261831645,0.0,0.0,-0.004942243635633989,-0.004942243635633989,-0.05139182201465472,-0.020636375316044713,1.2432978461735895,0.18450572901704976,0.0,-0.5347380896983956,-18.226717076570598,2.1511656822645686,-61.69074862327243,1104.6459403673223,-59.048874180734664,nan,1059136.7173,0.991076,0.001759,0.007166,300.3394,1056943.245,0.798091,8048.217,1275775.8574,1487.5,42489.9504,42871.1216,42871.1216,18129.5563,3318.2119,1264390.5688,1273532.2274,1060029.4897,2600.9048,2243.63,1187.1606,17702.1051,471536.8842,9141.6586,0.0,low,supplier_capacity_scale,0.2
supplier_capacity_scale_high,-411.86979999998584,5.3999999999998494e-05,2.9999999999999645e-06,-5.7000000000001494e-05,-9.491800000000012,1987.7447999999858,0.006381999999999999,1445.3940000000002,-570.2183999998961,0.0,0.0,-2.118900000001304,-2.118900000001304,9.321899999999005,-0.6849000000001979,-489.6873000001069,-573.0600000000559,0.0,-4.660899999999856,2.841699999999946,9.491800000000012,-219.78770000000077,-39143.1929,-83.37279999999737,0.0,-0.039370844344875235,0.005508388561728991,0.13927576601671143,-0.3252867659647406,-2.9175070710771616,0.19224553713173276,0.8168604502332057,9.938115140011876,-0.04476055674064956,0.0,0.0,-0.004942243635633989,-0.004942243635633989,0.05139182201465472,-0.020636375316044713,-0.03921063505911164,-0.0450807067287853,0.0,-0.17824475514740504,0.10357106032790832,0.8167373769167543,-0.47564412261979033,-100.0,-0.3734781807214214,nan,1045717.0788,0.980377,0.002157,0.017466,315.8476,1035949.2243,0.787666,15989.339,1273360.3167,1487.5,42489.9504,42871.1216,42871.1216,18148.2001,3318.2119,1248373.7888,1270613.7549,1060029.4897,2610.2267,2746.5618,1171.6524,45988.6462,0.0,22239.9661,0.0,high,supplier_capacity_scale,1.8
