day,node_id,item_id,stock_before_production,stock_end_of_day,row_type,uom
0,M-1430,item:038005,37598.5325,37598.5325,stock_snapshot,
0,M-1430,item:042342,78749996.0,78749996.0,stock_snapshot,
0,M-1430,item:333362,142250.0,142250.0,stock_snapshot,
0,M-1430,item:344135,0.0,0.0,stock_snapshot,
0,M-1430,item:708073,10326.88,10326.88,stock_snapshot,
0,M-1430,item:734545,1641.0,1641.0,stock_snapshot,
0,M-1430,item:773474,14593000.0,14593000.0,stock_snapshot,
34,M-1430,item:038005,47598.5325,47598.5325,stock_snapshot,
34,M-1430,item:042342,78749996.0,78749996.0,stock_snapshot,
34,M-1430,item:333362,142250.0,142250.0,stock_snapshot,
34,M-1430,item:344135,0.0,0.0,stock_snapshot,
34,M-1430,item:708073,10326.88,10326.88,stock_snapshot,
34,M-1430,item:734545,8041.0,8041.0,stock_snapshot,
34,M-1430,item:773474,20815573.0,20815573.0,stock_snapshot,
36,M-1430,item:038005,47598.5325,47598.5325,stock_snapshot,
36,M-1430,item:042342,108749996.0,108749996.0,stock_snapshot,
36,M-1430,item:333362,142250.0,142250.0,stock_snapshot,
36,M-1430,item:344135,0.0,0.0,stock_snapshot,
36,M-1430,item:708073,10326.88,10326.88,stock_snapshot,
36,M-1430,item:734545,8041.0,8041.0,stock_snapshot,
36,M-1430,item:773474,20815573.0,20815573.0,stock_snapshot,
58,M-1430,item:038005,77598.5325,77598.5325,stock_snapshot,
58,M-1430,item:042342,138749996.0,138749996.0,stock_snapshot,
58,M-1430,item:333362,247250.0,247250.0,stock_snapshot,
58,M-1430,item:344135,0.0,0.0,stock_snapshot,
58,M-1430,item:708073,10326.88,10326.88,stock_snapshot,
58,M-1430,item:734545,14341.0,14341.0,stock_snapshot,
58,M-1430,item:773474,20815573.0,20815573.0,stock_snapshot,
63,M-1430,item:038005,77598.5325,77598.5325,stock_snapshot,
63,M-1430,item:042342,138749996.0,138749996.0,stock_snapshot,
63,M-1430,item:333362,397250.0,397250.0,stock_snapshot,
63,M-1430,item:344135,0.0,0.0,stock_snapshot,
63,M-1430,item:708073,10326.88,10326.88,stock_snapshot,
63,M-1430,item:734545,14341.0,14341.0,stock_snapshot,
63,M-1430,item:773474,20815573.0,20815573.0,stock_snapshot,
68,M-1430,item:038005,87598.5325,87598.5325,stock_snapshot,
68,M-1430,item:042342,138749996.0,138749996.0,stock_snapshot,
68,M-1430,item:333362,397250.0,397250.0,stock_snapshot,
68,M-1430,item:344135,0.0,0.0,stock_snapshot,
68,M-1430,item:708073,10326.88,10326.88,stock_snapshot,
68,M-1430,item:734545,14341.0,14341.0,stock_snapshot,
68,M-1430,item:773474,20815573.0,20815573.0,stock_snapshot,
69,M-1430,item:038005,97598.5325,97598.5325,stock_snapshot,
69,M-1430,item:042342,138749996.0,138749996.0,stock_snapshot,
