snapshot_dt,sim_day,real_component_stock_eur,real_pf_stock_value_eur,sim_dc_pf_stock_qty,real_pf_stock_qty_est,week_index
2025-01-06 00:05:56,4,220644.25,2472793.99,1015277.775506,1015277.7755060002,1
2025-01-13 00:06:03,11,202836.97,2390380.92,973310.93877,981440.6832449418,2
2025-01-20 00:06:36,18,229908.04,2323850.74,954941.2653,954124.7752366028,3
2025-01-27 00:06:40,25,207844.71,2261489.4,922750.122443,928520.5062158852,4
2025-02-03 00:06:15,32,204819.55,2182954.18,884092.326526,896275.5785013553,5
2025-02-10 00:06:11,39,204816.91,2121771.24,843665.020403,871155.136008644,6
2025-02-17 00:06:22,46,235695.96,2012445.45,800058.122442,826268.2407292534,7
2025-02-24 00:07:08,53,284703.12,1943836.8,763514.061215,798098.9561733372,8
2025-03-03 00:06:40,60,267389.54,1839192.72,728879.448971,755134.2736353179,9
2025-03-10 00:06:22,67,248241.29,1774948.92,695065.489789,728757.1056958033,10
2025-03-17 00:06:59,74,262994.07,1676333.56,654425.326525,688267.6901858912,11
2025-03-24 00:06:50,81,199951.95,1725570.16,630898.653054,708483.2139713881,12
2025-03-31 00:07:56,88,217097.43,1767675.6,594411.04081,725770.8317967216,13
2025-04-07 00:06:16,95,188514.27,1704008.45,556164.734691,699630.4243522636,14
2025-04-14 00:06:44,102,181337.72,1616456.85,536073.857143,663683.558560184,15
2025-04-21 00:06:39,109,227641.26,1715049.65,536073.857143,704163.7114033684,16
2025-04-28 00:07:06,116,212287.9,1812777.58,536073.857143,744288.7666147838,17
2025-05-05 00:06:41,123,206964.49,1807515.09,536073.857143,742128.0976862644,18
2025-05-12 00:06:56,130,242401.58,1727728.89,536073.857143,709369.5436054706,19
2025-05-19 00:07:01,137,234418.65,1602888.22,536073.857143,658112.5613243552,20
2025-05-26 00:06:36,144,275919.95,1611496.28,528306.428574,661646.8517034021,21
2025-06-02 00:06:28,151,281205.25,1680503.41,528306.428574,689979.7438585038,22
2025-06-09 00:06:41,158,263831.65,1617423.02,446983.653062,664080.2478648035,23
2025-06-16 00:06:31,165,245626.38,1506360.59,307041.428574,618480.3243254024,24
2025-06-23 13:27:48,172,226080.81,1128449.48,511189.795914,463317.8835189997,25
2025-06-30 00:06:46,179,260360.09,1153589.92,511189.795914,473640.02523467166,26
2025-07-07 00:08:05,186,244808.06,1340974.02,511189.795914,550576.0389028357,27
2025-07-14 00:08:02,193,222549.86,1312875.04,511189.795914,539039.1822039938,28
2025-07-21 00:06:34,200,238918.79,1233672.42,511189.795914,506520.2339321051,29
2025-07-28 00:07:35,207,264882.35,1166629.45,494129.408164,478993.78501635237,30
2025-08-04 00:06:53,214,259584.68,1224716.37,477856.367345,502843.0660976264,31
2025-08-11 00:06:43,221,307672.96,1300015.61,477856.367345,533759.3677360384,32
2025-08-18 00:06:33,228,307672.96,1286317.14,477856.367345,528135.0608970219,33
2025-08-25 00:08:15,235,311416.01,1232150.08,413373.67347,505895.1927944228,34
2025-09-01 00:08:34,242,304896.32,1055022.96,337133.5102,433170.4817579873,35
2025-09-08 00:08:41,249,302209.28,1046183.9,337133.5102,429541.34758399,36
2025-09-15 00:09:32,256,283236.31,1008179.23,337133.5102,413937.4206202078,37
2025-09-22 00:06:49,263,251514.18,1242862.6,331567.693878,510293.53067442693,38
2025-09-29 00:06:39,270,225804.87,1250001.8,298134.653066,513224.7376913497,39
2025-10-06 00:07:10,277,263501.2,1214693.48,293842.673473,498727.8759505728,40
2025-10-13 00:06:49,284,242881.18,1156642.59,250001.306126,474893.3880378359,41
2025-10-20 00:07:14,291,263748.53,1228270.26,208099.285717,504302.21940687275,42
2025-10-27 00:07:23,298,248721.2,1234132.65,169665.367358,506709.19479682366,43
2025-11-03 00:07:33,305,232963.05,1346707.34,127763.653075,552930.0208355823,44
2025-11-10 00:07:18,312,306353.26,1456413.65,178702.551011,597973.1497117453,45
2025-11-17 00:07:25,319,321401.26,1415819.68,156155.040805,581306.1100282021,46
2025-11-24 00:07:21,326,349564.46,1443357.02,131252.591834,592612.3690257631,47
2025-12-01 00:07:45,333,334234.98,1378134.8,158835.18366,565833.4821864421,48
2025-12-08 00:07:59,340,330780.69,1388630.19,126774.346927,570142.671004985,49
2025-12-15 00:07:28,347,334550.57,1311950.64,115393.979585,538659.642792513,50
2025-12-22 00:06:55,354,333222.01,1195520.51,170151.99999,490855.85328707413,51
2025-12-29 00:06:59,361,382653.99,1154445.65,170151.99999,473991.37017256266,52
