day,campaign_id,node_id,output_item_id,event_type,reason,desired_qty,planned_qty_after_lot_rule,actual_qty,shortfall_vs_desired_qty,shortfall_vs_lot_plan_qty,binding_input_item_id,planned_qty_before,planned_qty_after,lot_policy_mode,lot_fixed_qty,lot_min_qty,lot_max_qty,lot_multiple_qty,max_lots_per_week,started_lots_this_week,requested_lot_starts,actual_lot_starts,campaign_requested_qty,campaign_started_qty,campaign_remaining_start_qty,campaign_remaining_end_qty,next_expected_receipt_day,notes
0,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,2562.857143,107800.0,0.0,2562.857143,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,107800.0,,lot_policy_enabled
1,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,2985.012245,107800.0,0.0,2985.012245,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
2,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,3491.598368,107800.0,0.0,3491.598368,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
3,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4015.070694,107800.0,0.0,4015.070694,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
4,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4541.920261,107800.0,0.0,4541.920261,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
5,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,5069.445277,107800.0,0.0,5069.445277,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
6,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,5597.105382,107800.0,0.0,5597.105382,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
7,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,6124.792505,107800.0,0.0,6124.792505,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
8,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,5991.831971,107800.0,0.0,5991.831971,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
9,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,5726.741905,107800.0,0.0,5726.741905,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
10,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,5435.225932,107800.0,0.0,5435.225932,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
11,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,5138.424778,107800.0,0.0,5138.424778,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
12,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4840.566588,107800.0,0.0,4840.566588,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
13,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4542.496991,107800.0,0.0,4542.496991,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
14,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4244.385113,107800.0,0.0,4244.385113,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
15,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4154.901512,107800.0,0.0,4154.901512,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
16,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4107.143568,107800.0,0.0,4107.143568,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
17,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4067.730755,107800.0,0.0,4067.730755,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
18,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4029.986967,107800.0,0.0,4029.986967,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
19,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,3992.576986,107800.0,0.0,3992.576986,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
20,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,3955.233765,107800.0,0.0,3955.233765,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
21,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,3917.903896,107800.0,0.0,3917.903896,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
22,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4026.290984,107800.0,0.0,4026.290984,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
23,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4163.821462,107800.0,0.0,4163.821462,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
24,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4307.180619,107800.0,0.0,4307.180619,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
25,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4451.705512,107800.0,0.0,4451.705512,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
26,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4596.463551,107800.0,0.0,4596.463551,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
27,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4741.26822,107800.0,0.0,4741.26822,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
28,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4886.082215,107800.0,0.0,4886.082215,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
29,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4790.767463,107800.0,0.0,4790.767463,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
30,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4647.426962,107800.0,0.0,4647.426962,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
31,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4494.481311,107800.0,0.0,4494.481311,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
32,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4339.614629,107800.0,0.0,4339.614629,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
33,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4184.363742,107800.0,0.0,4184.363742,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
34,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4029.036014,107800.0,0.0,4029.036014,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
35,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,3873.692917,107800.0,0.0,3873.692917,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,,lot_policy_enabled
36,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4187.456951,107800.0,0.0,4187.456951,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,70.0,lot_policy_enabled
37,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,4595.042411,107800.0,0.0,4595.042411,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,70.0,lot_policy_enabled
38,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,5021.392156,107800.0,0.0,5021.392156,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,70.0,lot_policy_enabled
39,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,5451.494758,107800.0,0.0,5451.494758,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,70.0,lot_policy_enabled
40,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,5882.347931,107800.0,0.0,5882.347931,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,70.0,lot_policy_enabled
41,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,delay_input_shortage,input_shortage,6313.351219,107800.0,0.0,6313.351219,107800.0,item:344135,107800.0,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0,70.0,lot_policy_enabled
