node_id,node_name,node_type,process_id,output_item_id,uom,current_capacity_qty_per_day,current_capacity_limit_mode,capacity_source,industrial_capacity_target_utilization,industrial_capacity_profile,industrial_nominal_capacity_qty_per_day,industrial_peak_utilization_if_nominal,current_capacity_headroom_vs_industrial_nominal,max_actual_qty_per_day,max_planned_qty_after_lot_rule,max_desired_qty_per_day,total_actual_qty,avg_actual_qty_per_active_day,active_days,constraint_rows,current_avg_utilization,current_max_utilization,capacity_binding_days,input_shortage_days,lot_policy_mode,lot_fixed_qty,lot_min_qty,lot_max_qty,lot_multiple_qty,max_lots_per_week
M-1430,Manufacturer of Drugs - D1430,factory,proc:MAKE_268967,item:268967,UN,154000.0,finite,lot_week_equivalent_from_industrial_confirmation_2026-04-13,0.7,gmp_multi_product_factory,154000.0,0.7,1.0,107800.0,107800.0,22937.823744,7330400.0,107800.0,68,68,0.7,0.7,0,0,fixed,107800.0,107800.0,107800.0,0.0,10
M-1810,Manufacturer of Cosmetics - D1810,factory,proc:MAKE_268091,item:268091,UN,203550.0,finite,lot_week_equivalent_from_industrial_confirmation_2026-04-13,0.7,gmp_multi_product_factory,41142.857143,0.7,4.947396,28800.0,28800.0,19662.559656,16113600.0,15938.278932,1011,1011,0.078302,0.141489,0,2,min_max,0.0,14400.0,142485.0,14400.0,10
SDC-1450,Internal Semi-finished Site - D1450,factory,proc:MAKE_773474,item:773474,G,0.0,unmodeled,,0.7,internal_semifinished_pharma,9142857.142857,0.7,,6400000.0,6400000.0,3299509.30912,86400000.0,3323076.923077,26,26,,,0,0,fixed,3200000.0,0.0,0.0,0.0,10
