demand_anchor_item,component,consuming_node,source_unit,graph_seed_unit,annual_requirement_in_sim_unit,initial_stock_in_sim_unit,graph_seed_initial,sim_opening_stock,theoretical_gap_after_source_stock,sim_delivered_qty,sim_ending_stock,graph_seed_source,diagnostic,sim_received_qty
item:268091,001757,M-1810,G,KG,5808.141808,8499.654,8499.654,8499.654000,0.0,475.182400,6191.950000,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; delivered despite zero theoretical gap; ending stock builds up,475.182400
item:268091,001848,M-1810,G,KG,4356.106355999999,10262.646,10262.646,10262.646000,0.0,134.686440,8310.167640,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; delivered despite zero theoretical gap; ending stock builds up,134.686440
item:268091,001893,M-1810,KG,KG,27588.674,9783.5,9783.5,9783.500000,17805.174,9138.746289,5703.535889,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap; ending stock builds up,9138.746289
item:268091,002612,M-1810,KG,KG,7260.177,153521.637,153521.636719,153521.636719,0.0,244.533800,150287.562519,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; delivered despite zero theoretical gap; ending stock builds up,244.533800
item:268091,007923,M-1810,G,KG,11616.283616,55018.98,55018.98,55018.980000,0.0,37.027200,49490.234400,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; delivered despite zero theoretical gap; ending stock builds up,37.027200
item:268091,016332,M-1810,G,KG,1742.442542,883.02,883.02,883.020000,859.422542,1183.311200,1231.465280,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; over-delivered vs source gap; ending stock builds up,1183.311200
item:268091,029313,M-1810,G,KG,145.20354500000002,226.83,226.83,226.830000,0.0,7.945420,165.203260,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; delivered despite zero theoretical gap; ending stock builds up,7.945420
item:268091,039668,M-1810,G,KG,145.20354500000002,459.695,459.695,459.695000,0.0,4.936960,395.059800,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; delivered despite zero theoretical gap; ending stock builds up,4.936960
item:268091,049371,M-1810,G,KG,5372.531172,4138.93,4138.93,4138.930000,1233.6011719999997,767.774420,2332.534500,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap; ending stock builds up,767.774420
item:268091,055703,M-1810,G,KG,290.40709000000004,569.805,569.805001,569.805001,0.0,7.775712,438.436393,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; delivered despite zero theoretical gap; ending stock builds up,7.775712
