day,node_id,item_id,bb_qty,bb_demand_signal_qty,bb_demand_signal_raw_qty,bb_backlog_qty,gross_requirement_basis,mrp_demand_signal_source,mrp_demand_signal_smoothing_days,safety_floor_qty,soft_safety_target_qty,coverage_target_qty,target_stock_qty,backlog_target_qty,target_with_backlog_qty,stock_proj_qty,recv_prev_today_qty,recv_prev_future_qty,inventory_position_qty,bn_qty,planned_release_qty,planned_receipt_qty,planned_order_count,planned_receipt_min_day,planned_receipt_max_day,review_period_days,safety_time_days,safety_stock_qty,has_mrp_snapshot_policy
0,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,propagated_demand,demand,1,0.0,0.0,26600.0,26600.0,1900.0,28500.0,0.0,0.0,28500.0,28500.0,0.0,28500.0,28500.0,1,1,1,1,0.0,0.0,0
0,C-XXXXX,item:268967,2562.857143,2562.857143,2562.857143,0.0,propagated_demand,demand,1,0.0,0.0,35880.000002,35880.000002,2562.857143,38442.857145,0.0,0.0,38442.857145,38442.857145,0.0,38442.857145,38442.857145,1,1,1,1,0.0,0.0,0
0,DC-1920,item:268091,1900.0,1900.0,1900.0,0.0,propagated_demand,demand,1,38000.0,28500.0,49400.0,430538.0,0.0,430538.0,403938.0,1900.0,7600.0,411538.0,19000.0,0.0,0.0,0,,,1,20.0,0.0,0
0,DC-1920,item:268967,2562.857143,2562.857143,2562.857143,0.0,propagated_demand,demand,1,64071.428575,48053.571431,79448.571433,1101534.0,0.0,1101534.0,1065653.999998,2562.857143,10251.428572,1075905.42857,25628.57143,0.0,0.0,0,,,1,25.0,0.0,0
0,M-1430,item:038005,2694.873104,2694.873104,0.0,0.0,static_requirement,demand,1,53897.46208,40423.09656,816546.550512,816546.550512,0.0,816546.550512,38406.994431,2694.873104,787259.342224,825666.336655,0.0,30000.0,30000.0,3,192,473,1,20.0,0.0,0
0,M-1430,item:042342,9292668.0,9292668.0,0.0,0.0,static_requirement,demand,1,46463340.0,34847505.0,418170060.0,418170060.0,0.0,418170060.0,81537796.4,9292668.0,353121384.0,434659180.4,0.0,0.0,0.0,0,,,1,5.0,0.0,0
0,M-1430,item:268967,2562.857143,2562.857143,2562.857143,0.0,propagated_demand,demand,1,0.0,0.0,17940.000001,17940.000001,0.0,17940.000001,107800.0,0.0,0.0,107800.0,0.0,0.0,0.0,0,,,1,0.0,0.0,0
0,M-1430,item:333362,154000.0,154000.0,0.0,0.0,static_requirement,demand,1,1540000.0,1155000.0,18634000.0,18634000.0,0.0,18634000.0,188450.0,154000.0,18446000.0,18634450.0,0.0,1660000.0,1660000.0,110,42,151,1,10.0,110000.0,0
0,M-1430,item:344135,154000.0,154000.0,0.0,0.0,static_requirement,demand,1,1540000.0,1155000.0,11550000.0,11550000.0,0.0,11550000.0,77000.0,154000.0,11502000.0,11579000.0,0.0,1800000.0,1800000.0,15,52,115,1,10.0,0.0,0
0,M-1430,item:708073,1221.22,1221.22,0.0,0.0,static_requirement,demand,1,12212.2,9159.15,76936.86,76936.86,0.0,76936.86,10693.246,1221.22,67282.22,77975.466,0.0,5000.0,5000.0,1,25,25,1,10.0,2000.0,0
0,M-1430,item:730384,32648.0,32648.0,0.0,0.0,static_requirement,demand,1,326480.0,244860.0,3721872.0,3721872.0,0.0,3721872.0,78181.4,32648.0,3700096.0,3778277.4,0.0,370000.0,370000.0,1,35,35,1,10.0,23500.0,0
0,M-1430,item:734545,1232.0,1232.0,0.0,0.0,static_requirement,demand,1,12320.0,9240.0,61600.0,61600.0,0.0,61600.0,2010.6,1232.0,65716.0,67726.6,0.0,18900.0,18900.0,3,6,44,1,10.0,0.0,0
0,M-1430,item:773474,1486826.572,1486826.572,0.0,0.0,static_requirement,demand,1,29736531.44,22302398.58,59473062.88,59473062.88,0.0,59473062.88,15039047.9716,1486826.572,36362878.296,51401926.2676,8071136.6124,9600000.0,9600000.0,19,13,31,1,20.0,0.0,0
0,M-1810,item:001757,330.5652,330.5652,0.0,0.0,static_requirement,demand,1,6611.304,4958.478,57848.91,57848.91,0.0,57848.91,8806.8336,330.5652,50576.4756,59383.3092,0.0,0.0,0.0,0,,,1,20.0,0.0,0
0,M-1810,item:001848,247.9239,247.9239,0.0,0.0,static_requirement,demand,1,4958.478,3718.8585,30742.5636,30742.5636,0.0,30742.5636,10493.0307,247.9239,24181.24708,34674.27778,0.0,10000.0,10000.0,2,14,96,1,20.0,0.0,0
0,M-1810,item:001893,1570.1847,1570.1847,0.0,0.0,static_requirement,demand,1,23552.7705,17664.577875,186851.9793,186851.9793,0.0,186851.9793,11242.6031,1570.1847,163558.28517,174800.88827,12051.09103,67620.0,67620.0,3,18,108,1,15.0,0.0,0
0,M-1810,item:002612,413.2065,413.2065,0.0,0.0,static_requirement,demand,1,8264.13,6198.0975,35122.5525,153521.636719,0.0,153521.636719,153905.611219,413.2065,25784.0856,179689.696819,0.0,0.0,0.0,0,,,1,20.0,0.0,0
0,M-1810,item:007923,661.1304,661.1304,0.0,0.0,static_requirement,demand,1,9916.956,7437.717,14544.8688,55018.98,0.0,55018.98,55633.3392,661.1304,3305.652,58938.9912,0.0,0.0,0.0,0,,,1,15.0,0.0,0
0,M-1810,item:016332,99.16956,99.16956,0.0,0.0,static_requirement,demand,1,694.18692,520.64019,9718.61688,9718.61688,0.0,9718.61688,975.17388,99.16956,8826.09084,9801.26472,0.0,0.0,0.0,0,,,1,7.0,0.0,0
0,M-1810,item:029313,8.26413,8.26413,0.0,0.0,static_requirement,demand,1,57.84891,43.386683,917.31843,917.31843,0.0,917.31843,234.50949,8.26413,842.94126,1077.45075,0.0,0.0,0.0,0,,,1,7.0,0.0,0
0,M-1810,item:039668,8.26413,8.26413,0.0,0.0,static_requirement,demand,1,57.84891,43.386683,595.01736,595.01736,0.0,595.01736,467.37449,8.26413,520.64019,988.01468,0.0,0.0,0.0,0,,,1,7.0,0.0,0
0,M-1810,item:049371,305.77281,305.77281,0.0,0.0,static_requirement,demand,1,12230.9124,9173.1843,94789.5711,94789.5711,0.0,94789.5711,4423.07113,305.77281,91547.11308,95970.18421,0.0,9600.0,9600.0,6,253,521,1,40.0,888.0,0
0,M-1810,item:055703,16.52826,16.52826,0.0,0.0,static_requirement,demand,1,495.8478,371.88585,1785.05208,1785.05208,0.0,1785.05208,585.163981,16.52826,1416.496044,2001.660025,0.0,600.0,600.0,2,23,35,1,30.0,0.0,0
0,M-1810,item:099439,413.2065,413.2065,0.0,0.0,static_requirement,demand,1,2892.4455,2169.334125,29750.868,29750.868,0.0,29750.868,5356.5905,413.2065,26032.0095,31388.6,0.0,0.0,0.0,0,,,1,7.0,0.0,0
0,M-1810,item:268091,1900.0,1900.0,1900.0,0.0,propagated_demand,demand,1,0.0,0.0,13300.0,13300.0,0.0,13300.0,14400.0,0.0,0.0,14400.0,0.0,0.0,0.0,0,,,1,0.0,0.0,0
0,M-1810,item:338928,203550.0,203550.0,0.0,0.0,static_requirement,demand,1,2035500.0,1526625.0,28293450.0,28293450.0,0.0,28293450.0,593215.0,203550.0,25900850.0,26494065.0,1799385.0,50000.0,50000.0,2,128,255,1,10.0,0.0,0
0,M-1810,item:338929,203550.0,203550.0,0.0,0.0,static_requirement,demand,1,2035500.0,1526625.0,17912400.0,17912400.0,0.0,17912400.0,543150.0,203550.0,17369800.0,17912950.0,0.0,1900000.0,1900000.0,77,84,160,1,10.0,0.0,0
0,M-1810,item:426331,2239.05,2239.05,0.0,0.0,static_requirement,demand,1,15673.35,11755.0125,134343.0,134343.0,0.0,134343.0,26239.65,2239.05,114191.55,140431.2,0.0,0.0,0.0,0,,,1,7.0,0.0,0
0,M-1810,item:693055,82641.3,82641.3,0.0,0.0,static_requirement,demand,1,1652826.0,1239619.5,12313553.7,12313553.7,0.0,12313553.7,1086794.9,82641.3,11226759.1,12313554.0,0.0,731314.0,731314.0,128,45,172,1,20.0,0.0,0
0,SDC-1450,item:021081,0.0,0.0,0.0,0.0,none,demand,1,900000.0,900000.0,0.0,1142100.0,0.0,1142100.0,1142100.0,0.0,0.0,1142100.0,0.0,0.0,0.0,0,,,1,0.0,900000.0,0
0,SDC-1450,item:693055,0.0,0.0,0.0,0.0,none,demand,1,0.0,0.0,0.0,1800000.0,0.0,1800000.0,1068686.0,0.0,0.0,1068686.0,731314.0,0.0,0.0,0,,,1,0.0,0.0,0
0,SDC-1450,item:773474,0.0,0.0,0.0,0.0,none,demand,1,0.0,0.0,0.0,9600000.0,0.0,9600000.0,0.0,0.0,0.0,0.0,9600000.0,0.0,0.0,0,,,1,0.0,0.0,0
0,SDC-VD0500655A,item:002612,0.0,0.0,0.0,0.0,none,demand,1,0.0,0.0,0.0,21600.0,0.0,21600.0,24905.652,3305.652,66113.04,91018.692,0.0,0.0,0.0,0,,,1,0.0,0.0,0
0,SDC-VD0505677A,item:099439,0.0,0.0,0.0,0.0,none,demand,1,0.0,0.0,0.0,11569.782,0.0,11569.782,14875.434,3305.652,66113.04,80988.474,0.0,0.0,0.0,0,,,1,0.0,0.0,0
0,SDC-VD0508918A,item:730384,0.0,0.0,0.0,0.0,none,demand,1,0.0,0.0,0.0,914144.0,0.0,914144.0,805328.0,261184.0,5223680.0,6029008.0,0.0,0.0,0.0,0,,,1,0.0,0.0,0
0,SDC-VD0514881A,item:016332,0.0,0.0,0.0,0.0,none,demand,1,0.0,0.0,0.0,2776.74768,0.0,2776.74768,3570.10416,793.35648,15867.1296,19437.23376,0.0,0.0,0.0,0,,,1,0.0,0.0,0
0,SDC-VD0518684A,item:001893,0.0,0.0,0.0,0.0,none,demand,1,0.0,0.0,0.0,22800.0,0.0,22800.0,12561.4776,12561.4776,251229.552,263791.0296,0.0,0.0,0.0,0,,,1,0.0,0.0,0
0,SDC-VD0519670A,item:001848,0.0,0.0,0.0,0.0,none,demand,1,0.0,0.0,0.0,4000.0,0.0,4000.0,1983.3912,1983.3912,37769.32742,39752.71862,0.0,84.89462,84.89462,1,4,4,1,0.0,0.0,0
0,SDC-VD0519670A,item:029313,0.0,0.0,0.0,0.0,none,demand,1,0.0,0.0,0.0,300.0,0.0,300.0,464.571429,164.571429,3291.428571,3756.0,0.0,0.0,0.0,0,,,1,0.0,0.0,0
0,SDC-VD0520115A,item:708073,0.0,0.0,0.0,0.0,none,demand,1,0.0,0.0,0.0,34194.16,0.0,34194.16,38963.92,9769.76,195395.2,234359.12,0.0,0.0,0.0,0,,,1,0.0,0.0,0
