active_days,avg_capacity_utilization,avg_procurement_lead_days,avg_stock_end_of_day,capacity_metric_mode,dest_nodes_count,destinations_preview,first_shipment_day,initial_stock_total,items_supplied_count,last_shipment_day,local_criticality_score,max_capacity_utilization,min_stock_end_of_day,observed_sourcing_share,overall_criticality_score,rank,shared_source_pairs,shortage_supported_events,shortage_supported_qty,sole_source_pairs,standard_backlog_impact,standard_best_driver,standard_fill_impact,structural_backlog_impact,structural_best_driver,structural_fill_impact,supplier_id,supplier_name,system_criticality_score,target_sourcing_share,top_items_preview,total_shipped_qty
4,0.003153,35.0,9859.389,sourcing_share,1,M-1810,8,180.0,1,330,0.269412,0.550942,0.0,1.0,0.148177,13,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,0.0,1.0,099439,24169.782
8,0.001855,38.5,777.6856,sourcing_share,1,M-1810,7,360.0,2,330,0.256558,0.253003,0.0,0.519674,0.141107,14,1,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,0.0,0.710226,"001848, 029313",10583.0079
11,0.001304,120.0,71126.0274,sourcing_share,1,SDC-1450,8,180.0,1,312,0.254798,0.07,0.0,0.289993,0.140139,15,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0949099A,Supplier of Raw Materials - VD0949099A,0.0,0.7,021081,850960.0
5,0.003103,49.0,2182.2521,sourcing_share,1,M-1810,8,180.0,1,338,0.251664,0.355213,0.0,1.0,0.138415,16,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,0.0,1.0,016332,8853.4954
6,0.001151,120.0,77153.4247,sourcing_share,1,SDC-1450,8,180.0,1,118,0.24978,0.07,0.0,0.255915,0.137379,17,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0960508A,Supplier of Raw Materials - VD0960508A,0.0,0.2,021081,750960.0
6,0.001052,120.0,81027.1123,sourcing_share,1,SDC-1450,8,180.0,1,118,0.24815,0.07,0.0,0.234013,0.136483,18,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0972460A,Supplier of Raw Materials - VD0972460A,0.0,0.05,021081,686692.0
6,0.00099,120.0,83491.8356,sourcing_share,1,SDC-1450,8,180.0,1,118,0.247032,0.07,0.0,0.220078,0.135867,19,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0975221A,Supplier of Raw Materials - VD0975221A,0.0,0.05,021081,645800.0
11,0.012828,31.5,6366.0106,sourcing_share,1,M-1810,8,360.0,2,290,0.210103,1.0,0.0,0.433276,0.115557,20,2,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0910216A,Supplier of Raw Materials - VD0910216A,0.0,0.7,"001893, 002612",73201.4908
7,0.009074,38.5,7043.2181,sourcing_share,1,M-1810,8,360.0,2,74,0.201604,1.0,0.0,0.306497,0.110882,21,2,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD1091642A,Supplier of Raw Materials - VD1091642A,0.0,0.194864,"001893, 002612",51782.3143
6,0.015409,56.0,11665.1609,sourcing_share,1,M-1810,8,180.0,1,53,0.198075,1.0,0.0,0.269454,0.108941,22,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,0.0,0.1,001893,43965.1716
1,8.1e-05,35.0,212.3768,sourcing_share,1,M-1810,243,180.0,1,243,0.183149,0.029601,0.0,1.0,0.100732,23,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD1096202A,Supplier of Raw Materials - VD1096202A,0.0,1.0,039668,231.3956
3,0.000235,21.0,180.3392,sourcing_share,1,M-1810,7,180.0,1,176,0.120213,0.028544,0.0,0.591241,0.066117,24,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0914320A,Supplier of Raw Materials - VD0914320A,0.0,0.7,055703,669.3945
2,0.000162,42.0,198.4297,sourcing_share,1,M-1810,8,180.0,1,30,0.112953,0.029601,0.0,0.408759,0.062124,25,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0964290A,Supplier of Raw Materials - VD0964290A,0.0,0.3,055703,462.7913
0,0.0,28.0,2892.4455,sourcing_share,1,M-1810,,180.0,1,,0.0,0.0,2892.4455,0.0,0.0,26,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,0.0,0.05,002612,0.0
0,0.0,35.0,2892.4455,sourcing_share,1,M-1810,,180.0,1,,0.0,0.0,2892.4455,0.0,0.0,27,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0990780A,Supplier of Raw Materials - VD0990780A,0.0,0.2,002612,0.0
