scope,item_code,node_id,required_qty,initial_stock_qty,delivered_qty,consumed_qty,gap_vs_requirement_qty,unit,diagnostic
produit_fini,268091,DC / client final,3576442.0,402038.0,2153638.0,2153638.0,-1422804.0,UN,demande finale issue du scenario courant
produit_fini,268967,DC / client final,1575986.0,1063091.142855,1575985.999973,1575985.999973,-2.7e-05,UN,demande finale issue du scenario courant
matiere,001757,M-1810,5808.141808,8499.654,475.1824,2782.8864,-3025.255408,KG,graph seed matches source stock; coherent dormant: source stock covers annual need
matiere,001848,M-1810,4356.106356,10262.646,134.68644,2087.1648,-2268.941556,KG,graph seed matches source stock; coherent dormant: source stock covers annual need
matiere,001893,M-1810,27588.674,9783.5,9138.746289,13218.7104,-14369.9636,KG,graph seed matches source stock; under-delivered vs source gap; ending stock builds up
matiere,002612,M-1810,7260.177,153521.637,244.5338,3478.608,-3781.569,KG,graph seed matches source stock; coherent dormant: source stock covers annual need
matiere,007923,M-1810,11616.283616,55018.98,37.0272,5565.7728,-6050.510816,KG,graph seed matches source stock; coherent dormant: source stock covers annual need
matiere,016332,M-1810,1742.442542,883.02,1183.3112,834.86592,-907.576622,KG,graph seed matches source stock; over-delivered vs source gap; ending stock builds up
matiere,021081,SDC-1450,136028.361,1142100.0,48444.628022,0.0,-136028.361,KG,graph seed matches source stock; coherent dormant: source stock covers annual need
matiere,029313,M-1810,145.203545,226.83,7.94542,69.57216,-75.631385,KG,graph seed matches source stock; coherent dormant: source stock covers annual need
matiere,038005,M-1430,27578.456388,37598.5325,12647.104476,13204.87821,-14373.578178,KG,graph seed matches source stock; coherent dormant: source stock covers annual need
matiere,039668,M-1810,145.203545,459.695,4.93696,69.57216,-75.631385,KG,graph seed matches source stock; coherent dormant: source stock covers annual need
matiere,042342,M-1430,95098147.212,78749996.0,6031269.103197,45534073.2,-49564074.012,UN,graph seed matches source stock; under-delivered vs source gap
matiere,049371,M-1810,5372.531172,4138.93,767.77442,2574.16992,-2798.361252,KG,graph seed matches source stock; under-delivered vs source gap
matiere,055703,M-1810,290.40709,569.805,7.775712,139.14432,-151.26277,KG,graph seed matches source stock; coherent dormant: source stock covers annual need
matiere,099439,M-1810,7260.17726,4972.616,246.848,3478.608,-3781.56926,KG,graph seed matches source stock; under-delivered vs source gap
matiere,333362,M-1430,1575986.0,142250.0,706914.28573,754600.0,-821386.0,UN,graph seed matches source stock; under-delivered vs source gap
matiere,338928,M-1810,3576442.0,404065.0,1318200.0,1713600.0,-1862842.0,UN,graph seed matches source stock; under-delivered vs source gap
matiere,338929,M-1810,3576442.0,354000.0,1441300.0,1713600.0,-1862842.0,UN,graph seed matches source stock; under-delivered vs source gap
matiere,344135,M-1430,1575986.0,0.0,871822.857152,754600.0,-821386.0,UN,graph seed matches source stock; under-delivered vs source gap
matiere,426331,M-1810,39340.862,24159.0,1086.8,18849.6,-20491.262,UN,graph seed matches source stock; under-delivered vs source gap
matiere,693055,M-1810,1452035.452,1010000.0,98739.2,695721.6,-756313.852,G,graph seed matches source stock; under-delivered vs source gap
matiere,708073,M-1430,12497.56898,10326.88,1056.819771,5983.978,-6513.59098,KG,graph seed matches source stock; under-delivered vs source gap
matiere,730384,M-1430,334109.032,68387.0,273292.834301,159975.2,-174133.832,M,graph seed matches source stock; under-delivered vs source gap; ending stock builds up
matiere,734545,M-1430,12607.888,1641.0,7099.611423,6036.8,-6571.088,UN,graph seed matches source stock; under-delivered vs source gap; ending stock builds up
matiere,773474,M-1430,15215700.402,14593000.0,358783.113355,7285450.2028,-7930250.1992,G,graph seed matches source stock; under-delivered vs source gap
