capacity_node::M-1430,capacity_node::M-1810,capacity_node::SDC-1450,case_dir,demand_item::item:268091,demand_item::item:268967,error,factor::capacity_scale,factor::demand_scale,factor::lead_time_scale,factor::production_stock_scale,factor::supplier_stock_scale,factor::transport_cost_scale,is_baseline,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,run_id,status
1.002872,0.827921,0.792092,,0.89869,1.278947,,1.0,1.0,0.962093,0.99985,1.297835,1.084248,False,811272.5832,0.974781,0.00241,0.022809,526.9703,807821.2808,0.674633,16021.8817,992468.3931,1619.6175,43480.8145,43845.0554,43845.0554,18891.8563,3266.6995,967439.0074,990076.5394,822668.1794,2471.4893,2391.8536,1092.6473,42672.2371,22637.5321,0.0,run_0010,ok
1.273577,1.008865,1.227848,,0.806934,0.962091,,1.0,1.0,0.904713,1.005592,1.211611,1.10098,False,1169531.8234,0.979273,0.00191,0.018818,187.3371,1153177.7228,0.857615,14893.5026,1425608.1746,1315.7123,44573.3049,45441.203,45441.203,11884.9927,3588.7528,1396059.2192,1422885.6842,1184102.7763,2584.9373,2722.4904,1128.3752,50010.5269,26826.465,0.0,run_0011,ok
1.045782,0.841702,0.979746,,1.011304,0.919154,,1.0,1.0,1.15549,1.081497,1.165768,0.837118,False,1128560.1243,0.983575,0.001964,0.014462,411.9353,1110895.8913,0.713093,17511.1555,1368624.3452,1435.7781,41187.0097,43108.7126,43108.7126,15449.0591,2988.5743,1346144.432,1365936.9955,1140724.7321,2702.5171,2687.3497,1023.8429,48731.8884,19792.5636,0.0,run_0012,ok
1.174593,1.147335,0.931776,,1.000176,0.879325,,1.0,1.0,1.013746,0.962293,1.277157,1.294719,False,1010972.697,0.973176,0.002231,0.024594,223.1997,991267.4968,0.84033,14709.1454,1238712.5047,1397.8789,41189.8792,42084.467,42084.467,10752.0842,3779.3852,1205484.8607,1235949.5525,1023042.718,2638.7404,2762.9522,1174.6791,48925.251,30464.6918,0.0,run_0013,ok
1.009249,0.710146,0.941553,,1.012056,1.100382,,1.0,1.0,1.067282,1.111258,0.891524,1.093655,False,1053536.3248,0.978329,0.00204,0.019631,550.3278,1042434.9869,0.649724,15427.5657,1284858.1077,1571.1258,43886.3225,44213.5649,44213.5649,19163.8913,3460.5541,1257013.914,1282237.302,1068370.2005,2612.8094,2620.8056,1020.7979,47072.2437,25223.388,0.0,run_0014,ok
1.151817,1.202281,0.824168,,0.935271,0.80211,,1.0,1.0,0.844132,1.141097,1.279747,1.269553,False,750978.4485,0.967347,0.002765,0.029888,187.9587,736200.0903,0.854541,15342.2597,923555.9282,1292.1771,38904.4574,39720.1153,39720.1153,8011.9742,3467.5324,893398.6135,921002.0245,760447.8157,2754.4856,2553.9037,1104.2184,45110.5483,27603.411,0.0,run_0015,ok
1.015333,0.918427,1.148468,,0.852021,0.992491,,1.0,1.0,1.022329,1.112584,1.19055,0.891135,False,1221129.9576,0.984788,0.001756,0.013456,275.7039,1209814.2766,0.799029,14603.8559,1480687.6472,1371.8558,42182.8067,42802.6011,42802.6011,17908.5981,3022.766,1458162.9818,1478087.0178,1234015.2423,2674.9218,2600.6294,1096.1519,45944.3083,19924.036,0.0,run_0016,ok
1.270451,1.048958,0.980817,,0.890282,0.936873,,1.0,1.0,1.005841,1.098728,1.07072,0.959423,False,1055482.6885,0.979188,0.002249,0.018562,286.4952,1033871.0834,0.789178,13350.1866,1284624.557,1358.9465,44026.9598,44913.732,44913.732,11080.8073,3408.4587,1257889.4964,1281735.1533,1069366.1988,2773.0254,2889.4037,1072.4513,51276.6701,23845.6569,0.0,run_0017,ok
0.899096,0.813043,1.042315,,1.027779,0.903521,,1.0,1.0,1.030995,0.983871,0.932223,0.920501,False,1115674.1721,0.984451,0.001805,0.013743,422.2857,1106920.3116,0.706012,15646.3491,1353652.828,1436.4044,38084.3568,38525.2982,38525.2982,16335.7152,2834.1917,1332605.3522,1351208.929,1127608.4516,2435.8132,2443.899,1014.1186,41729.8208,18603.5768,0.0,run_0018,ok
0.896374,0.854325,1.192262,,0.90698,1.055902,,1.0,1.0,0.951308,0.884177,1.263049,1.249337,False,1174322.4989,0.981715,0.001567,0.016718,436.9092,1170770.557,0.700725,16216.3434,1429962.0783,1459.8935,38808.6179,39156.3174,39156.3174,16974.6395,3231.5865,1403815.1303,1427721.6201,1184193.4435,2286.7297,2240.4582,1022.9843,39424.5429,23906.4898,0.0,run_0019,ok
