day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
19,115.46446,37298.77065,2298.27981,1173.27981,7.231386,454.37532,4.570238,798.5964,5.64196,2.750064,17.259089,2.484949,633.571906,0.913068,0.089284,0.052223,9.537638,0.134707,2.573815,2844.56484,1565.113,10.410094,1146.589878,983392.456875
20,115.060001,35904.086014,2275.16681,1150.16681,7.0481,449.475364,4.385334,620.446903,5.611931,2.727543,17.116454,2.447414,573.515087,0.904059,0.088533,0.051473,9.509861,0.136515,2.536279,2826.07444,1546.6226,10.43198,1139.082776,983392.054575
21,114.699123,37676.777086,2254.54421,1129.54421,6.884563,445.103373,4.220354,466.341516,5.585138,2.707448,16.989188,2.447414,586.357417,0.896021,0.087863,0.050803,9.485078,0.135175,2.502788,2809.57636,1530.12452,10.453997,1132.384555,983391.652275
22,114.294463,36281.397301,2231.41969,1106.41969,6.701185,440.200974,4.235358,288.008796,5.555095,2.684915,16.846482,2.40986,586.327483,0.887008,0.087112,0.050955,9.457288,0.133673,2.502769,2791.076744,1511.624904,10.250501,1124.873711,983391.249975
23,113.856983,34772.847301,2206.41969,1081.41969,6.502935,434.900974,4.035358,91.640846,5.521803,2.715434,16.688346,2.368245,633.416249,0.877021,0.08628,0.050123,9.426493,0.133669,2.493634,2770.576821,1491.124981,10.025002,1116.550742,983390.847675
24,113.690884,34200.091892,2196.92787,1071.92787,6.427665,432.888708,3.959423,0.0,5.483964,2.687054,16.508609,2.320946,557.737899,0.874634,0.085334,0.049177,9.391492,0.133438,2.48795,2747.276836,1467.824996,9.768702,1115.413917,983390.445375
25,113.690884,34200.091892,2196.92787,1071.92787,6.427665,438.188708,4.159423,0.0,5.447814,2.752268,16.336896,2.313312,627.69953,0.863789,0.08443,0.048273,9.358053,0.13163,2.480115,2725.016839,1445.564999,9.727236,1106.376359,983390.043075
26,113.527785,33637.681776,2187.607494,1062.607494,6.735382,436.212789,4.249841,0.0,5.4146,2.800801,16.179129,2.271795,633.571906,0.853824,0.0836,0.047443,9.32733,0.12997,2.438597,2704.56484,1425.113,9.502264,1098.072847,983389.640775
27,113.283098,32793.931601,2173.624693,1048.624693,7.020998,433.248435,4.482882,0.0,5.384571,2.80319,16.194477,2.271795,639.943181,0.844816,0.082849,0.047443,9.299553,0.128468,2.401061,2686.07444,1406.6226,9.29887,1090.565744,983389.238475
28,113.201535,35415.916275,2168.963759,1068.963759,6.984037,437.560317,5.030499,0.0,5.387822,2.783095,16.246947,2.238304,586.357417,0.845786,0.082179,0.047524,9.27477,0.129808,2.36757,2685.57636,1390.12452,9.320887,1083.867524,983388.836175
29,113.201535,35415.916275,2168.963759,1068.963759,7.147574,437.560317,5.230499,0.0,5.357778,2.808053,16.262377,2.245935,639.913247,0.848123,0.081428,0.047604,9.27462,0.128306,2.371533,2667.076744,1371.624904,9.117391,1076.35668,983388.433875
