case_id,label,family,severity,impact_score,fill_rate,fill_rate_delta_pp,backlog_days_ex_startup,backlog_max_ex_startup,input_delay_count,input_delay_delta,input_delay_volume,input_delay_volume_delta,total_cost,cost_delta,external_procurement_cost,external_cost_delta,unreliable_loss_qty,loss_delta,risk_applied_rows,state_events_generated,avg_inventory,configured_events,dc_pairs_zero_or_negative,dc_zero_stock_rows,ending_backlog,ending_inventory,explicit_events_loaded,external_procured_qty,external_procured_rejected_qty,holding_cost,input_delay_days,input_pairs_zero_or_negative,input_zero_stock_rows,inventory_delta,inventory_risk_cost,produced_delta,production_cost,purchase_cost,risk_applied_suppliers,risk_family_availability_rows,risk_family_capacity_rows,risk_family_cost_rows,risk_family_delay_rows,risk_family_quality_rows,risk_family_stock_rows,service_short_days_ex_startup,shipped_delta,startup_backlog_days,state_dependent_enabled,state_events_summary,stock_zero_delta,supplier_pairs_zero_or_negative,supplier_zero_stock_rows,total_demand,total_produced,total_served,total_shipped,transport_cost,warehouse_cost,weekly_lot_delay_count
pf268967_quality_yield_75_180d,PF268967 qualite rendement x0.75 180j,quality_yield,x0.75_180d,6966428.425,1.0,0.0,0.0,0.0,59.0,1.0,6360200.0,107800.0,62724236.8113,-6015277.649599992,56281035.6118,-608182.8377000019,114914473.75,114914473.75,1034.0,147.0,605006107.8724,8,0.0,0.0,0.0,546330943.8228,8,554118377.1269,2296538640.7114,8456465.8579,59.0,0.0,0.0,-56064320.657599926,4832266.2045,15971200.0,18817271.0434,14128286.8172,17.0,483.0,,79.0,251.0,313.0,,0.0,-92040764.34160006,2.0,True,147,-4.0,5.0,117.0,25762139.9999,132905200.0,25762139.9999,739489161.2253,5617347.9281,10872598.9602,2.0
pf268967_quality_yield_75_60d,PF268967 qualite rendement x0.75 60j,quality_yield,x0.75_60d,6966275.36128,1.0,0.0,0.0,0.0,59.0,1.0,6360200.0,107800.0,62575854.3106,-6163660.150299996,57082657.1751,193438.72559999675,114750723.75,114750723.75,950.0,140.0,604736504.6513,8,0.0,0.0,0.0,537528145.2247,8,556206533.5578,2300731731.9682,8456229.7167,59.0,0.0,0.0,-56333923.87870002,4832131.2667,15985600.0,18772756.2932,14028948.4886,17.0,480.0,,85.0,168.0,304.0,,0.0,-93186028.95529997,2.0,True,140,-4.0,5.0,117.0,25762139.9999,132919600.0,25762139.9999,738343896.6116,5613493.1955,10872295.35,2.0
pf268967_combined_moderate_60d,PF268967 combine modere 60j,combined,moderate_60d,5785935.397640001,1.0,0.0,0.0,0.0,63.0,5.0,6791400.0,539000.0,86485283.5064,17745769.04550001,48687057.5267,-8202160.9228000045,66807897.9,66807897.9,1028.0,147.0,738440803.7954,32,0.0,0.0,0.0,468880980.9654,32,431306674.1857,974965716.6675,14177040.2268,63.0,0.0,0.0,77370375.26540005,8101165.8439,32079000.0,25945585.0519,14417147.6249,21.0,783.0,346.0,97.0,580.0,409.0,,0.0,-154051106.62549996,2.0,True,147,-12.0,4.0,109.0,25762139.9999,149013000.0,25762139.9999,677478818.9414,5616721.6103,18227623.1487,4.0
pf268967_quality_yield_90_180d,PF268967 qualite rendement x0.9 180j,quality_yield,x0.9_180d,2832628.972,1.0,0.0,0.0,0.0,59.0,1.0,6360200.0,107800.0,65475572.5187,-3263941.94219999,55277604.4348,-1611614.014700003,46017816.2,46017816.2,959.0,140.0,639201587.0131,8,0.0,0.0,0.0,594298064.3307,8,546966173.1138,2232674980.1797,9002476.7911,59.0,0.0,0.0,-21868841.516899943,5144272.4521,6385600.0,19642671.7556,14497736.3704,17.0,478.0,,81.0,185.0,303.0,,0.0,-38051534.694599986,2.0,True,140,-4.0,5.0,117.0,25762139.9999,123319600.0,25762139.9999,793478390.8723,5613802.1324,11574613.0171,2.0
pf268967_quality_yield_90_60d,PF268967 qualite rendement x0.9 60j,quality_yield,x0.9_60d,2831885.122,1.0,0.0,0.0,0.0,59.0,1.0,6360200.0,107800.0,65480808.4468,-3258706.014099993,55277604.4348,-1611614.014700003,46005418.7,46005418.7,959.0,140.0,639212894.0953,8,0.0,0.0,0.0,594310461.8307,8,546966173.1138,2232674980.1797,9002574.1012,59.0,0.0,0.0,-21857534.434700012,5144328.0578,6385600.0,19644242.534,14501123.4913,17.0,478.0,,81.0,185.0,303.0,,0.0,-38039137.194599986,2.0,True,140,-4.0,5.0,117.0,25762139.9999,123319600.0,25762139.9999,793490788.3723,5613802.1324,11574738.1301,2.0
pf268967_availability_10_30d,PF268967 disponibilite x0.1 30j,availability,x0.1_30d,2064093.0113199998,1.0,0.0,0.0,0.0,82.0,24.0,8839600.0,2587200.0,63228227.6206,-5511286.840299994,63422278.6759,6533060.226399995,0.0,0.0,1149.0,154.0,571539265.5395,8,0.0,0.0,0.0,210335014.2985,8,625996630.3824,2993053515.2265,7651531.6291,82.0,0.0,0.0,-89531162.99049997,4372303.7881,-14400.0,18968468.2862,16784501.5425,18.0,818.0,,110.0,267.0,,,0.0,97045667.93669999,2.0,True,154,20.0,5.0,141.0,25762139.9999,116919600.0,25762139.9999,928575593.5036,5613738.8516,9837683.5231,0.0
pf268967_availability_10_90d,PF268967 disponibilite x0.1 90j,availability,x0.1_90d,1904429.1048599998,1.0,0.0,0.0,0.0,83.0,25.0,8947400.0,2695000.0,61945152.1262,-6794362.334699996,59197800.5467,2308582.097199999,0.0,0.0,1081.0,114.0,576070324.5568,8,0.0,0.0,0.0,652980202.8496,8,559846084.1703,2907586254.9059,7649689.6389,83.0,0.0,0.0,-85000103.97319996,4371251.2222,-14400.0,18583545.6379,15863285.3889,17.0,820.0,,114.0,191.0,,,0.0,4679838.26820004,2.0,True,114,-12.0,4.0,109.0,25762139.9999,116919600.0,25762139.9999,836209763.8351,5642064.9883,9835315.25,0.0
network_transport_block_120d,Transport usine/DC/client 268967 +45j 120j,transport_network,+45d_120d,487068.0716390009,1.0,0.0,0.0,0.0,60.0,2.0,6468000.0,215600.0,68952783.3032,213268.8423000127,63426949.7346,6537731.285099998,0.0,0.0,853.0,122.0,584931552.9265,2,0.0,0.0,0.0,649395641.6411,2,565522089.9526,2346323475.5941,8390043.373,60.0,0.0,0.0,-76138875.60350001,4794310.4989,0.0,20685834.991,18653222.6195,16.0,542.0,,80.0,256.0,,,0.0,9432304.670699954,61.0,True,122,-3.0,5.0,118.0,25762139.9999,116934000.0,25762139.9999,840962230.2376,5642173.1984,10787198.6224,2.0
factory_dc_pf_delay_plus_45_90d,Transport usine->DC 268967 +45j 90j,transport_factory_dc,+45d,293486.59104999976,1.0,0.0,0.0,0.0,60.0,2.0,6468000.0,215600.0,68353862.2195,-385652.24139998853,59896550.2705,3007331.820999995,0.0,0.0,820.0,134.0,621464266.7712,1,0.0,0.0,0.0,634966636.6537,1,563633693.204,2385922303.2692,8931387.6591,60.0,0.0,0.0,-39606161.75880003,5103650.0909,93400.0,20506158.6658,16712429.7493,15.0,460.0,,76.0,309.0,,,0.0,7693808.223500013,2.0,True,134,-3.0,5.0,118.0,25762139.9999,117027400.0,25762139.9999,839223733.7904,5617023.3499,11483212.7045,2.0
factory_dc_pf_delay_plus_21_90d,Transport usine->DC 268967 +21j 90j,transport_factory_dc,+21d,249572.52902000054,1.0,0.0,0.0,0.0,60.0,2.0,6468000.0,215600.0,69414473.9604,674959.4995000064,57938333.8307,1049115.3812000006,0.0,0.0,777.0,126.0,638405884.1868,1,0.0,0.0,0.0,634504187.9567,1,552029736.7613,2333220540.0209,9212926.9571,60.0,0.0,0.0,-22664544.34319997,5264529.6898,122200.0,20824342.1881,16651012.4129,15.0,449.0,,78.0,275.0,,,0.0,8270687.819800019,2.0,True,126,-3.0,5.0,118.0,25762139.9999,117056200.0,25762139.9999,839800613.3867,5616470.9105,11845191.802,2.0
