metric,value
Weeks with air outbound,26.0
Weeks with backup supplier activated,0.0
Weeks with backup material consumed,0.0
Weeks with carbon-aware throttling,0.0
Total scrap units,12.13
Peak backlog,36.44
Ending backlog,0.0
Weeks with backlog,26.0
Peak capacity utilization,1.0
Same-week service level,93.25
Demand fill rate incl. backlog shipments,100.0
Peak backup share in raw stock,0.0
