policy_name,policy_label,delta_material,delta_inbound_transport,delta_production_energy,delta_outbound_transport,delta_storage,delta_scrap,hidden_carbon_total
baseline,Reference,40.0,41.99999999999996,44.92800000000011,406.7200000000001,0.0,148.09600000000003,681.7440000000006
backup_early,Backup anticipe,14.400000000000091,15.119999999999997,37.44,416.55999999999995,0.0,132.24,615.7600000000002
inventory_buffer,Stock tampon,0.0,0.0,44.928,442.79999999999995,0.0,148.09600000000003,635.8240000000001
low_carbon,Discipline carbone,0.0,0.0,29.375999999999976,390.32,0.0,109.63200000000002,529.328
service_first,Service prioritaire,0.0,0.0,44.928,442.79999999999995,0.0,148.09600000000003,635.8240000000001
