metric,value
Weeks with air outbound,13.0
Weeks with backup supplier activated,2.0
Weeks with backup material consumed,4.0
Weeks with carbon-aware throttling,0.0
Total scrap units,6.9
Peak backlog,77.9
Ending backlog,76.9
Weeks with backlog,16.0
Peak capacity utilization,1.0
Same-week service level,66.42
Demand fill rate incl. backlog shipments,66.85
Peak backup share in raw stock,100.0
