method,total_kgCO2e,delta_vs_classical,delta_vs_classical_pct
Classical LCA,3822.7567999999997,0.0,0.0
Dynamic LCA,4032.2159999999994,209.45919999999978,5.479270875929115
State-Dependent Dynamic LCA,4713.96,891.2032000000004,23.31310220937938
