policy_name,policy_label,material,inbound_transport,production_energy,outbound_transport,storage,backlog_penalty,total
baseline,Reference,7160.0,349.19999999999993,188.60800000000003,1814.3999999999999,1203.8,6537.5999999999985,17253.608
backup_early,Backup anticipe,3984.8,182.0,116.03200000000002,1468.8,140.35,16948.8,22840.782000000007
inventory_buffer,Stock tampon,4080.0,163.20000000000002,123.64800000000002,1545.6,177.1,16833.600000000002,22923.148
low_carbon,Discipline carbone,3760.0,150.4,108.41600000000003,1392.0,136.85,17006.4,22554.066000000006
service_first,Service prioritaire,4080.0,163.20000000000002,123.64800000000002,1545.6,177.1,16833.600000000002,22923.148
