policy_name,policy_label,week,capacity,backlog_start,backlog_end,backup_inbound,backup_consumed_raw_units,good_output_backup_units,capacity_utilization,scrap_units,outbound_mode,air_trigger_reason,carbon_aware_active
baseline,Reference,2,12,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.55,truck,none,False
baseline,Reference,5,12,0.0,0.10000000000000142,12.0,7.0,6.65,0.9166666666666666,0.55,truck,none,False
baseline,Reference,6,12,0.10000000000000142,1.3000000000000007,0.0,5.0,4.5,1.0,1.2000000000000002,truck,none,False
baseline,Reference,7,12,1.3000000000000007,3.5,0.0,0.0,0.0,1.0,1.2000000000000002,truck,none,False
baseline,Reference,8,7,3.5,16.5,0.0,0.0,0.0,0.14285714285714285,0.0,air,backlog_end_threshold,False
baseline,Reference,9,7,16.5,25.2,12.0,7.0,6.3,1.0,0.7000000000000001,air,backlog_start_and_end,False
baseline,Reference,10,7,25.2,31.900000000000002,0.0,5.0,4.5,1.0,0.7,air,backlog_start_and_end,False
baseline,Reference,11,10,31.900000000000002,34.900000000000006,0.0,0.0,0.0,1.0,1.0,air,backlog_start_and_end,False
baseline,Reference,12,10,34.900000000000006,36.900000000000006,0.0,0.0,0.0,1.0,1.0,air,backlog_start_and_end,False
baseline,Reference,13,12,36.900000000000006,45.900000000000006,0.0,0.0,0.0,0.08333333333333333,0.0,air,backlog_start_and_end,False
baseline,Reference,14,12,45.900000000000006,53.900000000000006,0.0,0.0,0.0,0.25,0.0,air,backlog_start_and_end,False
baseline,Reference,15,12,53.900000000000006,55.900000000000006,0.0,0.0,0.0,0.8333333333333334,0.0,air,backlog_start_and_end,False
baseline,Reference,16,12,55.900000000000006,58.900000000000006,0.0,0.0,0.0,0.8333333333333334,0.0,air,backlog_start_and_end,False
baseline,Reference,17,12,58.900000000000006,69.9,0.0,0.0,0.0,0.08333333333333333,0.0,air,backlog_start_and_end,False
baseline,Reference,18,12,69.9,77.9,0.0,0.0,0.0,0.25,0.0,air,backlog_start_and_end,False
baseline,Reference,19,12,77.9,77.9,0.0,0.0,0.0,0.8333333333333334,0.0,air,backlog_start_and_end,False
baseline,Reference,20,12,77.9,76.9,0.0,0.0,0.0,0.8333333333333334,0.0,air,backlog_start_and_end,False
