policy_name,policy_label,same_week_service_pct,fill_rate_pct,final_backlog_units,peak_backlog_units,total_cost,classical_total_kgCO2e,dynamic_total_kgCO2e,sddlca_total_kgCO2e,hidden_carbon_vs_dynamic,hidden_carbon_vs_classical,pareto_efficient_lca,pareto_efficient_sdd
baseline,Reference,71.54,73.85,54.4,59.2,17253.61,3822.76,4032.22,4713.96,681.74,891.2,True,True
backup_early,Backup anticipe,42.69,44.42,115.6,117.2,22840.78,2109.06,2071.31,2687.07,615.76,578.01,True,True
inventory_buffer,Stock tampon,43.65,45.96,112.4,117.2,22923.15,2196.71,2153.44,2789.26,635.82,592.55,True,True
low_carbon,Discipline carbone,41.73,42.88,118.8,118.8,22554.07,2024.25,1991.52,2520.85,529.33,496.6,True,True
service_first,Service prioritaire,43.65,45.96,112.4,117.2,22923.15,2196.71,2153.44,2789.26,635.82,592.55,True,True
