policy_name,policy_label,week,material,inbound_transport,production_energy,outbound_transport,storage,scrap,total
baseline,Reference,1,268.79999999999995,12.600000000000001,107.52000000000001,21.7,1.5,0.0,412.11999999999995
baseline,Reference,2,224.3,10.57,90.55999999999999,21.78,1.2,0.0,348.41
baseline,Reference,3,179.648,8.504,72.96,21.840000000000003,0.84,0.0,283.792
baseline,Reference,4,269.652,12.792000000000002,109.72800000000001,21.85,1.5,0.0,415.522
baseline,Reference,5,224.72000000000003,10.67,90.88,21.810000000000002,1.56,0.0,349.64
baseline,Reference,6,224.56,10.64,89.68,21.69,1.56,0.0,348.13
baseline,Reference,7,246.609,11.626999999999999,105.24799999999999,25.641,1.47,0.0,390.595
baseline,Reference,8,245.98199999999997,11.506,102.43199999999999,25.387999999999998,1.5,0.0,386.80799999999994
baseline,Reference,9,245.113,11.363,99.088,25.091,1.47,0.0,382.125
baseline,Reference,10,244.035,11.187,86.856,22.803,1.44,0.0,366.32099999999997
baseline,Reference,11,264.84000000000003,12.0,91.19999999999999,24.552,1.41,0.0,394.00200000000007
baseline,Reference,12,263.304,11.783999999999999,88.03200000000001,24.263999999999996,1.38,0.0,388.764
baseline,Reference,13,278.46,11.58,76.128,24.048000000000002,1.35,0.0,391.566
baseline,Reference,14,276.78000000000003,11.411999999999999,74.592,23.916,1.1945999999999999,0.0,387.89459999999997
baseline,Reference,15,320.95,13.145999999999999,86.352,27.832,1.075548,0.0,449.355548
baseline,Reference,16,319.088,13.034,86.57600000000001,27.846,0.99310824,0.0,447.53710824000007
baseline,Reference,17,272.6680220208,11.87073758304,80.09543025792,27.93,0.8891622624,0.0,393.45335212416
baseline,Reference,18,251.68207541185282,11.00009070856,75.4427842757888,28.042,0.762681659712,0.0,366.9296320559136
baseline,Reference,19,264.96904537324326,10.92873571950413,85.00127781836547,26.488,0.7146190306905601,0.0,388.1016779418034
baseline,Reference,20,361.92028421623274,15.06870579057939,117.80001453571788,26.558,1.08,0.0,522.4270045425301
baseline,Reference,21,319.36,13.424,104.448,30.384,0.9845811311999998,0.0,468.6005811312
baseline,Reference,22,253.38827007831674,10.753811401939197,82.36961924889599,30.304,0.7626816597119997,0.0,377.5783823888639
baseline,Reference,23,263.00240090197985,11.245510667895555,83.8397696742636,30.112,0.59461903069056,0.0,388.7943002748296
baseline,Reference,24,268.821,13.066199999999998,85.5792,32.704,0.51330951534528,0.0,400.6837095153453
baseline,Reference,25,227.32351488,11.059614719999999,71.27543808,32.336,0.31716231534528,0.0,342.31172999534533
baseline,Reference,26,227.62156032,11.03832576,68.124672,23.527758693282944,0.27439931451071986,0.0,330.58671608779366
baseline,Reference,27,227.96218368,10.98510336,64.7184384,20.927047679999998,0.10964828354557438,0.0,324.7024214035456
baseline,Reference,28,293.1266618087557,11.52330609516793,74.68961388374565,24.04447855444886,0.0,0.0,403.3840603421182
baseline,Reference,29,233.63740067713616,9.034197184347683,54.94533420070736,18.895622062683827,0.0,0.0,316.512554124875
