service_floor_pct,policy_a,policy_b,dynamic_diff_a_minus_b,sddlca_diff_a_minus_b,service_a_pct,service_b_pct,dynamic_prefers,sddlca_prefers,reversal_magnitude
72.0,RT24 RR18 BQ12 Air12/18 CA,RT24 RR18 BQ14 Air1/3 STD,95.25999999999931,-159.6199999999999,76.34,74.7,RT24 RR18 BQ14 Air1/3 STD,RT24 RR18 BQ12 Air12/18 CA,254.8799999999992
72.0,RT24 RR18 BQ12 Air8/12 CA,RT24 RR18 BQ14 Air1/3 STD,95.25999999999931,-112.05999999999949,76.34,74.7,RT24 RR18 BQ14 Air1/3 STD,RT24 RR18 BQ12 Air8/12 CA,207.3199999999988
72.0,RT24 RR18 BQ12 Air12/18 CA,RT24 RR18 BQ14 Air4/6 STD,95.25999999999931,-71.0600000000004,76.34,74.7,RT24 RR18 BQ14 Air4/6 STD,RT24 RR18 BQ12 Air12/18 CA,166.3199999999997
72.0,RT24 RR18 BQ12 Air12/18 CA,RT24 RR18 BQ14 Air8/12 STD,95.25999999999931,-71.0600000000004,76.34,74.7,RT24 RR18 BQ14 Air8/12 STD,RT24 RR18 BQ12 Air12/18 CA,166.3199999999997
72.0,RT24 RR18 BQ12 Air1/3 CA,RT24 RR18 BQ14 Air1/3 STD,95.25999999999931,-53.01999999999953,76.34,74.7,RT24 RR18 BQ14 Air1/3 STD,RT24 RR18 BQ12 Air1/3 CA,148.27999999999884
72.0,RT24 RR18 BQ12 Air4/6 CA,RT24 RR18 BQ14 Air1/3 STD,95.25999999999931,-53.01999999999953,76.34,74.7,RT24 RR18 BQ14 Air1/3 STD,RT24 RR18 BQ12 Air4/6 CA,148.27999999999884
72.0,RT24 RR18 BQ12 Air12/18 CA,RT24 RR18 BQ14 Air12/18 STD,95.25999999999931,-46.460000000000036,76.34,74.7,RT24 RR18 BQ14 Air12/18 STD,RT24 RR18 BQ12 Air12/18 CA,141.71999999999935
72.0,RT24 RR18 BQ12 Air8/12 CA,RT24 RR18 BQ14 Air8/12 STD,95.25999999999931,-23.5,76.34,74.7,RT24 RR18 BQ14 Air8/12 STD,RT24 RR18 BQ12 Air8/12 CA,118.75999999999931
72.0,RT24 RR18 BQ12 Air8/12 CA,RT24 RR18 BQ14 Air4/6 STD,95.25999999999931,-23.5,76.34,74.7,RT24 RR18 BQ14 Air4/6 STD,RT24 RR18 BQ12 Air8/12 CA,118.75999999999931
72.0,RT32 RR14 BQ12 Air1/3 STD,RT32 RR14 BQ12 Air12/18 CA,-0.5700000000001637,96.64000000000033,73.49,73.49,RT32 RR14 BQ12 Air1/3 STD,RT32 RR14 BQ12 Air12/18 CA,97.21000000000049
72.0,RT32 RR14 BQ12 Air1/3 STD,RT32 RR14 BQ14 Air12/18 CA,-0.5700000000001637,96.64000000000033,73.49,73.49,RT32 RR14 BQ12 Air1/3 STD,RT32 RR14 BQ14 Air12/18 CA,97.21000000000049
72.0,RT32 RR14 BQ12 Air1/3 STD,RT32 RR18 BQ14 Air12/18 CA,-0.5700000000001637,96.64000000000033,73.49,73.49,RT32 RR14 BQ12 Air1/3 STD,RT32 RR18 BQ14 Air12/18 CA,97.21000000000049
72.0,RT32 RR14 BQ12 Air1/3 STD,RT32 RR18 BQ12 Air12/18 CA,-0.5700000000001637,96.64000000000033,73.49,73.49,RT32 RR14 BQ12 Air1/3 STD,RT32 RR18 BQ12 Air12/18 CA,97.21000000000049
72.0,RT32 RR14 BQ12 Air12/18 CA,RT32 RR18 BQ14 Air1/3 STD,0.5700000000001637,-96.64000000000033,73.49,73.49,RT32 RR18 BQ14 Air1/3 STD,RT32 RR14 BQ12 Air12/18 CA,97.21000000000049
72.0,RT32 RR14 BQ12 Air12/18 CA,RT32 RR14 BQ14 Air1/3 STD,0.5700000000001637,-96.64000000000033,73.49,73.49,RT32 RR14 BQ14 Air1/3 STD,RT32 RR14 BQ12 Air12/18 CA,97.21000000000049
72.0,RT32 RR14 BQ12 Air12/18 CA,RT32 RR18 BQ12 Air1/3 STD,0.5700000000001637,-96.64000000000033,73.49,73.49,RT32 RR18 BQ12 Air1/3 STD,RT32 RR14 BQ12 Air12/18 CA,97.21000000000049
72.0,RT32 RR18 BQ14 Air1/3 STD,RT32 RR18 BQ14 Air12/18 CA,-0.5700000000001637,96.64000000000033,73.49,73.49,RT32 RR18 BQ14 Air1/3 STD,RT32 RR18 BQ14 Air12/18 CA,97.21000000000049
72.0,RT32 RR14 BQ14 Air12/18 CA,RT32 RR18 BQ14 Air1/3 STD,0.5700000000001637,-96.64000000000033,73.49,73.49,RT32 RR18 BQ14 Air1/3 STD,RT32 RR14 BQ14 Air12/18 CA,97.21000000000049
72.0,RT32 RR18 BQ12 Air1/3 STD,RT32 RR18 BQ12 Air12/18 CA,-0.5700000000001637,96.64000000000033,73.49,73.49,RT32 RR18 BQ12 Air1/3 STD,RT32 RR18 BQ12 Air12/18 CA,97.21000000000049
72.0,RT32 RR18 BQ12 Air1/3 STD,RT32 RR18 BQ14 Air12/18 CA,-0.5700000000001637,96.64000000000033,73.49,73.49,RT32 RR18 BQ12 Air1/3 STD,RT32 RR18 BQ14 Air12/18 CA,97.21000000000049
