policy_name,policy_label,week,demand,capacity,grid_factor,main_inbound,backup_inbound,main_order_requested,main_order,main_order_shortfall,backup_order_requested,backup_order,backup_order_shortfall,main_supply_availability,backup_supply_availability,raw_stock_end,raw_stock_main_end,raw_stock_backup_end,fg_stock_end,fg_stock_main_end,fg_stock_backup_end,backlog_start,backlog_end,planned_input_units,main_consumed_raw_units,backup_consumed_raw_units,good_output_units,good_output_main_units,good_output_backup_units,scrap_units,scrap_main_units,scrap_backup_units,capacity_utilization,outbound_shipments,shipped_main_units,shipped_backup_units,outbound_mode,air_trigger_reason,carbon_aware_active,same_week_served_units,same_week_service_level,base_capacity,base_grid_factor,base_main_supply_availability,base_backup_supply_availability,climate_event,operational_feedback_event,combined_event_context,backup_raw_share_end,classical_reconstructed_weekly_total,classical_weekly_total
baseline,Reference,1,10,28.0,1.12,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,18.0,0.0,16.0,16.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.42857142857142855,10.0,10.0,0.0,truck,none,False,10.0,1.0,28.0,1.12,1.0,1.0,aucun,aucun,aucun,0.0,353.07369230769234,353.07369230769234
baseline,Reference,2,10,28.0,1.132,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,16.0,16.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.35714285714285715,10.0,10.0,0.0,truck,none,False,10.0,1.0,28.0,1.132,1.0,1.0,aucun,aucun,aucun,0.0,297.3107692307692,297.3107692307692
baseline,Reference,3,10,28.0,1.14,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.2857142857142857,10.0,10.0,0.0,truck,none,False,10.0,1.0,28.0,1.14,1.0,1.0,aucun,aucun,aucun,0.0,241.48784615384616,241.48784615384616
baseline,Reference,4,10,28.0,1.143,30.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,18.0,0.0,16.0,16.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.42857142857142855,10.0,10.0,0.0,truck,none,False,10.0,1.0,28.0,1.143,1.0,1.0,aucun,aucun,aucun,0.0,353.07369230769234,353.07369230769234
baseline,Reference,5,10,28.0,1.136,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,20.0,0.0,16.0,16.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.35714285714285715,10.0,10.0,0.0,truck,none,False,10.0,1.0,28.0,1.136,1.0,1.0,aucun,aucun,aucun,0.0,297.6707692307692,297.6707692307692
baseline,Reference,6,10,28.0,1.121,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,20.0,0.0,16.0,16.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.35714285714285715,10.0,10.0,0.0,truck,none,False,10.0,1.0,28.0,1.121,1.0,1.0,aucun,aucun,aucun,0.0,297.6707692307692,297.6707692307692
baseline,Reference,7,11,28.0,1.196,8.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,17.0,0.0,16.0,16.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.39285714285714285,11.0,11.0,0.0,truck,none,False,11.0,1.0,28.0,1.196,1.0,1.0,canicule et tension reseau,aucun,canicule et tension reseau,0.0,327.1918461538461,327.1918461538461
baseline,Reference,8,11,20.0,1.164,12.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,18.0,0.0,16.0,16.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.55,11.0,11.0,0.0,truck,none,False,11.0,1.0,20.0,1.164,1.0,1.0,canicule et tension reseau,aucun,canicule et tension reseau,0.0,327.2218461538461,327.2218461538461
baseline,Reference,9,11,20.0,1.126,10.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,17.0,0.0,16.0,16.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.55,11.0,11.0,0.0,truck,none,False,11.0,1.0,20.0,1.126,1.0,1.0,canicule et tension reseau,aucun,canicule et tension reseau,0.0,327.1918461538461,327.1918461538461
baseline,Reference,10,11,20.0,0.987,10.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.55,11.0,11.0,0.0,truck,none,False,11.0,1.0,20.0,0.987,1.0,1.0,aucun,aucun,aucun,0.0,327.1618461538461,327.1618461538461
