method,material,inbound_transport,production_energy,outbound_transport,storage,scrap,total
Classical LCA,2792.0,111.68,531.5967999999999,276.47999999999996,111.0,0.0,3822.7567999999997
Dynamic LCA,2792.0,111.68000000000002,741.056,276.47999999999996,111.0,0.0,4032.2159999999994
State-Dependent Dynamic LCA,2832.0,153.67999999999998,785.9840000000002,683.2,111.0,148.09600000000003,4713.96
